,Energy
0.0,1045924.3247010197
0.05,984739.5546750731
0.1,947996.5943175146
0.15000000000000002,928379.6612824484
0.2,918631.2748566951
0.25,906300.4028917743
0.30000000000000004,892751.0792214005
0.35000000000000003,882848.0873117812
0.4,873996.9905348157
0.45,869322.7886857144
0.5,862798.915733173
0.55,858069.6877941828
0.6000000000000001,849031.5916770904
0.65,842491.4900210456
0.7000000000000001,828587.6288890645
0.75,815966.1458696226
0.8,809272.1534558772
0.8500000000000001,791220.6213756916
0.9,780003.149627759
0.9500000000000001,738237.6762002038
1.0,504541.89334214805
