WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1924,3452.248381930785,111.40747964374856,0.8706776269437219,0.0530089320796932,25.4,13.5395223495808,48.92355263319738,974.5192882379008,964.40148789361,190.8154382153476,0.0,826898.6174879847,0.5244156630441303,0.4273972602739726,0.07945205479452055,0.09863013698630137,0.36712328767123287,0.0273972602739726,10,0.55
1925,4501.386000873192,158.54189668353823,0.4840497151914727,0.0406541451820619,25.4,11.46127420588379,49.561169184785065,976.597536381598,964.40148789361,192.8,22.849819035535983,764882.972953917,0.48508559928584283,0.35342465753424657,0.10684931506849316,0.2054794520547945,0.33424657534246577,0.0,0,0.9
1926,3313.0406406455268,192.89523707448373,0.4979576697792255,0.0654987437635895,25.4,13.834510182304363,49.273039713672674,974.2243004051774,964.40148789361,191.7842458254276,20.70453284246732,858697.2939119741,0.5445822513394052,0.410958904109589,0.08493150684931507,0.16712328767123288,0.336986301369863,0.0,0,0.30000000000000004
1927,2261.108087620956,179.8265102265254,0.4727069563001049,0.0654546329785231,25.391626800106284,16.328549686327726,49.43977693117871,971.730260901154,964.401814881952,191.08456343239203,22.95927100726872,825068.6589559768,0.5232551109563527,0.35342465753424657,0.11506849315068493,0.15342465753424658,0.38082191780821917,0.0,0,0.6000000000000001
1928,1589.152359062425,195.20770377157243,0.4987972279534627,0.0827227731099756,25.38748084906949,18.286164504356968,49.591119770673735,969.7726460831248,964.40148789361,192.8,23.785892983893003,746177.4566552287,0.4732226386702364,0.2547945205479452,0.1178082191780822,0.2273972602739726,0.4,0.0,0,0.9500000000000001
1929,2187.823512835168,188.71982882241664,0.4559546776568619,0.0877584498354668,25.39128895310104,16.505443487534755,49.403223136401365,971.553367099947,964.401814881952,192.8,25.122705693319457,865950.0757519855,0.549181935408413,0.36164383561643837,0.13972602739726028,0.22465753424657534,0.273972602739726,0.0,0,0.30000000000000004
1930,3355.917451239844,201.1701128186193,0.565005067010826,0.0539653768013512,25.4,13.743652178902032,49.261923699939125,974.3151584085796,964.4070206769117,192.8,23.30202589199612,806144.4937943254,0.5112534841415052,0.34794520547945207,0.12054794520547946,0.2328767123287671,0.29863013698630136,0.0,0,0.65
1931,3803.114617748527,236.1943342291061,0.4789471017177073,0.0485006120637817,25.14123830908761,12.796020087967,49.12558336359971,975.2627904995148,964.6171660053748,192.05779738299407,30.13234502167365,895629.7530706641,0.568004663286824,0.4465753424657534,0.12876712328767123,0.15616438356164383,0.27123287671232876,0.0,0,0.2
1932,1617.3520421001313,188.71982882241664,0.4969066185702751,0.0891691698533504,25.4,18.195057836081325,49.561169184785065,969.8637527514004,964.40148789361,192.8,20.80695327498397,760957.4406385949,0.48259604302295467,0.2684931506849315,0.13424657534246576,0.18904109589041096,0.40821917808219177,0.0,0,0.9
1933,5588.707650475971,158.54189668353823,0.5065026412286242,0.0427648062749614,25.378088386843206,9.716923467342887,49.55412193163359,978.416609781733,964.401814881952,192.8,0.0,771413.7774310928,0.4892274083150005,0.3643835616438356,0.1178082191780822,0.1917808219178082,0.3095890410958904,0.01643835616438356,6,0.8500000000000001
1934,3278.6645629042023,178.2793688535273,0.5221265790467693,0.0715851131010921,25.4,13.907354727994282,49.526362197081326,974.1514558594874,964.40148789361,191.2506289257504,18.511055333758872,858326.3078082537,0.5443469734958484,0.39452054794520547,0.09041095890410959,0.21095890410958903,0.3041095890410959,0.0,0,0.30000000000000004
1935,2496.800686844093,189.2396047272552,0.4914404684687322,0.0617763403072425,25.4,15.759636515789104,49.1765424057604,972.2991740716926,964.40148789361,192.77204623058077,20.31895863103976,811437.39894073,0.514610222565151,0.33424657534246577,0.10684931506849316,0.2328767123287671,0.3287671232876712,0.0,0,0.65
1936,3600.306705040052,201.1701128186193,0.5438621230113355,0.0501873545293779,25.4,13.22577971251598,48.98749919960701,974.8330308749656,964.4070206769117,192.03099686245943,22.304365644687,831504.4546690946,0.5273366658226121,0.4191780821917808,0.07397260273972603,0.21095890410958903,0.2958904109589041,0.0,0,0.5
1937,3227.9047484993603,224.67104686473823,0.5509695261471764,0.0458501757428885,25.23732642660181,14.014917191852184,49.526362197081326,974.0438933956297,964.5480262811884,192.2175639399814,26.303642495571825,837640.8715732811,0.5312283558937603,0.34794520547945207,0.11506849315068493,0.23835616438356164,0.29863013698630136,0.0,0,0.45
1938,2873.0524012848505,220.53049583159049,0.4995886136944385,0.0700524911245125,25.27140994379572,14.851442722311385,49.526362197081326,973.2073678651705,964.5231829749896,192.05779738299407,25.505206308461847,825721.7809284623,0.5236693181941035,0.3643835616438356,0.09863013698630137,0.2191780821917808,0.3178082191780822,0.0,0,0.6000000000000001
1939,5259.545195770601,214.75310038088367,0.5376285669324958,0.0467262134193837,25.31856400173976,10.1870729912523,48.98749919960701,977.9096996014867,964.4885186022854,192.03099686245943,25.50262378280588,880214.9374727863,0.5582286513652881,0.4712328767123288,0.10410958904109589,0.17534246575342466,0.25205479452054796,0.0,0,0.25
1940,3355.917451239844,224.67104686473823,0.5252123121633966,0.0545305427379897,25.27994123684384,13.743652178902032,49.5759588150606,974.3151584085796,964.5480262811884,192.05779738299407,22.810030267532163,864753.726674254,0.5484232158005162,0.39452054794520547,0.06575342465753424,0.273972602739726,0.26575342465753427,0.0,0,0.30000000000000004
1941,2187.823512835168,189.2396047272552,0.4821789809675056,0.067647138414839,25.4,16.505443487534755,49.52491592466583,971.553367099947,964.40148789361,192.8,22.304365644687,761855.7836522899,0.4831657684248414,0.28493150684931506,0.10136986301369863,0.26575342465753427,0.34794520547945207,0.0,0,0.9
1942,1707.8301963432584,171.1379824381925,0.4559546776568619,0.0866596692791192,25.390817414560196,17.902743799295756,49.261923699939125,970.156066788186,964.40148789361,192.8,25.073716786532856,807799.0043302008,0.5123027678400564,0.2958904109589041,0.12876712328767123,0.2465753424657534,0.3287671232876712,0.0,0,0.65
1943,2542.9744128795624,178.2793688535273,0.4570738376467937,0.0809337691558765,25.4,15.648182694324184,49.20271388612628,972.4106278931577,964.40148789361,192.8,22.5758464105894,843566.1423591627,0.5349861379751158,0.3917808219178082,0.09041095890410959,0.16986301369863013,0.3506849315068493,0.0,0,0.4
1944,3886.053218431513,192.89523707448373,0.5465290723543582,0.0596513664225588,25.390817414560196,12.620269243662612,48.70256891600309,975.4385413438192,964.40148789361,190.6975891534169,24.4072209308828,792405.805435371,0.502540465141661,0.3561643835616438,0.09863013698630137,0.2054794520547945,0.33972602739726027,0.0,0,0.75
1945,1589.152359062425,194.7956741845264,0.4872105741949339,0.0954127325131255,25.4,18.286164504356968,49.3410193990427,969.7726460831248,964.40148789361,192.8,21.7793447536432,871255.8512711741,0.5525468361689334,0.40273972602739727,0.06027397260273973,0.16986301369863013,0.36712328767123287,0.0,0,0.25
