,Energy
0.0,1047.4376557399994
0.05,986.1146324036647
0.1,950.6324827421522
0.15000000000000002,930.1852710150353
0.2,916.8074231009656
0.25,903.050771602394
0.30000000000000004,893.4980148960816
0.35000000000000003,882.9413926322181
0.4,877.3815179423043
0.45,870.9344356525148
0.5,864.3366171775172
0.55,855.5585162929699
0.6000000000000001,846.0578268107116
0.65,839.808974471926
0.7000000000000001,830.8550910324589
0.75,823.0165457160158
0.8,807.3544881194849
0.8500000000000001,794.200280938103
0.9,784.2758964232469
0.9500000000000001,744.6706317065514
1.0,525.7110947830092
