ExceedanceRnd,Flow,Exceedance,Volume,Flow_difference,Flow_difference_pct,EWRRefExceedance,EWRBandNo,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec
0.0,8865.17595296699,0.001411764705882354,0.7659512023363481,137.61586691882897,0.015867057553086324,0.02632352941176471,1.1029411764705883,44.69117647058823,7.970588235294118,8.779411764705882,12.205882352941176,166.94117647058823,240.58823529411765,0.02748454278853954,1100.0,0.0,,0.0,275.0,275.0,275.0,275.0,8624.587717672874,1155.3088235294117,10.029411764705882,16.220588235294116,67.79411764705883,7375.234776496402,1200.0,18.0,25.0,80.0,7542.175952966991,1243.0,981.7643863364171,990.5276422287125,0.9219672131147546,0.4800000000000003,989.1256750155968,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,6.826353899180107,6.826353899180107,6.826353899180107,6.826353899180107,1.0,1.0999999999999999,1.0999999999999999,1.0999999999999999,1.0999999999999999,0.0,0.0,0.0,0.0,0.9799999999999988,0.9799999999999988,0.9799999999999988,0.9799999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,6478.790089096893,0.00498850574712644,0.5597674636979715,115.26993417670178,0.017455567404730345,0.041149425287356316,1.0919540229885059,50.5632183908046,9.195402298850574,9.89655172413793,16.091954022988507,197.93103448275863,283.67816091954023,0.04411472714413089,1100.0,0.0,,0.0,275.0,275.0,275.0,275.0,6195.111928177353,1149.4367816091954,8.804597701149426,15.10344827586207,63.9080459770115,4957.859054614132,1200.0,18.0,25.0,80.0,5155.790089096891,1243.0,979.4843504475292,990.1282092954167,0.9219672131147546,0.47999999999999987,988.7262420823027,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,8.706956854773324,8.706956854773324,8.706956854773324,8.706956854773324,1.0,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.0,0.0,0.0,0.0,0.9799999999999984,0.9799999999999984,0.9799999999999984,0.9799999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5544.712707091359,0.0100473372781065,0.47906317789269287,68.65904658876866,0.01234894334748245,0.07704142011834317,1.2899408284023668,51.27810650887574,9.218934911242604,9.76923076923077,16.4792899408284,194.07692307692307,280.8224852071006,0.050685623939975624,1100.0,481.6568047337278,,1.7514792899408285,275.0,275.0,275.0,275.0,4782.233417150529,667.0650887573964,8.781065088757396,15.23076923076923,63.5207100591716,4027.635784014437,718.3431952662722,18.0,25.0,80.0,4221.71270709136,1243.0,978.1489154858583,990.050823956075,0.9219672131147545,0.47999999999999976,988.6488567429609,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,9.96500647710247,9.96500647710247,9.96500647710247,9.96500647710247,1.0,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.35854350267156426,0.35854350267156426,0.35854350267156426,0.35854350267156426,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.9799999999999986,9.61778263144161,9.61778263144161,9.61778263144161,9.61778263144161,38.47113052576644,923.3071326183943,0.007106422359404942
0.015,5190.96401241678,0.01495348837209299,0.4484992906728097,88.79828347698557,0.01717810158646469,0.10534883720930223,1.4011627906976745,49.28488372093023,8.767441860465116,9.238372093023257,15.255813953488373,183.5581395348837,266.1046511627907,0.051276950563302184,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,3824.859361253992,50.71511627906977,9.232558139534884,15.761627906976743,64.74418604651163,3684.405872881899,100.0,18.0,25.0,80.0,3867.9640124167827,1243.0,977.618190681106,990.0220617109582,0.9219672131147546,0.47999999999999987,988.6200944978436,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,10.466969036737755,10.466969036737755,10.466969036737755,10.466969036737755,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8270115983532121,0.8270115983532121,0.8270115983532121,0.8270115983532121,0.9799999999999985,0.9799999999999985,0.9799999999999985,0.9799999999999985,22.887084510751478,22.887084510751478,22.887084510751478,22.887084510751478,91.54833804300591,2197.160113032143,0.017650597450554716
0.02,4777.593170614507,0.020075581395348815,0.41278404994109336,113.35002959280115,0.02365560606125128,0.11046511627906977,1.4069767441860466,49.16279069767442,8.75,9.395348837209303,15.232558139534884,181.56976744186048,264.11046511627904,0.05530900979628575,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,3413.4827054982266,50.83720930232558,9.25,15.604651162790697,64.76744186046511,3273.023403172645,100.0,18.0,25.0,80.0,3454.5931706145057,1243.0,976.9641953923117,990.0,0.9219672131147546,0.47999999999999987,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,11.098902614574543,11.098902614574543,11.098902614574543,11.098902614574543,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8422492559381588,0.8422492559381588,0.8422492559381588,0.8422492559381588,0.9799999999999985,0.9799999999999985,0.9799999999999985,0.9799999999999985,24.71677512673526,24.71677512673526,24.71677512673526,24.71677512673526,98.867100506941,2372.810412166583,0.020720269405355072
0.025,4488.692014422615,0.025111764705882327,0.3878229900461146,79.42077627575061,0.017716947507570743,0.11952941176470569,1.423529411764706,46.8235294117647,8.288235294117648,8.994117647058824,13.694117647058823,169.4294117647059,247.22941176470587,0.055082767905306536,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,3141.462602657909,53.1764705882353,9.711764705882352,16.00588235294118,66.30588235294118,2996.262602657909,100.0,18.0,25.0,80.0,3165.6920144226146,1243.0,976.4857998306688,990.0,0.9219672131147545,0.4799999999999998,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,11.577298176216143,11.577298176216143,11.577298176216143,11.577298176216143,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8530599369603505,0.8530599369603505,0.8530599369603505,0.8530599369603505,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.9799999999999986,26.11071599145584,26.11071599145584,26.11071599145584,26.11071599145584,104.44286396582336,2506.6287351797646,0.023271301514120494
0.03,4308.483888063276,0.02995151515151512,0.37225300792866667,85.4394621115135,0.019837578161446955,0.1544848484848485,1.690909090909091,48.32121212121212,8.454545454545455,9.23030303030303,14.854545454545455,168.71515151515152,249.57575757575756,0.05794091151583492,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,2958.90813048752,51.67878787878788,9.545454545454545,15.76969696969697,65.14545454545454,2816.768736548125,100.0,18.0,25.0,80.0,2985.4838880632774,1243.0,976.175404232633,990.0,0.9219672131147545,0.47999999999999965,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,11.887693774252517,11.887693774252517,11.887693774252517,11.887693774252517,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8596615776144236,0.8596615776144236,0.8596615776144236,0.8596615776144236,0.9799999999999989,0.9799999999999989,0.9799999999999989,0.9799999999999989,27.018613409974,27.018613409974,27.018613409974,27.018613409974,108.074453639896,2593.786887357505,0.025093366731515878
0.035,4073.0230211988496,0.03502312138728321,0.35190918903158025,77.77766408737912,0.01905688170318421,0.15664739884393059,1.6242774566473988,48.971098265895954,8.61271676300578,9.323699421965317,15.144508670520231,172.635838150289,254.6878612716763,0.0625305470610931,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,2718.335159927171,51.028901734104046,9.38728323699422,15.676300578034683,64.85549132947978,2577.3871830485587,100.0,18.0,25.0,80.0,2750.0230211988473,1243.0,975.7568870952141,990.0,0.9219672131147546,0.47999999999999987,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.30621091166959,12.30621091166959,12.30621091166959,12.30621091166959,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8681214014813332,0.8681214014813332,0.8681214014813332,0.8681214014813332,0.9799999999999984,0.9799999999999984,0.9799999999999984,0.9799999999999984,28.244944831937673,28.244944831937673,28.244944831937673,28.244944831937673,112.97977932775069,2711.514703866019,0.02774769052850868
0.04,3920.268064444269,0.04001775147928993,0.3387111607679849,48.394970746425145,0.012329328359550314,0.16994082840236682,1.7455621301775148,48.52662721893491,8.455621301775148,9.242603550295858,14.810650887573965,168.24852071005918,249.28402366863907,0.06358170958754837,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,2570.9840407756255,51.47337278106509,9.544378698224852,15.757396449704142,65.11481960561626,2429.094073241014,100.0,18.0,25.0,79.92547049319023,2597.342593951074,1243.0,975.4768973273009,990.0,0.9219672131147545,0.47999999999999976,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.586200679584273,12.586200679584273,12.586200679584273,12.586200679584273,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.87349505177611,0.87349505177611,0.87349505177611,0.87349505177611,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.9799999999999986,29.066058456338645,29.066058456338645,29.066058456338645,29.066058456338645,116.26423382535458,2790.34161180851,0.02966149279288434
0.045,3799.047289733395,0.04509039548022597,0.32823768583296525,64.56263000673569,0.017022482602582656,0.20485875706214676,1.8135593220338984,47.909604519774014,8.344632768361581,9.186440677966102,14.384180790960452,168.0677966101695,247.89265536723164,0.06525263313344522,1100.0,1100.0,,4.0,275.0,275.0,275.0,275.0,2451.1546343661594,52.090395480225986,9.655367231638419,15.813559322033898,65.51845085637648,2308.0768614758845,100.0,18.0,25.0,79.90263164733693,2476.1446580860543,1243.0,975.2493394132492,990.0,0.9219672131147546,0.48,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.813758593637395,12.813758593637395,12.813758593637395,12.813758593637395,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8776830938660745,0.8776830938660745,0.8776830938660745,0.8776830938660745,0.9799999999999983,0.9799999999999983,0.9799999999999983,0.9799999999999983,29.73340647168302,29.73340647168302,29.73340647168302,29.73340647168302,118.93362588673207,2854.407021281566,0.03131006649164775
