WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1947,2,1948-03-10,1948-03-11,1948.03,105.26465141656077
1951,5,1952-03-07,1952-03-11,1952.03,103.97208512488146
1956,21,1957-03-03,1957-03-23,1957.03,104.97553740332981
1957,54,1958-02-04,1958-03-29,1958.02,109.44543125441822
1962,32,1963-03-05,1963-04-05,1963.03,87.45323887448143
1968,53,1969-03-05,1969-04-26,1969.03,92.46833569279984
1977,14,1978-04-11,1978-04-24,1978.04,85.03963288805096
