WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1924,10,1924-10-01,1924-10-10,1924.1,16.782441659656183
1933,4,1934-03-25,1934-03-28,1934.03,187.00315163108016
1947,31,1948-03-04,1948-04-03,1948.03,112.595769778735
1951,20,1952-03-02,1952-03-21,1952.03,111.3997629995569
1952,10,1953-03-21,1953-03-30,1953.03,192.8
1955,12,1956-05-05,1956-05-16,1956.05,121.22526134861936
1956,27,1957-03-02,1957-03-28,1957.03,112.3281205832402
1957,60,1958-02-03,1958-04-03,1958.02,116.4645848015182
1960,22,1961-04-02,1961-04-23,1961.04,107.00512044833737
1961,10,1962-04-04,1962-04-13,1962.04,110.62827304577466
1962,44,1963-03-03,1963-04-15,1963.03,94.0593355648788
1967,2,1968-04-07,1968-04-08,1968.04,132.0137128927667
1968,59,1969-03-03,1969-04-30,1969.03,99.74195081807044
1977,35,1978-04-01,1978-05-05,1978.04,91.34661941407388
2008,17,2009-03-16,2009-04-01,2009.03,155.8665251588092
