,Energy
0.0,1046777.7101071618
0.05,985978.9867500832
0.1,949398.4305650174
0.15000000000000002,927570.8483393395
0.2,919572.8622750638
0.25,906019.2486462812
0.30000000000000004,892591.5089435356
0.35000000000000003,884657.9095902697
0.4,873082.1275255439
0.45,869451.2787801602
0.5,862987.6577499987
0.55,856184.6334071544
0.6000000000000001,848147.7593948224
0.65,838680.8371006979
0.7000000000000001,827766.0486514221
0.75,814487.9469264785
0.8,809522.1762521456
0.8500000000000001,792208.2147293193
0.9,779768.0258866575
0.9500000000000001,737946.0444127856
1.0,502756.45583584363
