WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,6,1934-03-24,1934-03-29,1934.03,182.67087358506282
1947,34,1948-03-04,1948-04-06,1948.03,105.26465141656077
1951,20,1952-03-02,1952-03-21,1952.03,103.97208512488146
1952,11,1953-03-21,1953-03-31,1953.03,188.85930519328602
1955,16,1956-05-03,1956-05-18,1956.05,114.607110783246
1956,27,1957-03-02,1957-03-28,1957.03,104.97553740332981
1957,61,1958-02-03,1958-04-04,1958.02,109.44543125441822
1960,24,1961-04-01,1961-04-24,1961.04,99.20994574058297
1961,15,1962-04-03,1962-04-17,1962.04,103.13746020431437
1962,47,1963-03-02,1963-04-17,1963.03,87.45323887448143
1965,2,1966-04-01,1966-04-02,1966.04,140.18436939816456
1967,7,1968-04-02,1968-04-10,1968.04,126.39608762946169
1968,60,1969-03-02,1969-04-30,1969.03,92.46833569279984
1974,7,1975-04-01,1975-04-07,1975.04,118.088905032175
1975,3,1976-03-31,1976-04-02,1976.03,192.3734812435503
1977,37,1978-03-31,1978-05-06,1978.03,163.58088315161604
2008,20,2009-03-16,2009-04-04,2009.03,151.23664989054174
