,Energy
0.0,445254.6523311289
0.05,432169.0020374784
0.1,426912.5271209671
0.15000000000000002,419969.21768864855
0.2,409409.66277868557
0.25,405428.8692578409
0.30000000000000004,403199.2852998093
0.35000000000000003,399184.23457998736
0.4,395009.09044237353
0.45,393656.1435632791
0.5,391930.56430013705
0.55,388311.8455261692
0.6000000000000001,385887.5339163575
0.65,383841.23634218384
0.7000000000000001,379686.5584908775
0.75,378172.0759773263
0.8,376327.758233034
0.8500000000000001,373262.34791262733
0.9,370691.9718527562
0.9500000000000001,363576.71559842356
1.0,343325.66463165963
