,Energy
0.0,1013753.8861400404
0.05,953598.0437808316
0.1,917740.7909561737
0.15000000000000002,896631.7456744662
0.2,883511.0259964803
0.25,868227.9715425404
0.30000000000000004,856257.0824806809
0.35000000000000003,849972.0821698107
0.4,841900.5611756
0.45,837391.7653165073
0.5,831504.4546690946
0.55,826192.5155522713
0.6000000000000001,812265.9934361425
0.65,804092.3171824584
0.7000000000000001,798227.7956822466
0.75,789699.4536018432
0.8,773155.3871713739
0.8500000000000001,765507.2421135767
0.9,747145.822623959
0.9500000000000001,712991.1547998114
1.0,489219.5771716952
