WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1947,20,1948-03-06,1948-03-27,1948.03,111.11984918361007
1951,15,1952-03-03,1952-03-17,1952.03,109.82352924378046
1952,5,1953-03-22,1953-03-26,1953.03,193.3346914367556
1956,24,1957-03-02,1957-03-25,1957.03,110.82994637558608
1957,57,1958-02-04,1958-04-01,1958.02,115.30877628425176
1960,16,1961-04-04,1961-04-19,1961.04,105.0424841844357
1962,39,1963-03-04,1963-04-11,1963.03,93.2041085196204
1968,56,1969-03-04,1969-04-28,1969.03,98.26024562314518
1977,25,1978-04-06,1978-04-30,1978.04,90.76736889314822
2008,6,2009-03-19,2009-03-24,2009.03,156.84303714973794
