WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,FlowSpill_max,FlowSpill_mean,FlowSpill_median,FlowSpill_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Power_P95,Power_P90,FlowAvailableForGeneration_P95,FlowAvailableForGeneration_P50,Energy_stdev,Energy_coefvar,PropYearsMinAvailFlowGt1UnitRatedFlow,PropYearsMinAvailFlowGt2UnitRatedFlow,PropYearsMinAvailFlowGt3UnitRatedFlow,PropYearsMinAvailFlowGtCanalRatedFlow
1.0,Oct,10,0.5785530571318876,0.39693295546547486,0.4006549758414756,0.27492306710063413,120.0,93.6233090530697,97.0,52.0,317.0948595110257,144.98760276218675,131.82851249859814,45.21871190689431,4.647574078628568,0.0499739148239631,0.0,0.0,25.4,25.23543829004351,25.4,17.206451612903226,965.5669268677996,964.6511076174937,964.5708925165089,964.4049802861842,990.5,990.5,990.5,990.5,1.017343045438779,68.15800747847368,31.67612740191423,28.968509334035318,8.884463242686271,50709.55756398441,23567.038787024187,21552.57094452228,6610.040652558587,16574.147265945638,18352.442081945348,19344.10377758332,27282.493316528795,31956.71814243942,35620.203174382106,20.80695327498397,22.304365644687,104.06714388570062,131.82851249859814,6860.082748904032,0.29108802386666993,0.03225806451612903,,,
2.0,Nov,11,0.4034291765582278,0.33151802389369356,0.33420208450834643,0.2187050914699886,114.0,89.3584229390681,93.0,50.0,411.82899671077746,186.507622527708,170.5096160537094,103.74026067187587,0.0,0.0,0.0,0.0,25.4,25.18402212379436,25.327515945872957,23.975980242598947,965.9641217383279,964.8131786668553,964.7526717765577,964.4289427807714,990.5,990.5,990.5,990.5,1.096774193548387,86.72975635643752,40.46121522690498,37.94144545689005,22.133844870746554,62445.42457663502,29132.07496337159,27317.840728960837,15936.36830693752,19719.940922511385,21739.629012303347,23529.79789442838,31866.970507566417,38543.90749550585,44516.24933238786,23.7652435239286,27.59045577641223,125.33518236680631,170.5096160537094,8520.331921931049,0.2924725386929648,0.053763440860215055,,,
3.0,Dec,12,0.28858412954650264,0.24170003571209234,0.24275653922785576,0.15783655577588926,126.0,100.28962885882761,104.0,59.0,677.0604363370672,331.98454659470417,298.6365985219507,170.54565916889595,0.0,0.0,0.0,0.0,25.39181446360744,24.465802823150604,24.62834212960715,22.53347245444956,967.1122417453482,965.5248811101172,965.4008600820442,964.5804093980039,990.5,990.5,990.5,990.5,1.716961498439126,135.56272145921298,69.51489692434212,63.97258499261112,37.824988602201735,100858.66476565445,51719.083311710536,47595.603234502676,28141.79152003809,35635.20331990296,37529.13191392728,41844.6572315636,60851.8558834475,67361.7187067478,83525.7451346636,40.903349315949036,46.117491072704894,224.88809927016064,298.6365985219507,14545.749586955579,0.28124530938200226,0.27956989247311825,0.021505376344086023,,
4.0,Jan,1,0.22243172948146744,0.17734663611994939,0.18130817924515236,0.09766532087596921,150.0,117.76344086021506,120.0,73.0,1067.2788354383574,569.8282980640186,500.5813035849071,256.8588196371347,641.2652296010651,31.563367015666334,0.0,0.0,24.89539541764107,23.010132608454924,23.47166050542072,18.74789827888354,969.990481203639,966.7064499339775,966.370593559304,965.0498228733916,990.5,990.5,990.5,990.5,2.541796739507457,179.02849918925287,112.22826064628458,102.88261226289104,50.909801527438525,133197.20339680414,83497.82592083573,76544.66352359095,37876.89233641427,57458.76605789954,62865.90851846585,69042.67675188361,96697.72368536906,117690.38233163473,123009.85463343933,71.52932388504898,76.51176935889153,356.10987008736623,500.5813035849071,21214.167314910384,0.2540684991609665,0.967741935483871,0.21505376344086022,0.043010752688172046,
5.0,Feb,2,0.1888322232074523,0.12946557688045346,0.13933999962767304,0.023961043626792078,197.0,138.9597436304889,137.0,85.0,1100.0,824.4615776440648,825.5287352790685,117.85714285714286,8315.160424461821,383.66659396355595,4.871836566085371,0.0,24.40500325054902,20.62647103738866,21.574700570587574,7.814738368149308,981.3835701187494,968.6468165047293,967.7857286637476,965.6329545624096,991.0265801625186,990.5057574993957,990.5,990.5,3.3578844218443775,188.43113796781145,147.05822532871085,147.4737776732675,46.810083131745834,131148.07202559678,99689.82842459966,100023.61304465788,31456.375864533202,70991.24152998856,78399.65691629033,90043.68843260036,113263.5493300546,122832.59242090865,124931.1250870258,96.4,96.4,538.0907040533189,850.3299017737432,18559.999100884423,0.1861774605713387,1.0,0.8387096774193549,0.34408602150537637,0.12903225806451613
6.0,Mar,3,0.18299249746765942,0.095461581866436,0.09152482950340028,0.04024554964164297,315.0,194.51092611862643,185.4516129032258,107.0,1100.0,962.6239189059406,1083.2138803571636,0.0,7680.326305791486,1373.4926721643637,1038.7038473396926,0.0,23.578774091659405,17.010670041073773,16.737236517688242,7.9920292951175735,981.0311395424975,971.809652723837,971.865348689372,966.239337172878,990.8672382911273,990.5124623115449,990.5,990.5,3.636836628511967,188.10884662842722,147.01759804176217,153.79364149533467,48.02932379334536,139952.98189154986,109381.09294307105,114422.46927252898,35733.81690224895,57739.28551071157,81926.17964438294,97622.463782362,126303.82223476245,133729.37442613387,136195.34739166131,73.816149901243,96.4,743.5523769289445,2138.703847339693,23189.48284753004,0.21200631867519676,1.0,0.978494623655914,0.7956989247311828,0.5591397849462365
7.0,Apr,4,0.1652951863468934,0.08510947063790492,0.08204159868474173,0.04999255055865049,364.0,231.26523297491042,217.0,125.0,1100.0,1045.6921554074527,1100.0,73.33333333333333,6985.383753525471,1688.0888647867498,1624.274054176072,0.0,22.808305926892924,15.57397052527673,15.171251004204494,8.352461304427054,980.5487370056194,973.0720853031643,973.3875595832773,966.9352097949219,990.7600397868047,990.5064818566445,990.5,990.5,3.8422939068100357,192.8,143.42842007992385,143.29027025138132,52.560370922455,138816.00000000003,103268.46245754519,103168.99458099456,37843.467064167606,64968.824676871074,73465.6472517372,91079.63551053123,119319.44315594679,133778.79206953323,137000.81083996512,82.35267078558628,96.9314031144648,955.9631613513833,2724.274054176072,22468.797193211365,0.217576563633341,1.0,1.0,0.967741935483871,0.8064516129032258
8.0,May,5,0.22315041945220418,0.1308009424199836,0.12830223424100134,0.06639300174857947,340.0,265.2712452306625,276.0,147.0,1100.0,1053.6175719309608,1100.0,538.9487330114719,3741.780585946041,900.4643261242827,845.7790433869877,0.0,23.19572711810361,17.320283146489512,16.929384054310802,10.861922564494586,977.7419401489382,971.3751909470985,971.6294265331709,966.6307491792792,990.5327997295132,990.5005408581318,990.5,990.5,3.904960110995491,192.01349888044155,159.0866997106798,161.87504701193734,88.40081956369362,142858.04316704854,118360.50458474578,120435.03497688139,65770.20975538806,88653.63196338914,94027.33520602138,110457.47537922452,131375.19364877374,135802.83044042363,138423.64756030042,112.39570450905123,127.89068527387745,721.5704129304474,1945.7790433869877,16127.370727957788,0.13625635328726263,1.0,0.946236559139785,0.8924731182795699,0.7204301075268817
9.0,Jun,6,0.3694252297337769,0.20003973185351145,0.19528752408331404,0.10873122812078315,293.0,212.9426523297491,210.0,119.0,1100.0,833.3469132127444,901.0226387523617,207.63950860669672,1429.0060724694438,156.42194038866427,66.78940883979281,0.0,25.031982989737127,20.794844141129737,20.6759255909249,15.516085889559266,973.0427246979224,968.4109056507237,968.4479073367573,965.0381153541642,990.5,990.5,990.5,990.5,3.350179211469534,182.2583948296825,148.80297385626247,161.44144215018048,44.53265366048255,131226.0442773714,107138.14117650899,116237.83834812995,32063.510635547438,50181.330910024015,71965.47937845948,95985.91361248905,125292.9179601899,127872.38400763222,128791.99362629307,64.82030315713286,81.30449932825005,331.37882597953086,968.038151808228,24691.06639423155,0.23046009687206792,0.946236559139785,0.5591397849462365,0.25806451612903225,0.053763440860215055
10.0,Jul,7,0.4445710694055652,0.33593978761170223,0.3368306175198768,0.2029335652117473,256.0,187.10579257717657,186.0,108.0,953.6561740362671,400.22194329426725,357.29998096473884,135.87695190397002,111.80528420736093,1.9386271878987071,0.0,0.0,25.4,23.707865173953195,23.914487965045815,20.10044438669073,968.9141850640831,966.1936564664303,966.0325960018707,964.6547702929782,990.5,990.5,990.5,990.5,1.9556018036767258,169.67669360316867,80.6313917991148,72.7351787434416,29.9234092990184,126239.46004075749,59989.75549854141,54114.97298512054,22263.01651846969,34664.84112310746,39344.57854315993,46487.8524728871,70462.89040567898,86845.91685504228,101813.95322274251,45.16146585538376,48.2,219.23814014897056,357.29998096473884,21205.20911730689,0.3534805058144048,0.4731182795698925,0.03225806451612903,,
