,Energy
0.0,1019174.6994155706
0.05,958360.133183108
0.1,926475.7372707793
0.15000000000000002,905399.1605020886
0.2,887516.0992743929
0.25,873773.6705320086
0.30000000000000004,867019.2773513603
0.35000000000000003,855219.6829333267
0.4,851809.654508993
0.45,844501.5395102823
0.5,839110.806101114
0.55,833314.59967209
0.6000000000000001,830005.9873048922
0.65,819922.8866657525
0.7000000000000001,810213.7121592215
0.75,798166.4994509653
0.8,790589.9140510875
0.8500000000000001,771104.6924336215
0.9,761942.50301292
0.9500000000000001,722340.6457230883
1.0,492754.1297931692
