,Energy
0.0,986497.6106840096
0.05,926007.0168962128
0.1,891331.67865631
0.15000000000000002,873523.6219042259
0.2,862825.6464620124
0.25,855745.048985731
0.30000000000000004,840764.7943021241
0.35000000000000003,830391.4346306185
0.4,823028.6229847793
0.45,817407.5176560122
0.5,812351.7882981866
0.55,802332.4406998905
0.6000000000000001,797623.471669658
0.65,791436.5673649207
0.7000000000000001,784071.7328026266
0.75,773981.0770166813
0.8,761728.8853562475
0.8500000000000001,750246.2223894346
0.9,746607.9719057612
0.9500000000000001,701294.4687957154
1.0,495530.7382158064
