,Energy
0.0,1064406.452257879
0.05,1016481.9640953253
0.1,988011.2124593691
0.15000000000000002,951121.6658291596
0.2,926653.3514327408
0.25,919293.1836702207
0.30000000000000004,907711.9929495126
0.35000000000000003,886598.1535510768
0.4,866121.2023342352
0.45,851242.971552627
0.5,837482.6233185688
0.55,824412.3421356566
0.6000000000000001,816412.0052048662
0.65,787490.9600222737
0.7000000000000001,781068.3459055291
0.75,777448.679780939
0.8,744352.2715185344
0.8500000000000001,720769.6773991192
0.9,681507.5974159226
0.9500000000000001,628030.2044698994
1.0,405736.9641428756
