Exceedance,Power
0.0,192.8
0.05,183.1651072159113
0.1,174.02263370106786
0.15000000000000002,163.73990721813587
0.2,155.19922239386796
0.25,145.20377747235835
0.30000000000000004,135.23082558075868
0.35000000000000003,125.65150304576368
0.4,112.55772490829708
0.45,97.6314322130663
0.5,85.04044685125739
0.55,73.15227039440917
0.6000000000000001,62.92273222226188
0.65,54.37089222819824
0.7000000000000001,48.12412058177816
0.75,44.04686531635006
0.8,37.98716352052331
0.8500000000000001,33.822076869758135
0.9,29.806786603030535
0.9500000000000001,25.944706853477413
1.0,0.0
