WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1947,24,1948-03-05,1948-03-28,1948.03,99.1334506084345
1951,16,1952-03-03,1952-03-18,1952.03,97.96715890940708
1952,6,1953-03-22,1953-03-27,1953.03,172.6485828590939
1955,3,1956-05-11,1956-05-13,1956.05,107.55023096216934
1956,25,1957-03-02,1957-03-26,1957.03,98.87261914492669
1957,57,1958-02-04,1958-04-01,1958.02,102.90279834529964
1960,18,1961-04-03,1961-04-20,1961.04,93.66643411935786
1962,39,1963-03-04,1963-04-11,1963.03,83.02257273771141
1968,57,1969-03-03,1969-04-28,1969.03,87.5676194198068
1977,25,1978-04-06,1978-04-30,1978.04,80.83264544308932
2008,9,2009-03-18,2009-03-26,2009.03,140.32729955332354
