WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1924,10,1924-10-01,1924-10-10,1924.1,15.068381985644535
1947,19,1948-03-06,1948-03-27,1948.03,110.15485269704908
1951,14,1952-03-03,1952-03-16,1952.03,108.84440494572324
1952,5,1953-03-22,1953-03-26,1953.03,192.8
1956,24,1957-03-02,1957-03-25,1957.03,109.86134645155792
1957,57,1958-02-04,1958-04-01,1958.02,114.42538452599112
1960,16,1961-04-04,1961-04-19,1961.04,101.77309808970716
1962,39,1963-03-04,1963-04-11,1963.03,84.44254063147508
1968,56,1969-03-04,1969-04-28,1969.03,91.72040414388336
1977,24,1978-04-07,1978-04-30,1978.04,81.03889272141528
2008,4,2009-03-20,2009-03-23,2009.03,156.01273960273377
