WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,FlowSpill_max,FlowSpill_mean,FlowSpill_median,FlowSpill_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Power_P95,Power_P90,FlowAvailableForGeneration_P95,FlowAvailableForGeneration_P50,Energy_stdev,Energy_coefvar,PropYearsMinAvailFlowGt1UnitRatedFlow,PropYearsMinAvailFlowGt2UnitRatedFlow,PropYearsMinAvailFlowGt3UnitRatedFlow,PropYearsMinAvailFlowGtCanalRatedFlow
1.0,Oct,10,0.5785530571318876,0.39693295546547486,0.4006549758414756,0.27492306710063413,120.0,93.6233090530697,97.0,52.0,317.0948595110257,144.98760276218675,131.82851249859814,45.21871190689431,4.647574078628568,0.0499739148239631,0.0,0.0,25.40246237385353,25.10361231426266,25.21104955661852,24.060303882611574,965.5669268677996,964.6511076174937,964.5708925165089,964.4049802861842,990.0,990.0,990.0,990.0,1.017343045438779,68.47895906758555,30.66746903642453,29.540041097929624,5.803774006142225,50948.34554628365,22816.596963099855,21977.79057685964,4318.007860569815,10538.487064480623,13971.136505757571,19043.87218608651,27429.286158561692,32091.104706718153,35646.26086381066,0.0,21.582465750423285,104.06714388570062,131.82851249859814,7901.577739521337,0.34630833652801796,0.03225806451612903,,,
2.0,Nov,11,0.4034291765582278,0.33151802389369356,0.33420208450834643,0.2187050914699886,114.0,89.3584229390681,93.0,50.0,411.82899671077746,186.507622527708,170.5096160537094,103.74026067187587,0.0,0.0,0.0,0.0,25.357972563200583,24.88354938027556,24.94727879131329,23.52071898512631,965.9641217383279,964.8131786668553,964.7526717765577,964.4289427807714,990.0,990.0,990.0,990.0,1.096774193548387,86.9712459872062,40.4522183240444,38.181258746082186,20.888105423923257,62619.297110788466,29125.59719331197,27490.50629717917,15039.435905224744,18759.304729497464,20755.106424352743,23912.344702835027,31945.30324083276,38680.62543857549,44694.302882266325,24.39173595681356,28.22504050682862,125.33518236680631,170.5096160537094,8685.68393028649,0.2982147927349953,0.053763440860215055,,,
3.0,Dec,12,0.28858412954650264,0.24170003571209234,0.24275653922785576,0.15783655577588926,126.0,100.28962885882761,104.0,59.0,677.0604363370672,331.98454659470417,298.6365985219507,170.54565916889595,0.0,0.0,0.0,0.0,25.129238512312515,24.03266482732862,24.198926861146436,22.039723887257114,967.1122417453482,965.5248811101172,965.4008600820442,964.5804093980039,990.0,990.0,990.0,990.0,1.716961498439126,135.22186704876341,69.71859590699964,64.25465816966424,38.24567724890491,100605.06908427997,51870.63535480773,47805.4656782302,28454.783873185257,35757.24876378632,37624.00333597449,41945.44229499427,61015.01090761117,67408.76724348014,83677.97197201986,41.34849506432736,46.2727677044073,224.88809927016064,298.6365985219507,14500.587411479852,0.2795529168342033,0.27956989247311825,0.021505376344086023,,
4.0,Jan,1,0.22243172948146744,0.17734663611994939,0.18130817924515236,0.09766532087596921,150.0,117.76344086021506,120.0,73.0,1067.2788354383574,569.8282980640186,500.5813035849071,256.8588196371347,641.2652296010651,31.563367015666334,0.0,0.0,24.53739931628348,22.5528548626281,23.009509576491403,18.33368525889868,969.990481203639,966.7064499339775,966.370593559304,965.0498228733916,990.0,990.0,990.0,990.0,2.541796739507457,178.22016477023578,112.24743666643111,103.06620593296743,50.96038196516332,132595.8025890554,83512.09287982475,76681.25721412778,37914.52418208151,57729.967290124034,63052.9619607895,69185.10769927404,96592.34625979821,117427.95373791193,122563.6447966968,71.77937700480739,77.12444431013317,356.10987008736623,500.5813035849071,21024.09306005614,0.25174908609116226,0.967741935483871,0.21505376344086022,0.043010752688172046,
5.0,Feb,2,0.1888322232074523,0.12946557688045346,0.13933999962767304,0.023961043626792078,197.0,138.9597436304889,137.0,85.0,1100.0,824.0391506087345,825.5287352790685,78.57142857142857,8354.446138747535,384.08902099888616,4.871836566085371,0.0,23.9254172789861,20.170439092499624,21.104198599476,7.401638368149301,981.3835701187494,968.6468165047293,967.7857286637476,965.6329545624096,990.5265801625186,990.0057574993957,990.0,990.0,3.3563483235340854,187.63329546453156,146.96244493571578,147.06336652046895,53.569179644267514,130592.77364331397,99625.41255037062,100089.65496720518,35998.48872094777,71940.3459641978,78431.67609992764,90431.87971554027,113039.20970467865,122346.1964511264,124376.55565136443,96.4,96.4,538.0907040533189,850.3299017737432,18118.036876948256,0.18186159949689318,1.0,0.8387096774193549,0.34408602150537637,0.12903225806451613
6.0,Mar,3,0.18299249746765942,0.095461581866436,0.09152482950340028,0.04024554964164297,315.0,194.51092611862643,185.4516129032258,107.0,1100.0,946.9804919201619,1082.8736405027446,0.0,7680.326305791486,1389.1360991501424,1038.7038473396926,0.0,23.151228474332715,16.583098215978396,16.32413651768824,7.578929295117568,981.0311395424975,971.809652723837,971.865348689372,966.239337172878,990.3672382911273,990.0124623115449,990.0,990.0,3.5799514394727714,187.72013546489396,147.88782715416738,153.559830622189,56.53248387266235,139663.7807858811,110028.54340270054,114248.51398290863,42060.16800126078,63675.03673442697,84514.92502527179,99414.68301479785,125864.03813396643,133129.87481719608,135642.37265705783,82.5247327953782,97.70795175652378,743.5523769289445,2138.703847339693,21475.01232154407,0.19517673921162704,1.0,0.978494623655914,0.7956989247311828,0.5591397849462365
7.0,Apr,4,0.1652951863468934,0.08510947063790492,0.08204159868474173,0.04999255055865049,364.0,231.26523297491042,217.0,125.0,1100.0,1031.4986070203558,1100.0,0.0,7058.717086858804,1702.2824131738466,1624.274054176072,0.0,22.293033327546247,15.15680189051954,14.758151004204489,7.939361304427048,980.5487370056194,973.0720853031643,973.3875595832773,966.9352097949219,990.2600397868047,990.0064818566445,990.0,990.0,3.7906810035842295,192.8,144.5177149881372,143.30926300465993,61.39091087331996,138816.00000000003,104052.75479145876,103182.66936335515,44201.45582879037,70669.59309796795,77308.37033273991,91782.8483632293,119019.03551125368,133121.46195842227,136666.67290695512,92.4038254660285,103.8039234269364,955.9631613513833,2724.274054176072,20920.674793239068,0.2010583461741885,1.0,1.0,0.967741935483871,0.8064516129032258
8.0,May,5,0.22315041945220418,0.1308009424199836,0.12830223424100134,0.06639300174857947,340.0,265.2712452306625,276.0,147.0,1100.0,1047.1312729368574,1100.0,538.9487330114719,4167.587037558945,906.9506251183859,845.7790433869877,0.0,22.706051172265052,16.899908190891928,16.51628405431079,10.448822564494582,977.7419401489382,971.3751909470985,971.6294265331709,966.6307491792792,990.0327997295132,990.0005408581318,990.0,990.0,3.8813735691987516,191.158714044027,158.93887530068247,161.618114328212,96.24437409865625,142222.0832487561,118250.52322370776,120243.87706018973,71605.81432940025,88605.79934740716,95444.69951219959,110493.25065087822,130717.5936285859,135096.0713887828,137701.48468205903,114.360971590477,128.75058798960032,721.5704129304474,1945.7790433869877,15494.135657673625,0.13102805159146427,1.0,0.946236559139785,0.8924731182795699,0.7204301075268817
9.0,Jun,6,0.3694252297337769,0.20003973185351145,0.19528752408331404,0.10873122812078315,293.0,212.9426523297491,210.0,119.0,1100.0,833.3469132127444,901.0226387523617,207.63950860669672,1429.0060724694438,156.42194038866427,66.78940883979281,0.0,24.610952235887783,20.35049331343119,20.233726640728,15.10298588955926,973.0427246979224,968.4109056507237,968.4479073367573,965.0381153541642,990.0,990.0,990.0,990.0,3.350179211469534,181.286292622407,148.37700786051923,160.93665117676576,44.662396559490844,130526.13068813304,106831.44565957384,115874.38884727134,32156.92552283341,50360.75531032444,72039.10494421783,95852.96992444879,124778.80358620342,127273.36006538689,128171.73013660237,65.15022308834133,81.92213918003735,331.37882597953086,968.038151808228,24460.533877413684,0.22896380112049547,0.946236559139785,0.5591397849462365,0.25806451612903225,0.053763440860215055
10.0,Jul,7,0.4445710694055652,0.33593978761170223,0.3368306175198768,0.2029335652117473,256.0,187.10579257717657,186.0,108.0,953.6561740362671,400.22194329426725,357.29998096473884,135.87695190397002,111.80528420736093,1.9386271878987071,0.0,0.0,25.11051023504458,23.26727682136668,23.487321940224298,19.65608328190865,968.9141850640831,966.1936564664303,966.0325960018707,964.6547702929782,990.0,990.0,990.0,990.0,1.9556018036767258,168.90652716699492,80.75028259235746,72.94327430778746,30.27775157358236,125666.45621224421,60078.210248713964,54269.796084993875,22526.647170745277,34715.447395859585,39446.64428226032,46628.627723225894,70534.2934641224,86826.2977985173,101618.50783564214,45.31526207184758,48.2,219.23814014897056,357.29998096473884,21094.119764436284,0.3511109881121638,0.4731182795698925,0.03225806451612903,,
