Exceedance,Power
0.0,195.05991744037792
0.05,183.67816459684587
0.1,175.02456202334167
0.15000000000000002,165.777217958658
0.2,156.8159325153048
0.25,148.10380402996446
0.30000000000000004,138.91868645411958
0.35000000000000003,127.64995788164431
0.4,116.00602321751295
0.45,103.71917659268671
0.5,91.44943429512176
0.55,78.33793132249869
0.6000000000000001,68.19715526861242
0.65,59.90931332348376
0.7000000000000001,54.496460938696735
0.75,48.74859813945485
0.8,42.51424951297233
0.8500000000000001,38.268513439473246
0.9,33.61123892660396
0.9500000000000001,29.62459288101053
1.0,0.0
