StartYear,DebtEnergy,DebtDiscountedEnergy,DebtEnd,EquityEnd,EquityEnergy,EquityDiscountedEnergy,DebtAvEnergy,EquityAvEnergy
1924,14225.59025342812,5549.848270996475,1941,1948,19630.521235894576,5849.747901931878,790.3105696348955,785.2208494357831
1925,14130.763079293623,5508.264153903241,1942,1949,19635.245067286174,5814.65764301757,785.0423932940902,785.409802691447
1926,14164.914485862204,5511.744794958166,1943,1950,19721.964223889452,5818.642165745549,786.9396936590114,788.8785689555781
1927,14109.377625475052,5448.064500783607,1944,1951,19815.381956095047,5760.853810061058,783.8543125263918,792.6152782438019
1928,14106.552611439412,5440.204535970683,1945,1952,19932.95451145954,5759.032748452793,783.6973673021896,797.3181804583816
1929,14312.808848505401,5589.920674123791,1946,1953,20167.273480015803,5907.986511523907,795.156047139189,806.6909392006321
1930,14457.418245291263,5619.077728137936,1947,1954,20328.795446254684,5931.920627981227,803.1899025161813,813.1518178501874
1931,14207.731269380643,5615.966512616754,1948,1955,20540.19655636988,5961.185784847197,789.3184038544802,821.6078622547952
1932,14152.387484488923,5524.473238504493,1949,1956,20528.30252034317,5875.251335458418,786.2437491382735,821.1321008137269
1933,14351.9992019195,5665.0965919865685,1950,1957,20850.8493826957,6022.44600812156,797.3332889955277,834.033975307828
1934,14466.256987308385,5662.226866126797,1951,1958,20942.537502991465,6018.405834891398,803.6809437393547,837.7015001196586
1935,14538.107600729425,5645.099073777471,1952,1959,20939.898680284175,6000.03510874607,807.672644484968,837.595947211367
1936,14660.605767781031,5699.563225079144,1953,1960,21081.496824730308,6057.212548142418,814.4780982100573,843.2598729892123
1937,14744.097703484467,5657.003742134193,1954,1961,21223.508151081198,6015.840367918378,819.1165390824704,848.9403260432479
1938,14953.182482050948,5699.764666687731,1955,1962,21498.095278598674,6057.317982075625,830.7323601139416,859.923811143947
1939,15038.185165504428,5736.309949529975,1956,1963,21679.722581423943,6100.610101451026,835.4547314169126,867.1889032569577
