,Energy
0.0,1019891.1762831757
0.05,959498.9946005275
0.1,923605.2330086972
0.15000000000000002,905105.6827990464
0.2,892783.5081165078
0.25,876643.3478971594
0.30000000000000004,869659.506931599
0.35000000000000003,859764.1571088008
0.4,851802.2083770125
0.45,844767.9610318057
0.5,841217.6108472778
0.55,835605.1958637229
0.6000000000000001,831205.7280841642
0.65,818778.4728047589
0.7000000000000001,809610.133707796
0.75,796517.2899228832
0.8,789405.3128531005
0.8500000000000001,770335.1794129626
0.9,757805.2376926409
0.9500000000000001,721042.7755971667
1.0,492308.11494490976
