WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1924,10,1924-10-01,1924-10-10,1924.1,15.061287382702725
1933,6,1934-03-24,1934-03-29,1934.03,182.90248960370172
1947,34,1948-03-04,1948-04-06,1948.03,102.10609772463312
1951,20,1952-03-02,1952-03-21,1952.03,100.17565158494756
1952,11,1953-03-21,1953-03-31,1953.03,189.6125246364388
1955,16,1956-05-03,1956-05-18,1956.05,113.70610754729726
1956,27,1957-03-02,1957-03-28,1957.03,101.67285095268196
1957,61,1958-02-03,1958-04-04,1958.02,108.46314135507224
1960,24,1961-04-01,1961-04-24,1961.04,93.1029235694774
1961,15,1962-04-03,1962-04-17,1962.04,98.93800955820367
1962,47,1963-03-02,1963-04-17,1963.03,76.35129298167809
1965,2,1966-04-01,1966-04-02,1966.04,139.19765809689972
1967,7,1968-04-02,1968-04-10,1968.04,125.65514497944004
1968,60,1969-03-02,1969-04-30,1969.03,83.23585783732524
1974,7,1975-04-01,1975-04-07,1975.04,117.29156071783537
1975,3,1976-03-31,1976-04-02,1976.03,188.60073015204716
1977,37,1978-03-31,1978-05-06,1978.03,163.03430371325427
2008,20,2009-03-16,2009-04-04,2009.03,150.12076515510657
