MonthId,Flow,Exceedance,Year,Month,WaterYear,WaterMonth,Flow_difference,Flow_difference_pct,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,PotentialPower1u,PotentialPower2u,PotentialPower3u,PotentialPower4u,Power_max,Power_min,Turbines_max,Turbines_min,Energy,FlowAvailableForGeneration_min,Days,CapFactor
1924.1,116.38241501778093,0.998677419354839,1924.0,10.0,1924.0,1.0,0.5379583545580013,0.020359598197851894,28.193548387096776,4.32258064516129,2.3225806451612905,2.0,29.677419354838708,66.51612903225806,0.5785530571318874,49.866285985522886,45.218711906894306,1.0,0.6774193548387096,66.75143186255826,,,,4.647574078628571,1.7727859887552286,0.2395656741561119,0.1437394044936672,0.09582626966244477,2.3956567415611194,29.966334375852007,4.562146319317403,2.4663200496549575,2.095826269662445,32.073076096399824,82.21351265171869,964.5,990.0,0.0687182558920131,0.0,989.9312817441081,0.031040546652450776,,,,25.396089647030777,,,,,0.29667303050025895,,,,0.8414285714285712,,,,0.9600000000000005,,,,13.467110282888422,,,,9.122881159376028,0.07650322431804688,51.939821525726366,103.56264782291922,154.51092689563487,203.96247227591294,15.55219931098161,0.0,1,0,6787.423582575766,14.407479643748571,31,0.05631408123071623
1924.11,153.98009223196553,0.9917666666666667,1924.0,11.0,1924.0,2.0,2.2917513363831366,0.014462080559375845,23.0,4.0,2.0,2.0,19.0,50.0,0.3294490448170421,103.98009223196553,103.98009223196553,,1.0,103.98009223196553,,,,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,2.0,2.0,19.0,132.98009223196556,964.4802036156663,990.0,0.08522048598817003,0.000989819216695192,989.9137896947954,0.07872909032119726,,,,25.354856988807878,,,,,0.46213374325317996,,,,0.8946666666666669,,,,0.9639999999999999,,,,22.391723641657475,,,,22.391723641657475,0.1440257714060591,51.959666719050695,103.60393997707426,154.57680082148985,204.05901321285086,31.326944733370386,16.271367530236663,1,1,16122.041021993382,78.24515030123536,30,0.13822051630652762
1924.12,275.6771981874483,0.8312903225806451,1924.0,12.0,1924.0,3.0,9.228880240730861,0.03006207864326213,26.0,4.0,3.0,2.0,24.0,59.0,0.22121467439422207,216.67719818744825,216.67719818744825,,1.1612903225806452,191.79575726691553,154.26493370730267,,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,3.0,2.0,24.0,249.6771981874483,964.8008860567483,990.0,0.1247723615179237,0.014429081682335962,989.8607985567995,0.26852620575949904,0.17120145318530353,,,24.79138629429204,24.408067624617807,,,,0.852425587852958,0.6856219275880119,,,0.936451612903226,0.9260000000000002,,,0.9751612903225807,0.97,,,42.66289033710465,33.16530261781567,,,48.012132694816856,0.17289388264697383,51.61600500576535,102.89123097952486,153.44538596754347,202.4125786707692,81.58399984386251,29.725104562311444,2,1,35721.026724943746,133.89523707448373,31,0.2963711894741782
1925.01,692.7386733693181,0.4581612903225807,1925.0,1.0,1924.0,4.0,41.218566350011514,0.05263550936345971,37.12903225806452,5.67741935483871,4.0,2.6774193548387095,55.354838709677416,104.83870967741936,0.15882613169764426,587.899963691899,584.3253974667336,,2.6774193548387095,218.14967805273983,218.14967805273983,208.61937514331706,238.3051471703478,3.5745662251652983,1.221310126931477,0.17872831125826497,0.11915220750550994,0.08936415562913248,1.9660114238409145,38.35034238499599,5.856147666096975,4.11915220750551,2.7667835104678424,57.32085013351834,632.651039725332,966.6375282308159,990.0,0.304622543673826,0.1227882446616741,989.5725892116643,0.342142884677274,0.342142884677274,0.31588722994550456,0.40299068687412015,22.592918096171378,22.592918096171378,21.712493816983756,20.522911514971856,,0.969554124678844,0.969554124678844,0.9271972228591868,1.059133987423768,0.9392685205836221,0.9392685205836221,0.934094581292306,0.9353320197274694,0.9780645161290323,0.9780645161290323,0.9764285714285716,0.9800000000000002,44.34194489918143,44.34194489918143,40.199361716313675,43.93452200726919,116.75913876866203,0.17048655147605435,49.12884527970828,97.78577137242782,145.46570053466564,191.06443498785046,180.45259051378858,73.55298102779584,4,2,86868.79924388454,344.8577719356288,31,0.7207354244979137
1925.02,1193.6784517725657,0.27821428571428575,1925.0,2.0,1924.0,5.0,24.86516631802503,0.02026369014726581,49.0,8.0,7.0,5.0,93.0,162.0,0.13644386908653713,1031.6784517725653,981.8705916882403,,4.0,245.4676479220602,245.4676479220602,245.4676479220602,245.4676479220602,49.807860084324766,11.375699068145511,2.0963240461112207,2.1521914851251434,1.5372796322322455,32.64636585271064,60.37569906814552,10.09632404611122,9.152191485125144,6.537279632232244,125.64636585271062,1061.4948062876226,968.5094070159264,990.0,0.6417244971800181,0.3354964733505927,989.022779029469,0.42642716098883016,0.42642716098883016,0.42642716098883016,0.42642716098883016,20.086944852554186,20.086944852554186,20.086944852554186,20.086944852554186,,1.0909673240980458,1.0909673240980458,1.0909673240980458,1.0909673240980458,0.9359107159057928,0.9359107159057928,0.9359107159057928,0.9359107159057928,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,44.36067987924405,44.36067987924405,44.36067987924405,44.36067987924405,177.4427195169762,0.1495981477659494,45.98673945159755,91.38610804873052,135.58403011198246,177.27035052746285,180.7947260414924,170.34733796720914,4,4,119241.50751540798,945.711819429938,28,1.0953254291171368
1925.03,1926.2693316142318,0.1917741935483871,1925.0,3.0,1924.0,6.0,70.36235849713344,0.030997464742956178,49.0,9.0,9.0,9.0,107.0,183.0,0.105942223471661,1743.2693316142318,990.0,,4.0,247.50000000000003,247.50000000000003,247.50000000000003,247.50000000000003,753.269331614232,51.0,9.0,13.93816561381975,30.7385402208865,648.5926257795256,100.0,18.0,22.938165613819752,39.7385402208865,755.5926257795257,1130.9381656138198,970.6211405681803,990.0,0.7413540534632455,0.34200000000000036,988.9166459465362,0.43345400499999986,0.43345400499999986,0.43345400499999986,0.43345400499999986,17.862051373356266,17.862051373356266,17.862051373356266,17.862051373356266,,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9249939472483707,0.9249939472483707,0.9249939472483707,0.9249939472483707,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,39.36636646312488,39.36636646312488,39.36636646312488,39.36636646312488,157.46546585249953,0.09414199669229228,41.40064251906308,82.12596631238632,121.48117613430642,158.00955373346542,171.8334944459323,119.11364284043968,4,4,117154.30659425966,1200.5781363808976,31,0.9720090484722194
1925.04,3198.6022827788183,0.0741,1925.0,4.0,1924.0,7.0,47.83813946337618,0.014843809153033901,54.0,13.0,14.0,19.0,117.0,217.0,0.06796453806080646,2981.6022827788183,990.0,,4.0,247.50000000000003,247.50000000000003,247.50000000000003,247.50000000000003,1991.602282778818,46.00000000000002,4.999999999999999,11.000000000000002,61.0,1868.602282778818,100.0,18.0,25.0,80.0,1985.602282778818,1133.0,973.970409254372,990.0,0.7443298969072171,0.34200000000000036,988.9136701030922,0.43345400499999986,0.43345400499999986,0.43345400499999986,0.43345400499999986,14.50980684372068,14.50980684372068,14.50980684372068,14.50980684372068,,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.903865003183406,0.903865003183406,0.903865003183406,0.903865003183406,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,31.208645694988356,31.208645694988356,31.208645694988356,31.208645694988356,124.83458277995342,0.03913998911522027,33.551347945848725,66.31695817252354,97.50304465985005,125.47939107605566,129.46390479867156,119.36315417654423,4,4,89880.89960156643,2787.2640135053875,30,0.7705838443206998
1925.05,2213.8872116781877,0.15561290322580648,1925.0,5.0,1924.0,8.0,60.1629338099387,0.025918448203297736,58.225806451612904,13.32258064516129,14.290322580645162,18.93548387096774,185.74193548387098,290.51612903225805,0.1345477985200042,1923.3710826459298,990.0,,4.0,247.50000000000003,247.50000000000003,247.50000000000003,247.50000000000003,933.3710826459298,41.774193548387096,4.67741935483871,10.709677419354838,47.451833286546716,828.7579590368027,100.0,18.0,25.0,66.38731715751447,1014.4998945206737,1133.0,971.5480696229932,990.0,0.7443298969072171,0.34200000000000036,988.913670103092,0.43345400499999986,0.43345400499999986,0.43345400499999986,0.43345400499999986,16.93214647509961,16.93214647509961,16.93214647509961,16.93214647509961,,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9248236021497824,0.9248236021497824,0.9248236021497824,0.9248236021497824,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,37.276398856148134,37.276398856148134,37.276398856148134,37.276398856148134,149.10559542459254,0.07073347163811912,39.43748504169302,78.1566386974977,115.42283132962909,149.70607063930797,165.94796454669554,129.05111706576625,4,4,110934.5629958969,1313.152359062425,31,0.9204049100283493
1925.06,1178.2975581315973,0.29100000000000004,1925.0,6.0,1924.0,9.0,25.148626378522952,0.02179804275414591,53.0,12.0,12.0,13.0,120.0,210.0,0.1835767855325538,968.2975581315972,892.0390286875947,,3.8333333333333335,232.60748121785588,232.60748121785588,232.60748121785588,233.05990204083272,76.25852944400266,14.234362835428012,2.005285763243874,3.627179325977109,4.7207661084382595,51.6709354109154,67.23436283542802,14.005285763243874,15.627179325977108,17.720766108438262,171.67093541091538,988.9058566122437,968.4479073367573,990.0,0.5791309897207285,0.2702180702429272,989.1506509400363,0.38498526965564417,0.38498526965564417,0.38498526965564417,0.38660474181035803,20.31775833362325,20.31775833362325,20.31775833362325,20.05868735037283,,1.0338110276349146,1.0338110276349146,1.0338110276349146,1.0358217868481452,0.9368907991242083,0.9368907991242083,0.9368907991242083,0.9362689589490496,0.9796666666666669,0.9796666666666669,0.9796666666666669,0.9796000000000002,42.4535836717223,42.4535836717223,42.4535836717223,41.952650318756575,162.32129294746403,0.14010119192036843,46.07114386816439,91.55944082233303,135.85512618424553,177.6562936956737,179.2967692542606,124.27321560727914,4,3,116871.33092217411,624.6935677067364,30,1.0019832897991607
1925.07,520.6242109287423,0.5588709677419356,1925.0,7.0,1924.0,10.0,15.62820524535123,0.028474207249213856,50.0,10.0,9.0,9.0,108.0,186.0,0.3801084507604007,334.62421092874234,334.62421092874234,,1.8064516129032258,187.99563293652824,179.6964884613333,190.31122970639476,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,9.0,9.0,108.0,403.62421092874234,965.9250863333472,990.0,0.18186086428489875,0.039431182054105986,989.7787079536612,0.2572026703713946,0.2357880671757085,0.2576371115881714,,23.596418949942706,23.254837145442224,22.42927741677216,,,0.8355361463845699,0.798651059828148,0.8458276875839769,,0.9341935483870968,0.9309999999999998,0.9339999999999999,,0.974516129032258,0.9735000000000001,0.9739999999999999,,39.657442054285376,37.10672315013892,38.08762106742107,,69.7404281297655,0.1301106265007931,50.20185831937324,99.97952383881838,148.87318420745277,195.86470641358514,126.26792487873121,35.65200887225553,3,1,51886.878528545545,164.21920510084828,31,0.43049646993682417
