WaterYear,WaterWeek,Flow,Exceedance,Flow_difference,Flow_difference_pct,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,ExceedanceRnd,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,Count,CapFactor,StartDate
1939,17,924.0731061271538,0.35285714285714287,10.403421389621972,0.011142363864839657,46.0,7.0,6.0,4.0,76.0,139.0,0.15046579816403768,785.0731061271538,275.0,,275.0,,,,510.07310612715384,54.0,11.000000000000004,19.0,14.678362766249034,411.3947433609047,100.0,18.0,25.0,18.678362766249034,487.3947433609047,418.0,967.5221091107248,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,21.737181201526102,,,,,0.91938690918038,,,,1.0999999999999999,,,,0.9800000000000002,,,,52.835830268100686,,,,52.835830268100686,0.05719645765717134,0.35357142857142854,957.9333972550563,905.4211927358452,0.15351971117441354,0.14510403374420644,21.812429457658553,21.60135307385095,967.6579372384,967.4468608545924,52.98089749825826,52.572125131103,8876.419485040915,7,0.2935323903783371,1940-01-21
1939,18,993.1161613307041,0.3330000000000001,12.129171631251422,0.011951017305628,47.285714285714285,7.428571428571429,6.428571428571429,4.428571428571429,83.28571428571429,148.85714285714286,0.14979669300282547,844.2590184735612,275.0,,275.0,,,,569.2590184735611,52.714285714285715,10.57142857142857,18.571428571428573,16.894114013919772,470.50776160249865,100.0,18.0,25.0,21.322685442491203,553.7934758882129,418.0,967.7967252271708,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,21.462565085080055,,,,,0.9216610111613953,,,,1.0999999999999999,,,,0.9800000000000002,,,,52.29730802317995,,,,52.29730802317995,0.05268938689404823,0.3335714285714286,1042.8375986738163,971.4321659369264,0.16372277161429502,0.14047818058263584,21.54775049627717,21.268628766221198,967.9906615460296,967.7115398159738,52.46678221605768,51.90838358027761,8785.947747894234,7,0.2905406001287776,1940-01-28
1939,19,1050.603791747713,0.3188571428571429,5.314725875286642,0.004963775138680634,49.0,8.0,7.0,5.0,93.0,162.0,0.15422167593733543,888.6037917477132,275.0,,275.0,,,,613.6037917477132,51.0,9.999999999999998,18.0,18.938388634188676,515.6654031135246,100.0,18.0,25.0,23.938388634188673,608.6654031135247,418.0,968.0204472055283,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,21.23884310672262,,,,,0.9233579962119359,,,,1.0999999999999999,,,,0.9800000000000002,,,,51.847561238406804,,,,51.847561238406804,0.049359385537686463,0.3178571428571429,1080.0406798008228,1042.8375986738163,0.15534537708078086,0.14999435024047006,21.268628766221198,21.126111348599533,968.1331789636514,967.9906615460296,51.90838358027761,51.61700792895864,8710.390288052342,7,0.2880420068800378,1940-02-04
1939,20,1100.2113103231222,0.30114285714285716,3.953019947016466,0.003577030999666316,49.0,8.0,7.0,5.0,93.0,162.0,0.14726180243429296,938.2113103231222,275.0,,275.0,,,,663.211310323122,51.0,10.0,18.0,20.469484886516117,563.7418254366062,100.0,18.0,25.0,25.469484886516117,656.7418254366061,418.0,968.2095312983587,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,21.049759013892192,,,,,0.9246698191892414,,,,1.0999999999999999,,,,0.9800000000000002,,,,51.458993189937296,,,,51.458993189937296,0.04677835630368828,0.30214285714285716,1107.711819429938,1080.0406798008228,0.14999435024047006,0.14624742388626866,21.126111348599533,21.0213768686386,968.2379134436123,968.1331789636514,51.61700792895864,51.400234839145234,8645.110855909465,7,0.2858832954996516,1940-02-11
1939,21,1130.1557542667867,0.29228571428571426,8.424518323662856,0.007336275255997603,49.0,8.0,7.0,5.0,93.0,162.0,0.1433723656214903,968.1557542667867,275.0,,275.0,,,,693.1557542667866,51.0,10.0,18.0,21.393696119345268,592.7620581474413,100.0,18.0,25.0,26.393696119345268,685.7620581474413,418.0,968.3218974065592,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,20.937392905691848,,,,,0.9253955479185135,,,,1.0999999999999999,,,,0.9800000000000002,,,,51.22444657537884,,,,51.22444657537884,0.04533598336867047,0.29357142857142854,1166.683447695578,1111.9159691599295,0.14569446297492572,0.13885514560096046,21.00555791157053,20.80170768887497,968.457582623376,968.2537324006804,51.36730097324149,50.93843199005578,8605.707024663643,7,0.2845802587521046,1940-02-18
1939,22,1290.5813964899367,0.26085714285714284,35.35179154604683,0.027031276537838433,49.0,8.285714285714286,7.571428571428571,6.142857142857143,97.0,168.0,0.1303788559245762,1073.967212989238,275.0,,275.0,,,,847.5813964899365,51.0,9.714285714285714,17.428571428571427,31.083620263577323,738.3549190835021,100.0,18.0,25.0,37.22647740643447,835.3549190835021,418.0,968.89935153395,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,20.359938778300982,,,,,0.9284069966092359,,,,1.0999999999999999,,,,0.9800000000000002,,,,49.97271308217237,,,,49.97271308217237,0.038930145538616304,0.26071428571428573,1414.1459885179058,1172.2200796855432,0.1381993047273663,0.12077275546271675,20.781326975624737,19.92917748146438,969.3301128307866,968.4779633366264,50.89510249316866,49.01311758160711,8395.415797804957,7,0.27762618378984644,1940-02-25
1939,23,1875.0474457602536,0.18985714285714286,126.76937767075076,0.06512948480371168,49.0,9.0,9.0,9.0,107.0,183.0,0.09981586218783445,1100.0,275.0,,275.0,,,,1417.0474457602536,51.0,9.0,16.0,65.27273711333042,1275.7747086469233,100.0,18.0,25.0,74.27273711333042,1382.7747086469233,418.0,970.7424647313643,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,18.516825580886778,,,,,0.9309227869028621,,,,1.0999999999999999,,,,0.9800000000000002,,,,45.573875010676545,,,,45.573875010676545,0.02502555485645736,0.18999999999999997,2301.531632213161,1436.9972565708524,0.12734888613266954,0.07951226802128569,19.85235322160709,17.312420222222116,971.9468700900287,969.4069370906441,48.836969918160285,42.50119095768724,7656.411001793659,7,0.25318819450375857,1940-03-03
1939,24,2651.7799320034796,0.11328571428571428,115.87023945030758,0.04121116136869792,49.0,9.0,9.0,9.0,107.0,183.0,0.06955709140008934,1100.0,275.0,,275.0,,,,2193.7799320034796,51.00000000000001,9.0,16.0,71.0,2046.7799320034799,100.0,18.0,25.0,80.0,2153.7799320034796,418.0,972.8022164188326,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,16.45707389341837,,,,,0.9230950647221423,,,,1.0999999999999999,,,,0.9800000000000002,,,,40.16930829600282,,,,40.16930829600282,0.015319791144089188,0.11357142857142856,3112.6233083653137,2327.3604518173347,0.07862984861545759,0.058792851517939664,17.245613682166734,15.397118278780525,973.8621720334703,972.0136766300842,42.322980795321726,37.219483129123134,6748.443793728474,7,0.22316282386668235,1940-03-10
1939,25,3502.605455814804,0.056999999999999995,94.3607073251524,0.026683780765085752,53.285714285714285,9.857142857142858,10.285714285714286,10.714285714285714,122.85714285714286,207.0,0.059002063427629904,1100.0,275.0,,275.0,,,,3020.6054558148035,46.714285714285715,8.142857142857142,14.714285714285714,69.28571428571429,2881.7483129576613,100.0,18.0,25.0,80.0,3004.605455814804,418.0,974.6640203610192,990.0,0.18077490774907748,0.024999999999999998,989.7942250922507,0.5349347799999999,,,,14.595269951231856,,,,,0.904835598480391,,,,1.0999999999999999,,,,0.9800000000000002,,,,34.92051938075307,,,,34.92051938075307,0.01002762667668861,0.056428571428571425,3773.148259641381,3139.3228726318957,0.06638323331326887,0.050829002913507115,15.339663991565955,14.059021740085953,975.2002685721652,973.919626320685,37.056378260332224,33.372362450172936,5866.647255966516,7,0.19400288544862818,1940-03-17
1939,26,4573.691628855312,0.02457142857142857,176.50655674537464,0.03934997176063668,59.0,11.0,12.0,13.0,144.0,239.0,0.052521287972752614,1100.0,275.0,,275.0,,,,4059.6916288553116,41.0,7.0,13.0,67.0,3931.6916288553116,100.0,18.0,25.0,80.0,4075.6916288553116,418.0,976.6162500945517,990.0010345565445,0.18077490774907748,0.024999999999999998,989.7952596487954,0.5349347799999999,,,,12.644074774243814,,,,,0.874138915358458,,,,1.0999999999999999,,,,0.9800000000000002,,,,29.235359982517686,,,,29.235359982517686,0.0064496818094559585,0.024285714285714282,5008.694156859004,4110.977625580697,0.0581370228124849,0.04771702813451061,13.433397956145498,11.930705273443735,977.3358269346187,975.8258923561052,31.548204427566947,27.144461771529752,4911.540477062972,7,0.16241866656954274,1940-03-24
