,Energy
0.0,992497.1738514416
0.05,932580.6515491537
0.1,896904.0828013764
0.15000000000000002,877588.2714440197
0.2,863910.8354915592
0.25,845016.2643125377
0.30000000000000004,832315.108517768
0.35000000000000003,823800.765399303
0.4,819563.3210452687
0.45,814465.1297138568
0.5,807339.9605521185
0.55,799042.3651574675
0.6000000000000001,789612.9864752875
0.65,783733.5326005467
0.7000000000000001,773287.0484984175
0.75,767673.32369414
0.8,751216.7092440333
0.8500000000000001,746960.7791129776
0.9,729555.0283878981
0.9500000000000001,691356.8209311101
1.0,481585.0684448542
