ExceedanceRnd,Flow,Exceedance,Volume,Flow_difference,Flow_difference_pct,EWRRefExceedance,EWRBandNo,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec
0.0,8865.17595296699,0.001411764705882354,0.7659512023363481,137.61586691882897,0.015867057553086324,0.02632352941176471,1.1029411764705883,65.73529411764706,12.338235294117647,14.691176470588236,16.926470588235293,166.94117647058823,276.63235294117646,0.031598823084482516,1100.0,0.0,,0.0,275.0,,,,8588.543600025814,309.2647058823529,5.661764705882353,10.308823529411764,63.0735294117647,8200.234776496403,375.0,18.0,25.0,80.0,8367.17595296699,418.0,981.7643863364171,990.5276422287125,0.18077490774907737,0.02499999999999997,990.3218673209631,0.5349347800000003,,,,8.022546204545796,,,,1.0,0.0,,,,1.0999999999999999,,,,0.9799999999999988,,,,0.0,,,,0.0,0.0,0.0
0.005,6478.790089096893,0.00498850574712644,0.5597674636979715,115.26993417670178,0.017455567404730345,0.041149425287356316,1.0919540229885059,72.4367816091954,13.850574712643677,17.701149425287355,22.597701149425287,197.93103448275863,324.51724137931035,0.05047629745767409,1100.0,143.82183908045977,,0.5229885057471264,275.0,,,,6010.451008637121,158.74137931034483,4.1494252873563235,7.2988505747126435,57.40229885057471,5782.859054614132,231.17816091954023,18.0,25.0,80.0,5980.790089096891,418.0,979.4843504475292,990.1282092954167,0.18077490774907815,0.024999999999999967,989.9224343876674,0.5349347800000003,,,,9.903149160139009,,,,1.0,0.4328999607296785,,,,1.0999999999999965,,,,0.9799999999999984,,,,12.01505014030461,,,,12.01505014030461,288.3612033673103,0.0019917908859914575
0.01,5544.712707091359,0.0100473372781065,0.47906317789269287,68.65904658876866,0.01234894334748245,0.07704142011834317,1.2899408284023668,72.68047337278107,13.65680473372781,17.674556213017752,23.076923076923077,194.07692307692307,321.1656804733728,0.05797319013991896,1100.0,275.0,,1.0,275.0,,,,4948.547026617985,27.319526627218934,4.34319526627219,7.325443786982248,56.92307692307692,4852.635784014435,100.0,18.0,25.0,80.0,5046.7127070913575,418.0,978.1489154858583,990.050823956075,0.18077490774907812,0.024999999999999956,989.8450490483259,0.5349347800000003,,,,11.161198782468151,,,,,0.8436990649035285,,,,1.0999999999999968,,,,0.9799999999999986,,,,24.897844178757897,,,,24.897844178757897,597.5482602901899,0.004495188456386142
0.015,5190.96401241678,0.01495348837209299,0.4484992906728097,88.79828347698557,0.01717810158646469,0.10534883720930223,1.4011627906976745,71.54069767441861,12.94186046511628,16.6453488372093,21.261627906976745,183.5581395348837,305.94767441860466,0.05895493766983628,1100.0,275.0,,1.0,275.0,,,,4610.016337998178,28.459302325581394,5.058139534883721,8.354651162790697,58.73837209302326,4509.405872881898,100.0,18.0,25.0,80.0,4692.964012416782,418.0,977.618190681106,990.0220617109582,0.18077490774907815,0.024999999999999963,989.816286803209,0.5349347800000003,,,,11.663161342103438,,,,,0.8548886260925082,,,,1.0999999999999965,,,,0.9799999999999985,,,,26.361858855725817,,,,26.361858855725817,632.6846125374185,0.005082346020424792
0.02,4777.593170614507,0.020075581395348815,0.41278404994109336,113.35002959280115,0.02365560606125128,0.11046511627906977,1.4069767441860466,69.97674418604652,13.156976744186046,16.61627906976744,21.203488372093023,181.56976744186048,302.5232558139535,0.06335115742117081,1100.0,275.0,,1.0,275.0,,,,4200.069914800555,30.023255813953487,4.843023255813954,8.383720930232558,58.79651162790697,4098.023403172648,100.0,18.0,25.0,80.0,4279.593170614507,418.0,976.9641953923117,990.0,0.18077490774907815,0.024999999999999963,989.7942250922498,0.5349347800000003,,,,12.29509491994022,,,,,0.8678585414275236,,,,1.0999999999999965,,,,0.9799999999999985,,,,28.212444379810364,,,,28.212444379810364,677.0986651154485,0.005912260805102653
0.025,4488.692014422615,0.025111764705882327,0.3878229900461146,79.42077627575061,0.017716947507570743,0.11952941176470569,1.423529411764706,66.68235294117648,12.623529411764705,15.411764705882353,18.958823529411763,169.4294117647059,283.1058823529412,0.06307471058103273,1100.0,275.0,,1.0,275.0,,,,3930.586132069675,33.31764705882353,5.376470588235295,9.588235294117647,61.04117647058823,3821.2626026579096,100.0,18.0,25.0,80.0,3990.6920144226156,418.0,976.4857998306688,990.0,0.18077490774907812,0.02499999999999996,989.7942250922499,0.5349347800000003,,,,12.773490481581828,,,,,0.8769524631804451,,,,1.0999999999999968,,,,0.9799999999999986,,,,29.615327350905854,,,,29.615327350905854,710.7678564217401,0.006598651053279893
0.03,4308.483888063276,0.02995151515151512,0.37225300792866667,85.4394621115135,0.019837578161446955,0.1544848484848485,1.690909090909091,67.27272727272727,12.915151515151516,15.981818181818182,20.503030303030304,168.71515151515152,285.3878787878788,0.06625501415338864,1100.0,275.0,,1.0,275.0,,,,3748.096009275397,32.72727272727273,5.084848484848485,9.018181818181818,59.4969696969697,3641.7687365481233,100.0,18.0,25.0,80.0,3810.4838880632756,418.0,976.175404232633,990.0,0.1807749077490781,0.024999999999999946,989.7942250922499,0.5349347800000003,,,,13.083886079618198,,,,,0.8824402253565459,,,,1.0999999999999968,,,,0.9799999999999989,,,,30.52511199303102,,,,30.52511199303102,732.6026878327447,0.007087366903266372
0.035,4073.0230211988487,0.03502312138728321,0.35190918903158025,77.77766408737912,0.01905688170318421,0.15664739884393059,1.6242774566473988,67.6878612716763,13.052023121387283,16.23121387283237,20.971098265895954,172.635838150289,290.5780346820809,0.07134222420155921,1100.0,275.0,,1.0,275.0,,,,3507.444986516768,32.3121387283237,4.9479768786127165,8.76878612716763,59.028901734104046,3402.3871830485587,100.0,18.0,25.0,80.0,3575.0230211988487,418.0,975.7568870952141,990.0,0.18077490774907815,0.024999999999999967,989.7942250922498,0.5349347800000003,,,,13.502403217035278,,,,,0.8893981682851305,,,,1.0999999999999965,,,,0.9799999999999984,,,,31.74980028760246,,,,31.74980028760246,761.9952069024596,0.0077975848304197475
0.04,3920.268064444269,0.04001775147928993,0.3387111607679849,48.394970746425145,0.012329328359550314,0.16994082840236682,1.7455621301775148,66.50887573964496,12.899408284023668,15.85207100591716,20.414201183431953,168.24852071005918,283.9230769230769,0.07241643807166673,1100.0,275.0,,1.0,275.0,,,,3361.34498752119,33.49112426035503,5.100591715976331,9.14792899408284,59.585798816568044,3254.0195437342068,100.0,18.0,25.0,80.0,3422.2680644442676,418.0,975.4768973273009,990.0,0.18077490774907812,0.024999999999999956,989.7942250922499,0.5349347800000003,,,,13.782392984949967,,,,,0.8937670537620254,,,,1.0999999999999968,,,,0.9799999999999986,,,,32.56710115974068,,,,32.56710115974068,781.6104278337755,0.008308506733249822
0.045,3799.047289733395,0.04509039548022597,0.32823768583296525,64.56263000673569,0.017022482602582656,0.20485875706214676,1.8135593220338984,65.07909604519774,12.858757062146893,15.559322033898304,19.903954802259886,168.0677966101695,281.4689265536723,0.07409107566212428,1100.0,275.0,,1.0,275.0,,,,3242.57836317972,34.92090395480226,5.141242937853107,9.440677966101696,60.09604519774011,3132.979493123222,100.0,18.0,25.0,80.0,3301.047289733393,418.0,975.2493394132492,990.0,0.18077490774907817,0.024999999999999974,989.7942250922498,0.5349347800000003,,,,14.00995089900308,,,,,0.8971384867745439,,,,1.0999999999999965,,,,0.9799999999999983,,,,33.22964912194546,,,,33.22964912194546,797.5115789266903,0.008747874658593427
