Year,Month,Rainfall
1939,7,0
1939,8,0
1939,9,0
1939,10,28
1939,11,151
1939,12,280
1940,1,278
1940,2,175
1940,3,135
1940,4,4
1940,5,0
1940,6,0
1940,7,0
1940,8,0
1940,9,36
1940,10,63
1940,11,277
1940,12,264
1941,1,191.6
1941,2,149
1941,3,184.3
1941,4,0
1941,5,0
1941,6,0
1941,7,0
1941,8,0
1941,9,0
1941,10,82.1
1941,11,187.2
1941,12,185.9
1942,1,231.5
1942,2,204
1942,3,204
1942,4,27.8
1942,5,0
1942,6,0
1942,7,0
1942,8,0
1942,9,11
1942,10,51.3
1942,11,64.5
1942,12,213.3
1943,1,255.7
1943,2,302.3
1943,3,275
1943,4,143
1943,5,0
1943,6,0
1943,7,0
1943,8,0
1943,9,14
1943,10,13
1943,11,172
1943,12,204
1944,1,163
1944,2,89
1944,3,274
1944,4,5
1944,5,0
1944,6,0
1944,7,0
1944,8,0
1944,9,25
1944,10,40
1944,11,49
1944,12,75
1945,1,303
1945,2,266.2
1945,3,98.7
1945,4,20.6
1945,5,0
1945,6,0
1945,7,0
1945,8,0
1945,9,4.4
1945,10,50.1
1945,11,173.7
1945,12,245.9
1946,1,296
1946,2,90.7
1946,3,228.8
1946,4,89
1946,5,0
1946,6,0
1946,7,0
1946,8,0
1946,9,36.6
1946,10,166.8
1946,11,165.7
1946,12,354.9
1947,1,166.2
1947,2,274
1947,3,198.9
1947,4,138.4
1947,5,11
1947,6,0
1947,7,0
1947,8,0
1947,9,3
1947,10,24.1
1947,11,28.5
1947,12,38.6
1948,1,107.5
1948,2,171.2
1948,3,40.1
1948,4,40.6
1948,5,0.5
1948,6,0
1948,7,0
1948,8,0
1948,9,2.5
1948,10,73.8
1948,11,206.3
1948,12,188.8
1949,1,266
1949,2,245.7
1949,3,190.2
1949,4,22.8
1949,5,0
1949,6,10.6
1949,7,0
1949,8,21.3
1949,9,38
1949,10,73.7
1949,11,175.8
1949,12,217.8
1950,1,312.5
1950,2,145.2
1950,3,155
1950,4,116.9
1950,5,0
1950,6,0
1950,7,0
1950,8,0
1950,9,6.3
1950,10,87.1
1950,11,153.1
1950,12,261.7
1951,1,159
1951,2,215
1951,3,272
1951,4,143
1951,5,14
1951,6,0
1951,7,0
1951,8,0
1951,9,6
1951,10,106
1951,11,165
1951,12,359
1952,1,210
1952,2,164
1952,3,89
1952,4,69
1952,5,0
1952,6,0
1952,7,0
1952,8,0
1952,9,68
1952,10,86
1952,11,156
1952,12,108
1953,1,304
1953,2,195
1953,3,227
1953,4,221
1953,5,0
1953,6,0
1953,7,0
1953,8,0
1953,9,7
1953,10,151
1953,11,150
1953,12,187
1954,1,188
1954,2,203
1954,3,288
1954,4,115
1954,5,1
1954,6,0
1954,7,0
1954,8,0
1954,9,5
1954,10,70
1954,11,105
1954,12,217
1955,1,232
1955,2,77
1955,3,227
1955,4,112
1955,5,11
1955,6,0
1955,7,0
1955,8,0
1955,9,0
1955,10,57
1955,11,141
1955,12,204
1956,1,205
1956,2,118
1956,3,182
1956,4,325
1956,5,0
1956,6,0
1956,7,0
1956,8,0
1956,9,28
1956,10,79
1956,11,157
1956,12,247
1957,1,206
1957,2,100
1957,3,221
1957,4,71
1957,5,0
1957,6,0
1957,7,0
1957,8,0
1957,9,67
1957,10,92
1957,11,136
1957,12,303
1958,1,212
1958,2,108
1958,3,125
1958,4,8
1958,5,0
1958,6,0
1958,7,0
1958,8,0
1958,9,32
1958,10,226
1958,11,110
1958,12,141
1959,1,180
1959,2,229
1959,3,187
1959,4,70
1959,5,11
1959,6,0
1959,7,0
1959,8,0
1959,9,11
1959,10,56
1959,11,165
1959,12,188
1960,1,147
1960,2,188
1960,3,274
1960,4,90
1960,5,83
1960,6,0
1960,7,0
1960,8,0
1960,9,29
1960,10,150
1960,11,154
1960,12,141
1961,1,230
1961,2,280
1961,3,190
1961,4,130
1961,5,30
1961,6,0
1961,7,0
1961,8,0
1961,9,0
1961,10,60
1961,11,280
1961,12,340
1962,1,240
1962,2,160
1962,3,240
1962,4,100
1962,5,0
1962,6,0
1962,7,0
1962,8,20
1962,9,20
1962,10,70
1962,11,220
1962,12,300
1963,1,240
1963,2,190
1963,3,210
1963,4,120
1963,5,10
1963,6,0
1963,7,0
1963,8,0
1963,9,20
1963,10,80
1963,11,350
1963,12,160
1964,1,180
1964,2,210
1964,3,210
1964,4,1
1964,5,0
1964,6,0
1964,7,0
1964,8,1
1964,9,2
1964,10,180
1964,11,120
1964,12,280
1965,1,300
1965,2,210
1965,3,150
1965,4,40
1965,5,0
1965,6,2
1965,7,0
1965,8,0
1965,9,90
1965,10,40
1965,11,270
1965,12,210
1966,1,200
1966,2,240
1966,3,150
1966,4,90
1966,5,4
1966,6,0
1966,7,0
1966,8,10
1966,9,20
1966,10,40
1966,11,160
1966,12,160
1967,1,230
1967,2,290
1967,3,150
1967,4,200
1967,5,4
1967,6,0
1967,7,0
1967,8,0
1967,9,5
1967,10,120
1967,11,290
1967,12,196
1968,1,284
1968,2,177
1968,3,262
1968,4,132
1968,5,3
1968,6,0
1968,7,0
1968,8,0
1968,9,0
1968,10,73
1968,11,152
1968,12,263
1969,1,198
1969,2,262
1969,3,307
1969,4,109
1969,5,0
1969,6,0
1969,7,0
1969,8,0
1969,9,34
1969,10,242
1969,11,234
1969,12,357
1970,1,243
1970,2,213
1970,3,135
1970,4,120
1970,5,4
1970,6,0
1970,7,0
1970,8,0
1970,9,17
1970,10,71
1970,11,166
1970,12,146
1971,1,109
1971,2,122
1971,3,243
1971,4,65
1971,5,2
1971,6,0
1971,7,0
1971,8,0
1971,9,5
1971,10,77
1971,11,149
1971,12,323
1972,1,180
1972,2,49
1972,3,168
1972,4,74
1972,5,2
1972,6,0
1972,7,0
1972,8,0
1972,9,62
1972,10,143
1972,11,94
1972,12,275
1973,1,94
1973,2,182
1973,3,131
1973,4,73
1973,5,1
1973,6,0
1973,7,0
1973,8,0
1973,9,10
1973,10,133
1973,11,65
1973,12,204
1974,1,298
1974,2,91
1974,3,220
1974,4,185
1974,5,26
1974,6,0
1974,7,0
1974,8,0
1974,9,8
1974,10,141
1974,11,218
1974,12,216
1975,1,141
