Name,Scheme,Return,Exceedance,Flow,Area_ha,Houses
P6a_No_Weir_Q90,No Weir,Q90,0.899599151,235,1602.9602,0
P6a_No_Weir_Q50,No Weir,Q50,0.500388502,569,1635.1791,0
P6a_No_Weir_Q25,No Weir,Q25,0.249994078,1366,1669.6327,2
P6a_No_Weir_R2,No Weir,R2,0.061671186,3418,1900.7964,2
P6a_No_Weir_R5,No Weir,R5,0.015179177,5124,4315.6894,245
P6a_No_Weir_R10,No Weir,R10,0.007376213,6218,5095.5743,353
P6a_No_Weir_R15,No Weir,R15,0.006257386,6724,5323.3511,385
P6a_No_Weir_R20,No Weir,R20,0.005357748,7231,5526.2025,405
P6a_No_Weir_R50,No Weir,R50,0.003623349,8489,5939.0004,466
P6a_No_Weir_R100,No Weir,R100,0.002627514,9395,6178.0427,518
P6a_No_Weir_R200,No Weir,R200,0.00178817,10272,6385.1644,556
P6a_No_Weir_R500,No Weir,R500,0.000843475,11391,6590.6681,591
P6a_No_Weir_R1000,No Weir,R1000,0.000218517,12212,6705.4139,628
P6a_2_5m_Weir_Q90,d2,Q90,0.899599151,235,1782.393,4
P6a_2_5m_Weir_Q50,d2,Q50,0.500388502,569,1823.3339,5
P6a_2_5m_Weir_Q25,d2,Q25,0.249994078,1366,1862.4373,5
P6a_2_5m_Weir_R2,d2,R2,0.061671186,3418,2316.8019,16
P6a_2_5m_Weir_R5,d2,R5,0.015179177,5124,4627.3193,294
P6a_2_5m_Weir_R10,d2,R10,0.007376213,6218,5264.0833,393
P6a_2_5m_Weir_R15,d2,R15,0.006257386,6724,5459.528,417
P6a_2_5m_Weir_R20,d2,R20,0.005357748,7231,5642.5192,439
P6a_2_5m_Weir_R50,d2,R50,0.003623349,8489,6038.9695,511
P6a_2_5m_Weir_R100,d2,R100,0.002627514,9395,6270.9503,580
P6a_2_5m_Weir_R200,d2,R200,0.00178817,10272,6473.4335,633
P6a_2_5m_Weir_R500,d2,R500,0.000843475,11391,6686.6723,716
P6a_2_5m_Weir_R1000,d2,R1000,0.000218517,12212,6800.6432,771
P6a_D3_03_Q90,D3.03,Q90,0.899599151,235,1846.1532,6
P6a_D3_03_Q50,D3.03,Q50,0.500388502,569,1856.7555,6
P6a_D3_03_Q25,D3.03,Q25,0.249994078,1366,1875.9332,6
P6a_D3_03_R2,D3.03,R2,0.061671186,3418,2232.175,6
P6a_D3_03_R5,D3.03,R5,0.015179177,5124,4498.1396,258
P6a_D3_03_R10,D3.03,R10,0.007376213,6218,5149.2853,358
P6a_D3_03_R15,D3.03,R15,0.006257386,6724,5354.44,386
P6a_D3_03_R20,D3.03,R20,0.005357748,7231,5550.7464,411
P6a_D3_03_R50,D3.03,R50,0.003623349,8489,5962.5129,479
P6a_D3_03_R100,D3.03,R100,0.002627514,9395,6200.5384,537
P6a_D3_03_R200,D3.03,R200,0.00178817,10272,6407.2833,575
P6a_D3_03_R500,D3.03,R500,0.000843475,11391,6612.7148,612
P6a_D3_03_R1000,D3.03,R1000,0.000218517,12212,6726.1697,653
P6a_D5_03_Q90,D5.03,Q90,0.899599151,235,2041.7086,26
P6a_D5_03_Q50,D5.03,Q50,0.500388502,569,2049.5546,26
P6a_D5_03_Q25,D5.03,Q25,0.249994078,1366,2086.8552,26
P6a_D5_03_R2,D5.03,R2,0.061671186,3418,2727.4406,53
P6a_D5_03_R5,D5.03,R5,0.015179177,5124,4707.736,308
P6a_D5_03_R10,D5.03,R10,0.007376213,6218,5279.825,398
P6a_D5_03_R15,D5.03,R15,0.006257386,6724,5459.987,417
P6a_D5_03_R20,D5.03,R20,0.005357748,7231,5655.3307,444
P6a_D5_03_R50,D5.03,R50,0.003623349,8489,6070.3226,543
P6a_D5_03_R100,D5.03,R100,0.002627514,9395,6312.7146,634
P6a_D5_03_R200,D5.03,R200,0.00178817,10272,6515.5775,694
P6a_D5_03_R500,D5.03,R500,0.000843475,11391,6731.3328,774
P6a_D5_03_R1000,D5.03,R1000,0.000218517,12212,6840.1543,816
P6a_D3_03_Q90,D3.03-A,Q90,0.899599151,235,1846.1532,6
P6a_D3_03_Q50,D3.03-A,Q50,0.500388502,569,1856.7555,6
P6a_D3_03_Q25,D3.03-A,Q25,0.249994078,1366,1875.9332,6
P6a_D3_03_R2,D3.03-A,R2,0.061671186,3418,2232.175,6
P6a_D3_03_A_R5,D3.03-A,R5,0.015179177,5124,4397.4475,247
P6a_D3_03_A_R10,D3.03-A,R10,0.007376213,6218,5130.6681,354
P6a_D3_03_R15,D3.03-A,R15,0.006257386,6724,5354.44,386
P6a_D3_03_R20,D3.03-A,R20,0.005357748,7231,5550.7464,411
P6a_D3_03_R50,D3.03-A,R50,0.003623349,8489,5962.5129,479
P6a_D3_03_R100,D3.03-A,R100,0.002627514,9395,6200.5384,537
P6a_D3_03_R200,D3.03-A,R200,0.00178817,10272,6407.2833,575
P6a_D3_03_R500,D3.03-A,R500,0.000843475,11391,6612.7148,612
P6a_D3_03_R1000,D3.03-A,R1000,0.000218517,12212,6726.1697,653
P6a_D5_03_Q90,D5.03-A,Q90,0.899599151,235,2041.7086,26
P6a_D5_03_Q50,D5.03-A,Q50,0.500388502,569,2049.5546,26
P6a_D5_03_Q25,D5.03-A,Q25,0.249994078,1366,2086.8552,26
P6a_D5_03_R2,D5.03-A,R2,0.061671186,3418,2727.4406,53
P6a_D5_03_A_R5,D5.03-A,R5,0.015179177,5124,4593.1191,282
P6a_D5_03_A_R10,D5.03-A,R10,0.007376213,6218,5253.1555,390
P6a_D5_03_R15,D5.03-A,R15,0.006257386,6724,5459.987,417
P6a_D5_03_R20,D5.03-A,R20,0.005357748,7231,5655.3307,444
P6a_D5_03_R50,D5.03-A,R50,0.003623349,8489,6070.3226,543
P6a_D5_03_R100,D5.03-A,R100,0.002627514,9395,6312.7146,634
P6a_D5_03_R200,D5.03-A,R200,0.00178817,10272,6515.5775,694
P6a_D5_03_R500,D5.03-A,R500,0.000843475,11391,6731.3328,774
