Distance,Q90,Q25,R2,R5,R10,R15,R20,R50,R100
0,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
174.3899994,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
276.75,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
380.2300034,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
502.4700012,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
610.7300034,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
751.5800095,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
881.7200089,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1067.100014,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1195.500008,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1309.680008,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1422.180008,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1551.580002,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1731.540009,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
1851.990005,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2013.210007,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2163.150009,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2314.660004,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2443.220001,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2554.730003,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2672.610001,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2783.580002,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.4723799,991.6828973
2914.119995,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0034969,991.1457021,991.542082,991.7986989
3001.779999,990.9998506,990.9998506,990.9998506,990.9998506,990.9998506,991.0480099,991.225599,991.6381506,991.8972604
3161.149994,990.9998506,990.9998506,990.9998506,990.9998506,991.0887888,991.1770438,991.3553027,991.7688589,992.0304243
3273.109993,990.9998506,990.9998506,990.9998506,990.9998506,991.1731371,991.2698382,991.4502923,991.8687598,992.1347156
3315.319992,990.9998506,990.9998506,990.9998506,990.9998506,991.2032748,991.3033245,991.4854529,991.9069714,992.1753457
3420.299995,990.9998506,990.9998506,990.9998506,991.1016624,991.3342436,991.4465716,991.6350996,992.0571762,992.330313
3549.379997,990.9998506,990.9998506,990.9998506,991.1633889,991.4132713,991.531292,991.7236896,992.1481102,992.4248561
3691.900002,990.9998506,990.9998506,990.9998506,991.2684615,991.5469189,991.6783714,991.8770569,992.3114862,992.5924737
3819.300003,990.9998506,990.9998506,990.9998506,991.392547,991.7141273,991.8632903,992.0656594,992.4949169,992.7722953
3936.840004,990.9998506,990.9998506,990.9998506,991.4671843,991.8095634,991.9636377,992.1646673,992.5919156,992.8693685
4090.269997,990.9998506,990.9998506,991.025388,991.5567416,991.9130733,992.07098,992.2726049,992.703946,992.9839289
