RainYear,Count,Livingstone,Mwinilunga,Mongu,Zambezi,Kaoma,Luena,Livingstone_pct_var,Mwinilunga_pct_var,Mongu_pct_var,Zambezi_pct_var,Kaoma_pct_var,Luena_pct_var
1904.0,12.0,671.1,,,,,,-9.027619762290911,,,,,
1905.0,12.0,677.3,,,,,,-8.187165645953867,,,,,
1906.0,12.0,754.9,,,,,,2.3320665198131243,,,,,
1907.0,12.0,1126.1,,,,,,52.650867807605714,,,,,
1908.0,12.0,949.8,,,,,,28.752148338215,,,,,
1909.0,12.0,649.1000000000001,,,,,,-12.009876304132051,,,,,
1910.0,12.0,922.6,,,,,,25.064994795575036,,,,,
1911.0,12.0,529.0,,,,,,-28.29028588027402,,,,,
1912.0,12.0,515.1,,,,,,-30.174529786255473,,,,,
1913.0,12.0,708.8,,,,,,-3.9171165064994837,,,,,
1914.0,12.0,1169.6,1072.0,,,,,58.54760233351891,-22.771533101113143,,,,
1915.0,12.0,379.0,1368.0,,,,,-48.62385321100917,-1.447254927539905,,,,
1916.0,12.0,645.2,1703.0,,,,,-12.538549054731178,22.686640978362238,,,,
1917.0,12.0,1114.6000000000001,1025.0,,,,,51.09196097891605,-26.157482675971057,,,,
1918.0,12.0,1052.6,1247.0,,,,,42.68741981554548,-10.164274045791128,,,,
1919.0,12.0,1031.9,1193.0,,,,,39.88138752390406,-14.054513982861922,,,,
1920.0,12.0,828.8,1267.4,,,1114.6,,12.349737358088642,-8.694627847342154,,,18.221763293802763,
1921.0,12.0,716.4,1386.0,,,798.4,,-2.8868824284088994,-0.15050828184964057,,,-15.316476032861898,
1922.0,12.0,1024.1,1874.1999999999998,,,993.0999999999999,,38.824042022705804,35.02014240848296,,,5.334678922551158,
1923.0,12.0,474.9,1721.7999999999997,,,609.1,,-35.6239258308925,24.041020808305383,,,-35.39487168288599,
1924.0,12.0,1406.6,1494.8,,,1197.4,,90.67463871608045,7.687604776544843,,,27.00407264310017,
1925.0,12.0,697.6999999999998,1418.8999999999999,,,1122.8000000000002,,-5.421800488973904,2.2196564205508884,,,19.09150890568973,
1926.0,12.0,540.2,1484.0,,,938.8,,-26.772046186245785,6.909556789130687,,,-0.4247340927489359,
1927.0,12.0,486.9,1410.0,,,999.5999999999999,,-33.997240444433686,1.5784872457373786,,,6.0241114197786105,
1928.0,12.0,692.0999999999999,1314.0,,,1004.8000000000002,,-6.180920335988003,-5.337494864610698,,,6.575657417560602,
1929.0,12.0,813.1,1274.1,,,1203.1000000000001,,10.22149064413837,-8.211949929224124,,,27.608651909899635,
1930.0,12.0,557.3,1716.8,,,700.1,,-24.45401951054199,23.68081340672477,,,-25.742816721701665,
1931.0,12.0,905.0000000000001,1473.3999999999999,,,1201.4,,22.679189562102124,6.145917097779745,,,27.428338795240144,
1932.0,12.0,425.2,1225.0,,,785.2,,-42.36111447314275,-11.749186612745895,,,-16.716554334923792,
1933.0,12.0,590.5,1423.6999999999998,,,1065.8999999999999,,-19.953523274672605,2.565455526068289,,,13.056322891498617,
1934.0,12.0,531.3,1066.2,,,1113.8,,-27.978504514536084,-23.189373686946666,,,18.136910063374774,
1935.0,12.0,813.2999999999998,1085.0,1075.4,,1118.8,,10.248602067245994,-21.834993857003507,15.648474783641941,,18.667242753549733,
1936.0,12.0,706.9000000000001,1473.2999999999997,1205.1000000000001,,757.5,,-4.17467502602211,6.138712949748122,29.596407812690078,,-19.65459743849309,
1937.0,12.0,575.6,1374.8999999999999,1164.3,,841.8000000000001,,-21.973324296192292,-0.9501687133586468,25.208777376412772,,-10.713188282143207,
1938.0,12.0,1014.9999999999999,1277.8,,,955.0,,37.590472271307874,-7.945396452054456,,,1.2935438234179495,
1939.0,12.0,910.6,1456.6999999999998,,,1408.1999999999998,1051.0,23.438309409116222,4.9428243765004405,,,49.362898860876584,-12.252749928686233
1940.0,12.0,781.6,1268.7000000000003,,,954.1,1164.9,5.951441504683988,-8.600973922931178,,,1.1980839391864584,-2.743319116961547
1941.0,12.0,367.7,1078.7,,,698.1,1122.4999999999998,-50.15564861659122,-22.288855182995096,,,-25.954949797771654,-6.283265266365669
1942.0,12.0,591.9,1213.9,,,895.9999999999999,1316.1,-19.76374331291908,-12.548847044254885,,,-4.964381920646628,9.880262434687003
1943.0,12.0,708.9,1055.7,,,1020.1,934.0,-3.903560794945657,-23.945809230265986,,,8.198475449495971,-22.0209975579381
1944.0,12.0,488.09999999999997,1428.3999999999999,,,760.0999999999999,877.5000000000001,-33.83457190578781,2.9040504835540837,,,-19.37882443960212,-26.738142780611003
