WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume,Flow_mean_pct_var,Flow_max_pct_var,Flow_min_pct_var,Volume_pct_var,Flow_mean_5yr_mvCoefVar,DaysToStart,SeasonStart,MeanQ3070,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070,Max_week,Peak_count,Peak_weeks,Min_weeks
1924,111.40747964374857,562.8280752081156,992.0890567026923,3452.248381930785,3340.8409022870364,31.28652049217614,-9.530460604707242,-4.579856314474931,-48.229072136817095,-9.592772686429303,,0 days 00:00:00.000000000,1924-10-01,663.9108725667729,0.5660000000000001,0.577,0.49,27,2,"[27, 30]",[1]
1925,158.54189668353825,494.68108319071365,1111.873684167762,4501.386000873192,4342.844104189653,35.06404850391456,1.3928128657400285,24.41830698957589,-26.325762662056373,1.3229772361617875,,29 days 00:00:00.000000000,1925-10-30,560.1366446920049,0.435,0.729,0.74,26,1,[26],[5]
1926,192.89523707448373,562.8280752081156,990.4251372668457,3313.0406406455268,3120.145403571043,31.234047128847255,-9.68219499179164,-8.427558219442629,-10.36180482972601,-9.744402564464751,19.172583290712677,23 days 00:00:00.000000000,1926-10-24,683.4625544753947,0.577,0.577,0.457,27,2,"[27, 32]",[4]
1927,179.82651022652541,512.1178199937132,848.0550279828392,2261.108087620956,2081.2815773944308,26.81753531688453,-22.665059910582357,-37.50297350023635,-16.434827189380986,-22.50659474933982,19.697327598465627,8 days 00:00:00.000000000,1927-10-09,553.1937370629811,0.6960000000000001,0.716,0.772,31,2,"[27, 31]",[2]
1928,195.20770377157243,389.13393637134163,564.4732435289699,1589.152359062425,1393.9446552908526,17.8012282079296,-48.52515104565185,-56.075829527909114,-9.287204210954096,-48.56060502293655,15.786858544677889,28 days 00:00:00.000000000,1928-10-29,425.95436477807436,0.935,0.9570000000000001,0.9460000000000001,30,1,[30],[4]
1929,188.71982882241662,571.8920920403683,720.2156981636102,2187.823512835168,1999.1036840127513,22.71272225728763,-34.32284930681648,-39.52855911354079,-12.30211224991308,-34.36808530567999,17.694793509668482,7 days 00:00:00.000000000,1929-10-08,609.6455176750612,0.805,0.531,0.631,34,1,[34],[2]
1930,201.17011281861932,532.5192229643311,942.6049990912762,3355.9174512398436,3154.7473384212244,29.72599125134251,-14.042958620151582,-7.242443194376399,-6.51647957332179,-14.102162659686343,20.193516451854894,35 days 00:00:00.000000000,1930-11-05,567.2049055704965,0.642,0.642,0.6960000000000001,31,1,[31],[6]
1931,236.19433422910615,623.8090120652902,1064.659063353894,3803.114617748527,3566.920283519421,33.667074765002184,-2.912733061710014,5.11808628182332,9.75923589842846,-2.713793883737064,23.36049683578097,4 days 00:00:00.000000000,1931-10-05,712.8301286891776,0.511,0.396,0.41400000000000003,26,1,[26],[2]
1932,188.71982882241662,408.00454625357366,583.089060973825,1617.3520421001313,1428.6322132777145,18.38829662687056,-46.827557046076464,-55.29639030174334,-12.30211224991308,-46.864180263491455,21.36209991672157,26 days 00:00:00.000000000,1932-10-27,449.48539330890515,0.903,0.932,0.914,28,1,[28],[5]
1933,158.54189668353825,583.0034913422678,1217.7618480407887,5588.707650475971,5430.165753792432,38.40333763981429,11.048854677999254,54.47187688348147,-26.325762662056373,10.972368322988432,22.163628860631608,22 days 00:00:00.000000000,1933-10-23,628.8535671076786,0.337,0.496,0.577,26,1,[26],[4]
1934,178.2793688535273,563.9275439778775,952.2551670118436,3278.6645629042023,3100.385194050675,30.03031894688548,-13.162950680377893,-9.377712992369894,-17.15378200885774,-13.222760836922168,24.43296828109159,21 days 00:00:00.000000000,1934-10-22,640.0001040533255,0.631,0.5660000000000001,0.5660000000000001,25,1,[25],[4]
1935,189.23960472725517,468.66804885609304,809.1259736975719,2496.800686844093,2307.561082116838,25.586505190654094,-26.21503718982768,-30.98843016633278,-12.060572983784215,-26.063846201440416,17.911979412353716,39 days 00:00:00.000000000,1935-11-09,519.963212938306,0.718,0.783,0.794,31,2,"[28, 31]",[6]
1936,201.17011281861932,583.0034913422678,1196.9746112390917,3600.306705040052,3399.1365922214327,37.74779134003597,9.153246893552156,-0.48752433197060996,-6.51647957332179,9.078066163262816,14.360345562835347,12 days 00:00:00.000000000,1936-10-13,753.804097313385,0.381,0.496,0.337,26,2,"[22, 26]",[3]
1937,224.67104686473823,516.7730027239134,828.5348844243408,3227.9047484993603,3003.233701634622,26.128676115206005,-24.44512026376955,-10.780714239125992,4.404377492196721,-24.4971596780531,22.120291626813593,29 days 00:00:00.000000000,1937-10-30,569.5889857088373,0.707,0.668,0.685,28,1,[28],[5]
1938,220.53049583159046,516.7730027239134,879.3026498716457,2873.0524012848505,2652.52190545326,27.72968836635223,-19.81555971664385,-20.58883295259382,2.480268181615533,-19.8707878014686,20.03891123936323,11 days 00:00:00.000000000,1938-10-12,565.7380208204505,0.664,0.668,0.707,25,1,[25],[4]
1939,214.75310038088375,728.4970702319307,1341.7351393819806,5259.545195770601,5044.792095389717,42.42888527159275,22.354096368934677,45.373826787126546,-0.20448085024537613,22.60480919792727,23.32820707991238,10 days 00:00:00.000000000,1939-10-11,803.3775912221228,0.229,0.229,0.28300000000000003,27,1,[27],[2]
1940,224.67104686473823,512.1178199937132,956.7509564092873,3355.9174512398436,3131.246404375105,30.172098161323323,-12.752975393122146,-7.242443194376399,4.404377492196721,-12.81306792552197,25.578550860595122,-7 days +00:00:00.000000000,1940-09-24,612.9423299095753,0.62,0.716,0.609,26,1,[26],[2]
1941,189.23960472725517,426.6328809909446,649.5189188974498,2187.823512835168,1998.5839081079127,20.483228626349987,-40.76975547287949,-39.52855911354079,-12.060572983784215,-40.81055108057313,25.576137166549074,4 days 00:00:00.000000000,1941-10-05,444.9982334326154,0.859,0.903,0.924,30,1,[30],[3]
1942,171.1379824381925,459.26044279675483,669.368438769605,1707.8301963432584,1536.692213905066,21.109203085038278,-38.959658982126896,-52.795574160162076,-20.472376075734275,-39.00170131751706,15.211352089985223,2 days 00:00:00.000000000,1942-10-03,484.8129901510938,0.837,0.794,0.848,31,2,"[29, 31]",[1]
1943,178.2793688535273,534.6731742242141,927.8550194412512,2542.9744128795624,2364.6950440260352,29.341002566779032,-15.388023214919713,-29.712188399992545,-17.15378200885774,-15.214646853228633,14.970925499217913,24 days 00:00:00.000000000,1943-10-25,620.9541948597622,0.653,0.631,0.598,30,2,"[23, 30]",[4]
