,Energy
0.0,1018276.0420125171
0.05,957736.9175488439
0.1,921509.942676966
0.15000000000000002,901927.4634286971
0.2,888048.0286100139
0.25,875946.936581258
0.30000000000000004,866948.7063761604
0.35000000000000003,856140.3035398853
0.4,851897.9629587352
0.45,842914.8162394315
0.5,838317.5622570866
0.55,828928.1984473979
0.6000000000000001,818590.3630950123
0.65,812782.680576042
0.7000000000000001,802417.7359049162
0.75,791546.5965412122
0.8,783432.0808775094
0.8500000000000001,767942.894229407
0.9,754939.0906845229
0.9500000000000001,717411.2506404632
1.0,493500.3847431797
