WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,Exceedance,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower
1924,3452.248381930785,111.40747964374857,0.8706776269437217,0.05300893207969328,25.4076721433662,13.492192647451091,59.32669979726961,974.5709053594342,964.3985022799416,190.5045403151936,0.0,827895.3726003291,0.5250478009895543,0.40821917808219177,0.03561643835616438,0.1095890410958904,0.4191780821917808,0.0273972602739726,10,270,261,259,246,0.6000000000000001,1925-02-26,1925-06-05,,,,,1925-01-29,1925-06-14
1925,4501.386000873192,158.54189668353825,0.4840497151914727,0.040654145182061965,25.354758160883538,11.555578254593305,60.4717223942609,976.5075197522921,964.3985022799416,192.16147879695885,22.64175796103717,770213.2589525887,0.48846604449047987,0.3178082191780822,0.07671232876712329,0.18904109589041096,0.41643835616438357,0.0,0,272,269,267,261,0.8500000000000001,1926-03-07,1926-06-07,,,,,1926-03-04,1926-06-15
1926,3313.0406406455268,192.89523707448373,0.4979576697792255,0.06549874376358958,25.437889857510857,13.777038336260901,59.3599023655685,974.2860596706244,964.3985022799416,191.1263529383472,20.61520572867761,859283.4969840399,0.5449540188889141,0.38082191780821917,0.057534246575342465,0.1780821917808219,0.3835616438356164,0.0,0,256,252,249,242,0.35000000000000003,1927-02-22,1927-06-10,,,,,1927-02-14,1927-06-16
1927,2261.108087620956,179.82651022652541,0.4727069563001049,0.06545463297852312,25.390318865074,16.221673500999902,59.81162899156704,971.8414245058854,964.3985022799416,190.62845128006146,22.732947951207837,827175.8924515948,0.524591509672498,0.3041095890410959,0.10684931506849316,0.1780821917808219,0.4136986301369863,0.0,0,279,277,273,268,0.6000000000000001,1928-03-07,1928-06-01,,,,,1928-03-04,1928-06-09
1928,1589.152359062425,195.20770377157245,0.4987972279534628,0.09313141006021457,25.387451061640267,18.159350528795432,60.4717223942609,969.9037474780896,964.407469860292,193.05104536506408,23.51834528436699,747422.2926412219,0.47401210847363134,0.1726027397260274,0.14794520547945206,0.20821917808219179,0.4712328767123288,0.0,0,342,337,332,325,0.9500000000000001,1929-04-14,1929-05-06,,,,,1929-04-06,1929-05-15
1929,2187.823512835168,188.71982882241662,0.4559546776568619,0.08775844983546686,25.390318865074,16.415680145698463,60.4717223942609,971.6474178611867,964.3985022799416,193.29032312271943,25.162193190245805,871824.6451071627,0.5529075628533502,0.2465753424657534,0.1643835616438356,0.26575342465753427,0.3232876712328767,0.0,0,327,324,321,311,0.30000000000000004,1930-05-07,1930-06-13,,,,,1930-04-27,1930-06-19
1930,3355.9174512398436,201.17011281861926,0.565005067010826,0.05396537680135125,25.118612020619683,13.688496416661868,59.34368754899339,974.3746015902234,964.7062133951467,192.7711881162384,22.77367757173707,808804.8999968214,0.5129407026869746,0.27945205479452057,0.11232876712328767,0.2356164383561644,0.3726027397260274,0.0,0,286,283,280,275,0.7000000000000001,1931-03-27,1931-06-13,,,,,1931-03-24,1931-06-21
1931,3803.114617748527,236.19433422910615,0.4789471017177073,0.06284322825418548,25.02324350656683,12.805873370016528,60.50019700997456,975.2572246368687,964.7331199874376,191.65601536223488,30.003047354340943,901675.9188722433,0.5718391164841725,0.3643835616438356,0.09863013698630137,0.17534246575342466,0.3643835616438356,0.0,0,280,276,272,263,0.2,1932-03-02,1932-05-26,,,,,1932-02-25,1932-06-06
1932,1617.3520421001313,188.71982882241662,0.4969066185702751,0.08916916985335042,25.43600491785945,18.06996276311527,60.08103044172197,969.99313524377,964.407469860292,193.05104536506408,20.702241458083886,763674.7108205295,0.4843193244676113,0.20821917808219179,0.14794520547945206,0.1780821917808219,0.4657534246575342,0.0,0,339,332,329,318,0.9,1933-03-29,1933-04-23,,,,,1933-03-19,1933-05-04
1933,5588.707650475971,158.54189668353825,0.5065026412286242,0.04276480627496148,25.378084489831753,9.90258069498482,59.3599023655685,978.2149183648377,964.3985022799416,192.1372055974377,0.0,785231.8935908391,0.49799080009566155,0.3178082191780822,0.12054794520547946,0.1589041095890411,0.39452054794520547,0.00821917808219178,3,264,262,260,256,0.8,1934-02-28,1934-06-08,1934-03-25,1934-03-28,,,1934-02-25,1934-06-13
