,Energy
0.0,925512.6164111965
0.05,870811.1618326574
0.1,839574.4661904402
0.15000000000000002,822442.3111809855
0.2,814088.7648714806
0.25,805508.3760849987
0.30000000000000004,789549.8785204197
0.35000000000000003,779274.1382058003
0.4,776528.2208691275
0.45,769262.0322611711
0.5,763755.6018157473
0.55,759691.36128117
0.6000000000000001,755693.9097469563
0.65,748643.4892876368
0.7000000000000001,745592.4810138624
0.75,737361.9103321213
0.8,725081.3091812623
0.8500000000000001,713942.6133861541
0.9,708282.1281575717
0.9500000000000001,679744.3859353596
1.0,496517.70123378036
