WaterYear,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units
1924,189.88781923797,0.0,827686.1340297712,0.5249151027586068,0.40821917808219177,0.03561643835616438,0.1095890410958904,0.4191780821917808,0.0273972602739726,10
1925,193.74734650738208,22.358324631371143,767292.2321817678,0.48661354146484515,0.3178082191780822,0.07671232876712329,0.18904109589041096,0.41643835616438357,0.0,0
1926,190.8728676888808,20.75734821504896,857958.1912733077,0.54411351552087,0.3780821917808219,0.06027397260273973,0.1780821917808219,0.3835616438356164,0.0,0
1927,189.33215068740068,22.514463909107167,826892.270682327,0.524411637926387,0.3041095890410959,0.10684931506849316,0.1780821917808219,0.4136986301369863,0.0,0
1928,192.801267863073,22.924150991428956,747056.0702054951,0.4737798517284977,0.1726027397260274,0.14520547945205478,0.21095890410958903,0.4712328767123288,0.0,0
1929,193.04058626122938,24.571776135743082,871073.7547860765,0.5524313513356649,0.2465753424657534,0.1643835616438356,0.2602739726027397,0.3287671232876712,0.0,0
1930,192.70769370400456,23.41666613064639,808378.0072319265,0.5126699690714908,0.27945205479452057,0.11232876712328767,0.2328767123287671,0.37534246575342467,0.0,0
1931,191.59199149781338,29.467904966226882,901239.1550085312,0.5715621226588858,0.3643835616438356,0.09863013698630137,0.18356164383561643,0.3561643835616438,0.0,0
1932,193.74734650738208,20.841584208637233,763382.1519972654,0.4841337848790369,0.20821917808219179,0.14520547945205478,0.18082191780821918,0.4657534246575342,0.0,0
1933,192.3815342151676,0.0,783097.6372562376,0.4966372636074566,0.32602739726027397,0.12054794520547946,0.1589041095890411,0.39452054794520547,0.0,0
1934,188.8865826854656,17.91148748081142,860700.5112949997,0.5458526834696853,0.33424657534246577,0.10410958904109589,0.19726027397260273,0.3643835616438356,0.0,0
1935,191.1492869118395,19.780885838578914,813935.9970218355,0.5161948230732087,0.28493150684931506,0.10684931506849316,0.18356164383561643,0.4273972602739726,0.0,0
1936,190.28538973637862,22.321186816917432,831067.0435712059,0.5270592615241032,0.3917808219178082,0.06027397260273973,0.1643835616438356,0.3835616438356164,0.0,0
1937,191.76253777224525,26.097492021307513,840475.6455626121,0.5330261577642137,0.2958904109589041,0.11506849315068493,0.2191780821917808,0.3698630136986301,0.0,0
1938,190.6063271929226,25.651305891311832,825390.4895053767,0.5234592145518624,0.30684931506849317,0.09315068493150686,0.1917808219178082,0.40821917808219177,0.0,0
1939,190.28538973637862,24.90417865195058,888894.8258004375,0.5637334004315306,0.4054794520547945,0.1232876712328767,0.1780821917808219,0.2958904109589041,0.0,0
1940,190.6063271929226,22.321312540290787,867747.3450565264,0.5503217561241288,0.36164383561643837,0.0547945205479452,0.20273972602739726,0.38082191780821917,0.0,0
1941,192.801267863073,22.321186816917432,760931.1655901882,0.4825793794965679,0.2191780821917808,0.10410958904109589,0.2191780821917808,0.4575342465753425,0.0,0
1942,192.70769370400456,24.665024729845022,808626.625739842,0.512827641894877,0.2493150684931507,0.09315068493150686,0.25753424657534246,0.4,0.0,0
1943,192.30632759729062,22.487029644024513,845421.1433997173,0.536162571917629,0.3561643835616438,0.07397260273972603,0.15616438356164383,0.41643835616438357,0.0,0
1944,189.19386955351402,24.58572707812169,795909.675990039,0.5047626052701921,0.3041095890410959,0.10136986301369863,0.20821917808219179,0.3863013698630137,0.0,0
1945,192.801267863073,21.44862462877631,871116.9745652408,0.5524587611398026,0.29863013698630136,0.12602739726027398,0.1506849315068493,0.4246575342465753,0.0,0
1946,188.18356747167726,26.812063748189082,830791.295073838,0.5268843829742758,0.3589041095890411,0.1178082191780822,0.18082191780821918,0.3424657534246575,0.0,0
