WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5
1,Oct,10,0.5801449848718885,0.397072458948784,0.39943725359657184,0.2742384721859704,25.39868111242985,25.039505173312914,25.055661977096786,24.191086596346242,965.429123969443,964.7127108472473,964.7252705303371,964.4060545986174,990.0,990.0,990.0,990.0,1.0631286853971558,68.51820079902707,31.713531143741,29.02990786101584,9.356428521089027,50977.54139447617,23594.867170943322,21598.251448595787,6961.182819690237,17139.203794818917,18402.342899551597,19183.013153789936,27084.96186702542,31448.104696052564,35940.66073577403
2,Nov,11,0.40358035891317245,0.33134060486788436,0.33554458144981425,0.21914641181747382,25.36368170531076,24.85718244480533,24.88076912733111,23.704044181460453,965.8092198107788,964.8428566287931,964.8013522198925,964.4581644721706,990.0,990.0,990.0,990.0,1.2480286738351252,86.96962301007767,40.7673564306039,37.605743824510185,22.45752454086656,62618.12856725592,29352.496630034806,27076.13555364733,16169.417669423918,19769.202179329644,21794.052296283215,23435.541676727953,32559.244471240152,40676.47738837157,45628.115773727055
3,Dec,12,0.28886229105642325,0.2420157941203022,0.24250197453245295,0.15808993353424264,25.05546459270908,24.166430143198223,24.348497613564138,22.26618251024218,967.0156018791237,965.4281879623936,965.2835437080522,964.6489233846007,990.0,990.0,990.0,990.0,2.037460978147763,134.37048044093663,70.3916177804207,64.34299130827516,37.682866493743305,99971.63744805686,52371.363628633,47871.18553335671,28036.052671345016,36627.977486761614,38529.045881388476,42936.57587314941,60846.3173200949,68661.28612063445,84638.10992903527
4,Jan,1,0.22261547727396802,0.17762989382082484,0.18157962589732793,0.09758435866551925,24.71960340894285,22.772692608472592,23.213478870859507,18.777821191398186,970.0721369610093,966.5943175188454,966.2302419409078,964.9945171547669,990.0,990.0,990.0,990.0,2.9743322927506073,157.01304300443206,110.13300581444544,103.57644654818509,55.24052653906577,116817.7039952975,81938.95632594745,77060.87623184969,41098.951745064915,57261.97510642547,62434.09342130222,69628.48875220897,97641.96958288689,107365.49510515941,109145.68308045207
5,Feb,2,0.1886127336508384,0.13011980292991696,0.14013490585006833,0.023961637995543118,24.048690908292052,20.488254153168086,21.328449191175707,8.025605122420389,981.3440252039787,968.6078755736279,967.7371944167578,965.4904118918612,990.5266400611466,990.0057582378636,990.0,990.0,3.682226283171779,157.74064058713054,133.6451154778763,139.2864952032183,8.920023200763703,109787.48584864283,90599.14197565752,94296.94665451068,5994.255590913208,63538.572675891846,74497.97972688921,82639.90262168446,100907.83569326639,103885.1581378364,104847.14679292307
6,Mar,3,0.18345997833295244,0.09553743781479797,0.09155342472282096,0.040247106616749455,23.411819197989907,17.09636573738206,16.904071254078847,8.209453533493585,981.0007010020307,971.8221953203865,971.938919011173,966.0837762802722,990.3671642702715,990.01246123581,990.0,990.0,3.8057578910856753,158.4969922925747,122.56460524883835,127.82886377760488,4.421234976638015,117921.76226567556,91188.06630513568,95104.67465053804,3289.3988226186834,48877.17041879959,67905.89792393894,83595.13206825608,109975.85171064737,114937.46785286945,116254.59950876157
7,Apr,4,0.16531926939900385,0.085340522098178,0.08322154763841276,0.049988054216098296,22.469774216301413,15.764964767678421,15.352682495462753,8.607422863417346,980.4957879689433,973.1025664775134,973.4903077697899,966.8344438537639,990.2602205671081,990.0064903542592,990.0,990.0,3.9268817204301074,158.59721910695788,116.24617943036063,115.77506966714331,9.547934288380883,114189.99775700975,83697.24918985968,83358.05016034318,6874.512687634235,57579.77526450082,62291.07708540867,73258.4921138014,97213.86726540013,108476.68846556378,111128.49267905038
8,May,5,0.2233184011030025,0.13091199146048188,0.12844381993122048,0.06639811434433315,22.894568338641335,17.441525240910156,17.11730696762484,11.301403560092767,977.5744983818598,971.4406931999395,971.7256832976277,966.5121415624268,990.0329116767005,990.0005427189948,990.0,990.0,3.948664585501215,157.44666796363398,129.16080918568355,129.40552576320871,79.0625371831787,117140.32096494365,96095.6420341486,96277.71116782729,58822.52766428496,77129.40805310966,81510.63444025913,88552.74158955923,106046.8025028844,111501.07859620673,113906.96300244091
9,Jun,6,0.3695889405397032,0.20009747914164402,0.19487915324163668,0.10874303722953402,24.676367767830662,20.667844505874022,20.549923750100643,15.71988981325979,973.1231004519926,968.4093732583646,968.4681577197772,964.9890761096977,990.0,990.0,990.0,990.0,3.5749103942652325,150.32245805847117,130.8351503258541,140.38753012504588,45.18432635974121,108232.16980209922,94201.30823461495,101079.02169003306,32532.714979013665,50945.69203065721,71845.84135313578,91084.09933510236,105040.90236187998,106576.53580402824,107357.31595627397
10,Jul,7,0.44379519523426425,0.33625403713223123,0.336995381045096,0.20307491019780263,25.009101781553053,23.441503853095686,23.702667446756585,19.98042374281156,968.9578834958883,966.0818009418422,965.8885635471748,964.7506022440945,990.0,990.0,990.0,990.0,2.334027055150884,147.55584738516097,80.41884562264705,74.39381325399457,29.822407622618588,109781.5504545598,59831.62114324942,55348.99706097196,22187.871271228225,35425.04011235118,40229.99835584178,47335.41718585781,69707.370672044,86444.38530535586,97365.56113990191
