MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Volume,Flow_range
1924.1,1924,10,31,1924-10-01,1924,1,111.40747964374857,116.38241501778093,111.40747964374857,126.7731428469428,0.31171866038362456,15.36566320319423
1924.11,1924,11,30,1924-11-01,1924,2,128.24515030123536,153.98009223196553,145.35095688735188,191.21938009017487,0.39911639906525465,62.97422978893951
1924.12,1924,12,31,1924-12-01,1924,3,192.89523707448373,275.6771981874483,271.2725109404546,440.0331111664572,0.7383738076252614,247.1378740919735
1925.01,1925,1,31,1925-01-01,1924,4,417.85777193562865,692.7386733693181,595.7090611902229,1182.7486219934508,1.8554312627523821,764.8908500578221
1925.02,1925,2,28,1925-02-01,1924,5,1107.711819429938,1193.6784517725657,1151.4124173518942,1436.9972565708524,2.8877469105281905,329.2854371409144
1925.03,1925,3,31,1925-03-01,1924,6,1383.5781363808978,1926.2693316142318,1492.9232463956196,3452.248381930785,5.1593197777955595,2068.670245549887
1925.04,1925,4,30,1925-04-01,1924,7,3004.2640135053875,3198.6022827788183,3169.0574299794807,3441.0052160059477,8.290777116962696,436.7412025005601
1925.05,1925,5,31,1925-05-01,1924,8,1589.152359062425,2213.8872116781877,2161.5709846171685,3020.841272673107,5.929675507758859,1431.6889136106822
1925.06,1925,6,30,1925-06-01,1924,9,834.6935677067364,1178.2975581315973,1134.7268530995066,1551.1556592265113,3.0541472706771002,716.4620915197748
1925.07,1925,7,31,1925-07-01,1924,10,350.2192051008483,520.6242109287423,486.02502639130836,819.2739407352476,1.394439886551544,469.0547356343993
1925.08,1925,8,31,1925-08-01,1924,11,229.36508545768086,276.697548161137,273.7644374568714,340.5953058875766,0.7411067129947894,111.23022042989575
1925.09,1925,9,30,1925-09-01,1924,12,188.71982882241662,202.41789316391984,200.2479822683398,228.5473327785961,0.5246671790808803,39.82750395617947
1925.1,1925,10,31,1925-10-01,1925,1,158.54189668353825,171.3574035098351,169.1933403798354,188.71982882241662,0.4589636695607423,30.17793213887836
1925.11,1925,11,30,1925-11-01,1925,2,162.78130282482888,199.70096414459329,189.96960445629574,287.1870699602335,0.5176248990627857,124.4057671354046
1925.12,1925,12,31,1925-12-01,1925,3,266.78604271350054,333.07145944774265,329.2057950036568,422.4698189706656,0.8920985969848334,155.68377625716505
