StartYear,DebtEnd,EquityEnd,Energy,YearNo,CumEnergy,DiscountedEnergy,CumDiscountedEnergy
1926,1943,1950,528.6600489325239,23,18030.65045195936,24.424405636675772,5755.243352013364
1926,1943,1950,823.2562764121654,24,18853.906728371527,33.07384770500171,5788.317199718365
1926,1943,1950,868.0574955179251,25,19721.964223889452,30.324966027184423,5818.642165745549
1927,1944,1951,780.2736938165788,1,780.2736938165788,780.2736938165788,780.2736938165788
1927,1944,1951,648.4702230084102,2,1428.743916824989,563.887150442096,1344.1608442586748
1927,1944,1951,778.3456175920159,3,2207.089534417005,588.541109710409,1932.701953969084
1927,1944,1951,778.3470248431433,4,2985.436559260148,511.7758032995108,2444.477757268595
1927,1944,1951,878.6000613038852,5,3864.036620564033,502.3424366287345,2946.8201938973293
1927,1944,1951,668.445778087347,6,4532.48239865138,332.3356896733923,3279.1558835707215
1927,1944,1951,816.6425701352769,7,5349.124968786657,353.05711906561885,3632.21300263634
1927,1944,1951,825.9956357600311,8,6175.120604546688,310.5223542970191,3942.735356933359
1927,1944,1951,760.2910245130723,9,6935.41162905976,248.5404845526434,4191.275841486003
1927,1944,1951,856.375648127462,10,7791.787277187223,243.4354073491554,4434.711248835158
1927,1944,1951,780.6633563918547,11,8572.450633579077,192.96804232983,4627.679291164987
1927,1944,1951,781.7033418236945,12,9354.153975402773,168.02183549840905,4795.701126663396
1927,1944,1951,920.7019614900146,13,10274.855936892787,172.08577979337218,4967.7869064567685
1927,1944,1951,832.2910896336301,14,11107.147026526418,135.27057016450163,5103.05747662127
1927,1944,1951,681.0898196479186,15,11788.236846174337,96.25751017886039,5199.314986800131
1927,1944,1951,723.7052708860721,16,12511.94211706041,88.9393867059324,5288.2543735060635
1927,1944,1951,815.4897454832237,17,13327.431862543634,87.14712387947101,5375.401497385535
1927,1944,1951,781.9457629314177,18,14109.377625475052,72.66300339807233,5448.064500783607
1927,1944,1951,777.448679780939,19,14886.82630525599,62.82183300747728,5510.886333791084
1927,1944,1951,854.7264600744002,20,15741.55276533039,60.057628897680054,5570.943962688764
1927,1944,1951,922.9550143778779,21,16664.50777970827,56.392808828070606,5627.336771516835
1927,1944,1951,528.6600489325239,22,17193.167828640795,28.088066482177133,5655.424837999012
1927,1944,1951,823.2562764121654,23,18016.42410505296,38.034924860751964,5693.459762859764
1927,1944,1951,868.0574955179251,24,18884.481600570885,34.87371093126209,5728.333473791026
1927,1944,1951,930.9003555241632,25,19815.381956095047,32.52033627003134,5760.853810061058
1928,1945,1952,648.4702230084102,1,648.4702230084102,648.4702230084102,648.4702230084102
1928,1945,1952,778.3456175920159,2,1426.815840600426,676.8222761669704,1325.2924991753807
1928,1945,1952,778.3470248431433,3,2205.1628654435694,588.5421737944374,1913.8346729698183
1928,1945,1952,878.6000613038852,4,3083.762926747455,577.6938021230446,2491.528475092863
1928,1945,1952,668.445778087347,5,3752.208704834802,382.18604312440124,2873.7145182172644
1928,1945,1952,816.6425701352769,6,4568.8512749700785,406.01568692546164,3279.730205142726
1928,1945,1952,825.9956357600311,7,5394.84691073011,357.1007074415719,3636.830912584298
1928,1945,1952,760.2910245130723,8,6155.137935243182,285.82155723553984,3922.6524698198377
1928,1945,1952,856.375648127462,9,7011.5135833706445,279.9507184515287,4202.603188271367
1928,1945,1952,780.6633563918547,10,7792.176939762499,221.9132486793045,4424.516436950671
1928,1945,1952,781.7033418236945,11,8573.880281586195,193.22511082317035,4617.741547773841
1928,1945,1952,920.7019614900146,12,9494.58224307621,197.89864676237804,4815.6401945362195
1928,1945,1952,832.2910896336301,13,10326.87333270984,155.56115568917684,4971.201350225397
1928,1945,1952,681.0898196479186,14,11007.96315235776,110.69613670568944,5081.897486931086
1928,1945,1952,723.7052708860721,15,11731.668423243831,102.28029471182226,5184.1777816429085
1928,1945,1952,815.4897454832237,16,12547.158168727055,100.21919246139164,5284.3969741043
1928,1945,1952,781.9457629314177,17,13329.103931658474,83.5624539077832,5367.959428012084
1928,1945,1952,777.448679780939,18,14106.552611439412,72.24510795859887,5440.204535970683
1928,1945,1952,854.7264600744002,19,14961.279071513813,69.06627323233207,5509.270809203014
1928,1945,1952,922.9550143778779,20,15884.23408589169,64.85173015228119,5574.122539355296
1928,1945,1952,528.6600489325239,21,16412.894134824215,32.3012764545037,5606.4238158098
1928,1945,1952,823.2562764121654,22,17236.15041123638,43.74016358986475,5650.163979399665
1928,1945,1952,868.0574955179251,23,18104.207906754305,40.104767570951395,5690.268746970616
1928,1945,1952,930.9003555241632,24,19035.108262278467,37.39838671053605,5727.667133681152
1928,1945,1952,897.8462491810716,25,19932.95451145954,31.365614771641273,5759.032748452793
1929,1946,1953,778.3456175920159,1,778.3456175920159,778.3456175920159,778.3456175920159
1929,1946,1953,778.3470248431433,2,1556.692642435159,676.8234998636029,1455.1691174556188
1929,1946,1953,878.6000613038852,3,2435.2927037390446,664.3478724415012,2119.51698989712
1929,1946,1953,668.445778087347,4,3103.7384818263918,439.51394959306134,2559.030939490181
1929,1946,1953,816.6425701352769,5,3920.3810519616686,466.918039964281,3025.948979454462
1929,1946,1953,825.9956357600311,6,4746.376687721699,410.6658135578076,3436.6147930122697
1929,1946,1953,760.2910245130723,7,5506.667712234772,328.6947908208708,3765.3095838331406
1929,1946,1953,856.375648127462,8,6363.043360362234,321.943326219258,4087.2529100523984
1929,1946,1953,780.6633563918547,9,7143.706716754089,255.20023598120017,4342.453146033598
1929,1946,1953,781.7033418236945,10,7925.410058577783,222.2088774466459,4564.662023480244
1929,1946,1953,920.7019614900146,11,8846.112020067798,227.5834437767347,4792.245467256978
1929,1946,1953,832.2910896336301,12,9678.403109701429,178.89532904255339,4971.140796299532
1929,1946,1953,681.0898196479186,13,10359.492929349348,127.30055721154282,5098.441353511074
1929,1946,1953,723.7052708860721,14,11083.19820023542,117.6223389185956,5216.06369242967
1929,1946,1953,815.4897454832237,15,11898.687945718644,115.25207133060039,5331.31576376027
1929,1946,1953,781.9457629314177,16,12680.633708650063,96.09682199395064,5427.41258575422
1929,1946,1953,777.448679780939,17,13458.082388431001,83.08187415238869,5510.494459906609
1929,1946,1953,854.7264600744002,18,14312.808848505401,79.42621421718185,5589.920674123791
1929,1946,1953,922.9550143778779,19,15235.76386288328,74.57948967512338,5664.500163798914
1929,1946,1953,528.6600489325239,20,15764.423911815804,37.14646792267926,5701.646631721594
1929,1946,1953,823.2562764121654,21,16587.68018822797,50.30118812834446,5751.947819849938
1929,1946,1953,868.0574955179251,22,17455.737683745894,46.1204827065941,5798.068302556532
1929,1946,1953,930.9003555241632,23,18386.638039270056,43.00814471711645,5841.076447273648
1929,1946,1953,897.8462491810716,24,19284.484288451127,36.070456987387466,5877.146904261036
1929,1946,1953,882.7891915646774,25,20167.273480015803,30.83960726287127,5907.986511523907
1930,1947,1954,778.3470248431433,1,778.3470248431433,778.3470248431433,778.3470248431433
1930,1947,1954,878.6000613038852,2,1656.9470861470286,764.0000533077264,1542.3470781508697
1930,1947,1954,668.445778087347,3,2325.3928642343753,505.4410420320205,2047.7881201828902
1930,1947,1954,816.6425701352769,4,3142.035434369652,536.955745958923,2584.743866141813
1930,1947,1954,825.9956357600311,5,3968.031070129683,472.2656855914788,3057.009551733292
1930,1947,1954,760.2910245130723,6,4728.3220946427555,377.9990094440014,3435.0085611772934
1930,1947,1954,856.375648127462,7,5584.697742770218,370.23482515214664,3805.24338632944
1930,1947,1954,780.6633563918547,8,6365.361099162073,293.48027137838017,4098.72365770782
1930,1947,1954,781.7033418236945,9,7147.064440985767,255.54020906364278,4354.263866771463
1930,1947,1954,920.7019614900146,10,8067.766402475781,261.7209603432449,4615.9848271147075
1930,1947,1954,832.2910896336301,11,8900.057492109412,205.72962839893637,4821.714455513644
1930,1947,1954,681.0898196479186,12,9581.147311757331,146.39564079327425,4968.110096306918
1930,1947,1954,723.7052708860721,13,10304.852582643403,135.26568975638492,5103.375786063303
1930,1947,1954,815.4897454832237,14,11120.342328126628,132.53988203019045,5235.915668093494
1930,1947,1954,781.9457629314177,15,11902.288091058046,110.51134529304325,5346.4270133865375
1930,1947,1954,777.448679780939,16,12679.736770838985,95.54415527524698,5441.971168661785
1930,1947,1954,854.7264600744002,17,13534.463230913385,91.34014634975914,5533.311315011544
1930,1947,1954,922.9550143778779,18,14457.418245291263,85.76641312639187,5619.077728137936
1930,1947,1954,528.6600489325239,19,14986.078294223787,42.71843811108114,5661.796166249017
1930,1947,1954,823.2562764121654,20,15809.334570635952,57.846366347596124,5719.642532596613
1930,1947,1954,868.0574955179251,21,16677.392066153876,53.03855511258321,5772.681087709196
1930,1947,1954,930.9003555241632,22,17608.292421678037,49.459366424683914,5822.14045413388
1930,1947,1954,897.8462491810716,23,18506.13867085911,41.481025535495576,5863.621479669376
1930,1947,1954,882.7891915646774,24,19388.927862423785,35.46554835230196,5899.087028021678
1930,1947,1954,939.8675838308978,25,20328.795446254684,32.83359995954939,5931.920627981227
1931,1948,1955,878.6000613038852,1,878.6000613038852,878.6000613038852,878.6000613038852
1931,1948,1955,668.445778087347,2,1547.0458393912322,581.2571983368235,1459.857259640709
1931,1948,1955,816.6425701352769,3,2363.688409526509,617.4991078527614,2077.3563674934703
1931,1948,1955,825.9956357600311,4,3189.68404528654,543.1055384302006,2620.461905923671
1931,1948,1955,760.2910245130723,5,3949.9750697996124,434.69886086060166,3055.1607667842727
1931,1948,1955,856.375648127462,6,4806.350717927075,425.7700489249686,3480.9308157092414
1931,1948,1955,780.6633563918547,7,5587.0140743189295,337.50231208513713,3818.4331277943784
1931,1948,1955,781.7033418236945,8,6368.717416142624,293.87124042318914,4112.304368217568
1931,1948,1955,920.7019614900146,9,7289.419377632638,300.9791043947316,4413.283472612299
1931,1948,1955,832.2910896336301,10,8121.710467266268,236.5890726587768,4649.872545271076
1931,1948,1955,681.0898196479186,11,8802.800286914187,168.3549869122654,4818.227532183341
1931,1948,1955,723.7052708860721,12,9526.50555780026,155.55554321984266,4973.783075403184
1931,1948,1955,815.4897454832237,13,10341.995303283484,152.42086433471897,5126.203939737903
1931,1948,1955,781.9457629314177,14,11123.941066214902,127.08804708699974,5253.291986824903
1931,1948,1955,777.448679780939,15,11901.38974599584,109.87577856653402,5363.167765391437
1931,1948,1955,854.7264600744002,16,12756.11620607024,105.04116830222299,5468.20893369366
1931,1948,1955,922.9550143778779,17,13679.071220448119,98.63137509535065,5566.84030878901
1931,1948,1955,528.6600489325239,18,14207.731269380643,49.1262038277433,5615.966512616754
1931,1948,1955,823.2562764121654,19,15030.987545792808,66.52332129973554,5682.489833916489
1931,1948,1955,868.0574955179251,20,15899.045041310734,60.99433837947069,5743.48417229596
1931,1948,1955,930.9003555241632,21,16829.945396834897,56.878271388386494,5800.3624436843465
1931,1948,1955,897.8462491810716,22,17727.79164601597,47.703179365819906,5848.065623050166
1931,1948,1955,882.7891915646774,23,18610.580837580645,40.785380605147246,5888.851003655313
1931,1948,1955,939.8675838308978,24,19550.448421411544,37.7586399534818,5926.6096436087955
1931,1948,1955,989.7481349583363,25,20540.19655636988,34.57614123840131,5961.185784847197
