StartYear,DebtEnergy,DebtDiscountedEnergy,DebtEnd,EquityEnd,EquityEnergy,EquityDiscountedEnergy,DebtAvEnergy,EquityAvEnergy
1924,14843.198628055889,5776.958973188322,1941,1948,20390.234535663472,6087.704009530863,824.622146003105,815.6093814265389
1925,14824.139119765958,5766.806111265699,1942,1949,20317.085109100004,6075.379755540999,823.5632844314421,812.6834043640001
1926,14902.268030983907,5828.002470360367,1943,1950,20395.091676970995,6133.830559186965,827.9037794991059,815.8036670788398
1927,14840.219515700637,5789.511533351436,1944,1951,20343.518819221594,6095.4237163804655,824.4566397611466,813.7407527688638
1928,14884.444219583553,5787.961469379738,1945,1952,20331.13801899454,6087.2655365981755,826.9135677546418,813.2455207597817
1929,14968.179444451896,5874.243226835767,1946,1953,20480.93023285357,6172.571637927627,831.565524691772,819.2372093141428
1930,14853.654313223218,5823.947844558388,1947,1954,20522.479380509372,6128.604392168142,825.2030174012899,820.8991752203749
1931,14683.897875272793,5827.249788538188,1948,1955,20568.01615035274,6148.091242978322,815.7721041818218,822.7206460141097
1932,14537.195427730567,5735.028221173547,1949,1956,20442.221046254235,6060.969482928272,807.6219682072538,817.6888418501694
1933,14619.112075786059,5795.943120102571,1950,1957,20411.53508795122,6117.82164660099,812.1728930992255,816.4614035180488
1934,14642.399772053734,5839.706377440055,1951,1958,20563.73552288359,6167.606578094087,813.4666540029853,822.5494209153436
1935,14596.210731214005,5801.545946713649,1952,1959,20521.13983155469,6131.521881952243,810.9005961785558,820.8455932621877
1936,14679.123018256698,5819.091864207891,1953,1960,20508.684607739113,6143.222923652627,815.5068343475943,820.3473843095645
1937,14760.678877127373,5821.0348361950955,1954,1961,20561.991386030895,6139.874227279464,820.0377153959652,822.4796554412358
1938,14774.118008640056,5806.9938570821,1955,1962,20537.464747932983,6122.812962344108,820.7843338133365,821.4985899173194
1939,14724.171570044702,5800.9026987564275,1956,1963,20730.35030044012,6127.608586975403,818.0095316691501,829.2140120176049
1940,14567.972937938515,5716.895497404843,1957,1964,20728.18100533171,6055.497945798319,809.3318298854731,829.1272402132684
1941,14635.5236650706,5663.433777919024,1958,1965,20716.984923380398,5995.836194903281,813.0846480594778,828.6793969352159
1942,14692.697319446512,5713.901120014632,1959,1966,20843.90687110266,6051.157295447292,816.2609621914729,833.7562748441064
1943,14685.551466912932,5715.543979966223,1960,1967,20911.227181944076,6059.51084815592,815.8639703840518,836.449087277763
1944,14724.504145376202,5682.822483652187,1961,1968,20849.739784853773,6023.58932365254,818.0280080764556,833.9895913941509
1945,14744.543476850858,5695.772513859618,1962,1969,21033.413996301693,6046.052655353042,819.1413042694921,841.3365598520677
1946,14891.702544298136,5642.978074332243,1963,1970,21117.280992390053,5984.5377129975595,827.3168080165631,844.6912396956021
1947,14947.636779916318,5616.4145523761445,1964,1971,21220.372186993136,5959.432895600126,830.4242655509065,848.8148874797255
1948,15047.63941946413,5668.441603798491,1965,1972,21266.865941139757,6011.370622364925,835.9799677480073,850.6746376455902
1949,15296.870963495076,5866.797577538383,1966,1973,21546.746930539637,6210.748639175075,849.8261646386153,861.8698772215855
1950,15418.28119261003,5960.498146396384,1967,1974,21652.931057058573,6304.7123864835485,856.5711773672239,866.1172422823429
1951,15356.916138866689,5955.326986811455,1968,1975,21650.27953944476,6307.762902853115,853.162007714816,866.0111815777905
1952,15530.114692780737,6012.311602650905,1969,1976,21805.76054381256,6360.186315383539,862.7841495989298,872.2304217525025
1953,15670.587192979066,6066.212884314447,1970,1977,21879.427045499015,6408.553932114956,870.5881773877259,875.1770818199606
1954,15707.62139859146,6031.551148745722,1971,1978,21991.518312638982,6373.708074858693,872.6456332550811,879.6607325055593
1955,15598.040873853599,5961.390908282314,1972,1979,22079.527919386517,6315.2043273251265,866.5578263251999,883.1811167754607
1956,15662.628655459688,5958.950215620724,1973,1980,22147.87493098708,6312.70153692015,870.1460364144272,885.9149972394832
1957,15747.905438534905,6041.015336145564,1974,1981,22163.977476618267,6395.49822155739,874.8836354741613,886.5590990647307
1958,15857.8565272796,6182.870759743405,1975,1982,22272.475406736576,6541.608845445926,880.9920292933111,890.899016269463
1959,15884.424792982702,6124.090873055914,1976,1983,22133.586693273268,6475.079379000943,882.4680440545945,885.3434677309307
1960,15954.497945158326,6184.418686691906,1977,1984,22158.57504541359,6534.973598183512,886.3609969532404,886.3430018165435
1961,16161.95672315656,6284.135202964885,1978,1985,22127.025056212602,6620.4137284617,897.8864846198089,885.0810022485041
1962,16278.215410482986,6302.710251478188,1979,1986,22147.331931458975,6628.0502638968055,904.3453005823881,885.893277258359
1963,16384.52819169415,6395.47742512884,1980,1987,22165.37558262853,6713.051380279189,910.2515662052306,886.6150233051412
1964,16157.798746222845,6257.3367599584135,1981,1988,21989.227208684653,6578.410765109021,897.6554859012691,879.5690883473861
1965,16112.26733934338,6254.371623526822,1982,1989,21850.720019527947,6571.576490712083,895.1259632968545,874.0288007811179
1966,16052.12543496347,6281.50046034743,1983,1990,21783.171912663314,6599.842271130925,891.7847463868594,871.3268765065326
1967,16007.365493757441,6281.039629707355,1984,1991,21575.001548178836,6592.531760846899,889.2980829865245,863.0000619271534
1968,15901.349341181458,6287.403097922283,1985,1992,21469.360671444043,6600.982637635706,883.4082967323033,858.7744268577617
1969,16022.096291981401,6413.058010344555,1986,1993,21379.910761194416,6713.867519747853,890.1164606656334,855.1964304477766
1970,15876.505063177696,6325.994748675583,1987,1994,20960.185864492654,6613.9844494617855,882.0280590654276,838.4074345797062
1971,15763.648760592734,6254.917855023555,1988,1995,20498.702278582237,6525.090632627452,875.7582644773742,819.9480911432895
1972,15577.984612451133,6188.719523006223,1989,1996,20301.56222108314,6455.626932862863,865.4435895806185,812.0624888433256
1973,15563.945390987692,6266.84753502689,1990,1997,20283.27675047315,6527.887158147207,864.6636328326496,811.331070018926
1974,15325.125581134283,6213.756844929775,1991,1998,20165.083217875355,6478.750511223006,851.3958656185713,806.6033287150142
1975,15234.710806995508,6227.572786253801,1992,1999,20072.467943631433,6487.5673456606955,846.3728226108616,802.8987177452573
1976,15086.547360616352,6257.199855675175,1993,2000,20048.532410069733,6520.259180464528,838.1415200342418,801.9412964027892
1977,14684.540013460839,6141.658938610987,1994,2001,19941.1625374566,6422.002990120608,815.8077785256022,797.646501498264
1978,14289.862426062296,6087.36207229534,1995,2002,19891.302127571966,6393.184793464181,793.8812458923499,795.6520851028786
1979,14017.66530703562,5908.648343058947,1996,2003,19694.856927832057,6220.2659360387115,778.7591837242012,787.7942771132823
1980,13801.789704940238,5717.14244041208,1997,2004,19546.078257823017,6032.337343791132,766.7660947189021,781.8431303129207
1981,13679.836942347965,5588.482175406467,1998,2005,19476.2662421686,5906.366609818334,759.9909412415536,779.050649686744
1982,13656.39590554807,5587.852805939097,1999,2006,19521.14226565609,5911.262839609477,758.6886614193372,780.8456906262436
1983,13633.913530612755,5534.736999689248,2000,2007,19571.751527756365,5861.733534843818,757.4396405895975,782.8700611102546
1984,13692.000637166031,5528.481628855376,2001,2008,19598.00792937649,5853.862040850595,760.6667020647795,783.9203171750596
1985,13687.225027316692,5466.098128098481,2002,2009,19621.331037859312,5792.651830416543,760.4013904064828,784.8532415143725
1986,13729.788594776015,5476.094203783166,2003,2010,19722.939178378583,5806.575790625575,762.766033043112,788.9175671351434
1987,13676.961736847034,5336.284806048232,2004,2011,19723.27823405051,5668.795573518661,759.831207602613,788.9311293620204
