WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units
1924,3456.9284003276725,111.13312449457777,0.8728270751060605,0.052937168146917346,19.905938241155372,18.063098006885255,970,970,178.96782323451157,0.0,818532.4450205696,0.5191098712712897,0.40821917808219177,0.03561643835616438,0.1095890410958904,0.4191780821917808,0.0273972602739726,10
1925,4504.008835805155,157.20546447466663,0.5660394740627723,0.04063047091409317,19.83553397221453,18.063098006885255,970,970,180.59733542957323,17.490911457889396,781338.3389146453,0.4955215239184711,0.3178082191780822,0.07671232876712329,0.18904109589041096,0.41643835616438357,0.0,0
1926,3305.305418849375,192.5343690235045,0.49624344552634775,0.06565202681800608,19.843019858374223,18.063098006885255,970,970,180.17427259287038,16.193038191008377,837482.6233185687,0.5311279955089857,0.3780821917808219,0.06027397260273973,0.1780821917808219,0.3835616438356164,0.0,0
1927,2256.674509148625,178.80001308800567,0.4730668285752787,0.06558322850725865,19.83165064278762,18.063098006885255,970,970,178.969625299758,17.586314347909237,780273.6938165788,0.4948463304265467,0.3041095890410959,0.10684931506849316,0.1780821917808219,0.4136986301369863,0.0,0
1928,1587.0354045052177,195.867340229906,0.5024468312765746,0.09325563851938215,19.821053670031713,18.063098006885255,970,970,180.2988178340088,18.096686149077087,648470.2230084102,0.41125711758524236,0.1726027397260274,0.14520547945205478,0.21095890410958903,0.4712328767123288,0.0,0
1929,2191.093871216848,186.00555523962726,0.45494961644897386,0.0876274643100392,19.817245436905747,18.063098006885255,970,970,180.52672544389964,19.179016497676614,778345.617592016,0.4936235525063521,0.2465753424657534,0.1643835616438356,0.2602739726027397,0.3287671232876712,0.0,0
1930,3353.048964052125,203.00358413649516,0.5642393856687444,0.054244490235681675,19.821290060871775,18.063098006885255,970,970,180.17427259287038,18.48083128884682,778347.0248431433,0.4936244449791624,0.27945205479452057,0.11232876712328767,0.2328767123287671,0.37534246575342467,0.0,0
1931,3801.48145691918,237.50038393032366,0.4804489851084849,0.06287022643895568,19.76196300019649,18.063098006885255,970,970,179.50119494954228,23.297912737202115,878600.0613038852,0.5572045036173803,0.3643835616438356,0.09863013698630137,0.18356164383561643,0.3561643835616438,0.0,0
1932,1617.226635298898,186.00555523962726,0.49523315059132844,0.08915416171129707,19.84232263343259,18.063098006885255,970,970,180.59733542957323,16.258043088958157,668445.7780873469,0.4239255315115087,0.20821917808219179,0.14520547945205478,0.18082191780821918,0.4657534246575342,0.0,0
1933,5586.540190597635,157.20546447466663,0.5068075741059558,0.04278139811868647,19.863914865382224,18.063098006885255,970,970,179.34451475749066,14.219686774733653,816642.5701352769,0.5179113204815302,0.32602739726027397,0.12054794520547946,0.1589041095890411,0.39452054794520547,0.0,0
1934,3274.864603569636,178.6711172442791,0.5301495011775911,0.07170128949115992,19.863745904471823,18.063098006885255,970,970,178.90973691143304,13.991159692584604,825995.6357600311,0.5238429957889593,0.33424657534246577,0.10410958904109589,0.19726027397260273,0.3643835616438356,0.0,0
1935,2497.1685761110707,186.87643787790543,0.49765503375423376,0.06178918899837187,19.851229080929457,18.063098006885255,970,970,179.1678751893382,15.44425329484005,760291.0245130723,0.4821734046886557,0.28493150684931506,0.10684931506849316,0.18356164383561643,0.4273972602739726,0.0,0
1936,3602.7094443816422,203.00358413649516,0.5422034704511887,0.05026222641920746,19.828867309429707,18.063098006885255,970,970,180.17427259287038,17.617679428106456,856375.648127462,0.5431098732416679,0.3917808219178082,0.06027397260273973,0.1643835616438356,0.3835616438356164,0.0,0
1937,3223.0963795525877,224.05894827294208,0.5530038154093129,0.04591857722248583,19.794980502252645,18.063098006885255,970,970,178.8975343219749,20.617494400180693,780663.3563918547,0.4950934528106638,0.2958904109589041,0.11506849315068493,0.2191780821917808,0.3698630136986301,0.0,0
1938,2867.6342842249555,218.92863712668117,0.4968413020949814,0.06987091375399375,19.799545518478205,18.063098006885255,970,970,179.50119494954228,20.263187971943054,781703.3418236945,0.49575300724485954,0.30684931506849317,0.09315068493150686,0.1917808219178082,0.40821917808219177,0.0,0
1939,5261.463646745377,215.06106642327626,0.5429950301533902,0.04671190298946674,19.804317034322555,18.063098006885255,970,970,179.11776932195855,19.69840728421641,920701.9614900146,0.5839053535578479,0.4054794520547945,0.1232876712328767,0.1780821917808219,0.2958904109589041,0.0,0
1940,3353.048964052125,224.05894827294208,0.52664712081151,0.054577192865936076,19.82705470159223,18.063098006885255,970,970,179.50119494954228,17.625269568278892,832291.0896336301,0.5278355464444635,0.36164383561643837,0.0547945205479452,0.20273972602739726,0.38082191780821917,0.0,0
1941,2191.093871216848,186.87643787790543,0.47782407592754284,0.06754617040565522,19.828867309429707,18.063098006885255,970,970,180.2988178340088,17.617679428106456,681089.8196479186,0.4319443300659047,0.2191780821917808,0.10410958904109589,0.2191780821917808,0.4575342465753425,0.0,0
1942,1703.9411272214982,170.50934056548053,0.45494961644897386,0.08685746099768929,19.811669576130257,18.063098006885255,970,970,179.32441257342427,19.464146285035447,723705.270886072,0.45897087194702685,0.2493150684931507,0.09315068493150686,0.25753424657534246,0.4,0.0,0
1943,2527.506592967073,178.6711172442791,0.46052559664560355,0.08109277578938061,19.831901692761768,18.063098006885255,970,970,180.29275312967755,17.565111347948548,815489.7454832237,0.517180203883323,0.3561643835616438,0.07397260273972603,0.15616438356164383,0.41643835616438357,0.0,0
1944,3888.545558628648,192.5343690235045,0.5509505098361465,0.05960583912933698,19.81017246941739,18.063098006885255,970,970,178.96782323451157,19.417775229272806,781945.7629314176,0.49590674970282694,0.3041095890410959,0.10136986301369863,0.20821917808219179,0.3863013698630137,0.0,0
1945,1587.0354045052177,195.46857671261643,0.49088992169915985,0.09537057789533121,19.83920663078117,18.063098006885255,970,970,180.2988178340088,16.728379049156597,777448.679780939,0.49305471827811964,0.29863013698630136,0.12602739726027398,0.1506849315068493,0.4246575342465753,0.0,0
1946,4620.964774924961,194.9496057331377,0.4827001697120674,0.04683229189016569,19.798350644388933,18.063098006885255,970,970,178.89226403108378,20.906991670509512,854726.4600744002,0.5420639650395739,0.3589041095890411,0.1178082191780822,0.18082191780821918,0.3424657534246575,0.0,0
1947,6171.937792156593,263.12709498041704,0.49052367972508526,0.03872365666156347,19.74146799073907,18.063098006885255,970,970,178.91394709587397,24.50217798562268,922955.014377878,0.5853342303258994,0.4054794520547945,0.10136986301369863,0.1780821917808219,0.3178082191780822,0.0,0
1948,898.723486443178,194.9496057331377,0.46678729950635517,0.13794705584427822,19.83318685784072,18.936962628288118,970,970,132.40946746304624,17.28007396592108,528660.0489325238,0.33527400363554277,0.0,0.18904109589041096,0.35342465753424657,0.4575342465753425,0.0,0
1949,5181.686386404008,170.50934056548053,0.53898841900578,0.031263953068457494,19.847074270428234,18.063098006885255,970,970,178.96782323451157,16.038569369032867,823256.2764121654,0.5221057054871673,0.36164383561643837,0.06027397260273973,0.1780821917808219,0.4,0.0,0
1950,4403.481554297618,194.9496057331377,0.5025961560499425,0.052937168146917346,19.798350644388933,18.063098006885255,970,970,179.3249326328113,20.906991670509512,868057.4955179251,0.5505184522564213,0.3698630136986301,0.08493150684931507,0.20821917808219179,0.336986301369863,0.0,0
1951,6171.937792156593,254.14597249815805,0.4804489851084849,0.03975172053474835,19.749367657086854,18.063098006885255,970,970,179.50119494954228,24.176347111317824,930900.3555241631,0.5903731326256743,0.44931506849315067,0.038356164383561646,0.1643835616438356,0.3506849315068493,0.0,0
1952,5885.90612387302,218.92863712668117,0.48344191032770295,0.04500579464227104,19.79600989154689,18.063098006885255,970,970,178.88920601017503,20.900925418890598,897846.2491810716,0.5694103558987009,0.3780821917808219,0.0958904109589041,0.2465753424657534,0.27945205479452057,0.0,0
1953,3816.10238252615,259.3693801107636,0.5320597209318507,0.05754923566788034,19.79245137902199,18.063098006885255,970,970,179.10062790393198,20.572732144512532,882789.1915646774,0.5598612326006326,0.3726027397260274,0.11232876712328767,0.19452054794520549,0.32054794520547947,0.0,0
1954,3801.48145691918,211.232465418376,0.47971527146882975,0.06071043005105127,19.812333625900457,18.063098006885255,970,970,178.90973691143304,19.382439351445857,939867.5838308978,0.5960601115112238,0.4438356164383562,0.07945205479452055,0.16164383561643836,0.3150684931506849,0.0,0
1955,5673.759846821428,249.43621677169185,0.44099450121424283,0.0517208010969703,19.753732887961185,18.063098006885255,970,970,178.88920601017503,23.851016986535434,989748.1349583365,0.6276941495169561,0.4438356164383562,0.10684931506849316,0.2219178082191781,0.23013698630136986,0.0,0
1956,9153.10175319062,291.0139148345758,0.504638073230086,0.026111367102052432,19.716841832075893,18.063098006885255,970,970,183.91198425559887,26.411729953816813,866706.0252771756,0.549661355452293,0.3178082191780822,0.10136986301369863,0.29315068493150687,0.2876712328767123,0.0,0
1957,9911.75881916953,281.3319839673027,0.43920698266699404,0.01987538272410324,19.68752777879132,18.063098006885255,970,970,185.71552179027256,29.502417136840965,990992.6404398754,0.6284834097158013,0.4547945205479452,0.07671232876712329,0.21643835616438356,0.25205479452054796,0.0,0
1958,4429.192098649554,243.5488674436673,0.48450235568142536,0.05258341041543515,19.786339169842545,18.063098006885255,970,970,179.1111954489875,21.510989220922134,908330.6904310444,0.5760595449207537,0.3452054794520548,0.17534246575342466,0.2,0.27945205479452057,0.0,0
1959,4620.964774924961,195.46857671261643,0.5374092990330406,0.058587500326492785,19.843019858374223,18.063098006885255,970,970,179.36307527591612,16.193038191008377,823356.8130527404,0.5221694654063549,0.32054794520547947,0.1178082191780822,0.19452054794520549,0.3698630136986301,0.0,0
1960,6085.073123641936,203.00358413649516,0.47782407592754284,0.03465790731632095,19.828867309429707,18.063098006885255,970,970,179.5425127622912,17.617679428106456,901889.1689592028,0.5719743588021327,0.37534246575342467,0.11506849315068493,0.2219178082191781,0.2876712328767123,0.0,0
1961,5567.925284372021,265.99233731658796,0.4238981728333419,0.04612398014420581,19.711728726367035,18.063098006885255,970,970,179.11776932195855,26.918852830705525,998386.9744783564,0.6331728656001753,0.46301369863013697,0.07397260273972603,0.26575342465753427,0.19726027397260273,0.0,0
1962,7112.749862017034,281.3319839673027,0.4265423301957263,0.03836321840576276,19.69531542629631,18.063098006885255,970,970,179.69527144860646,27.817108475414432,1055250.4839093313,0.6692354667106363,0.5260273972602739,0.06301369863013699,0.2191780821917808,0.1917808219178082,0.0,0
1963,2446.374385496531,291.0139148345758,0.5199680025993223,0.06457801502001274,19.716841832075893,18.063098006885255,970,970,179.50119494954228,26.411729953816813,963330.6446489654,0.6109402870680907,0.4,0.15342465753424658,0.1863013698630137,0.26301369863013696,0.0,0
