LagDays,Correl
0,0.9518293585055934
1,0.9586143806248505
2,0.9648943442442305
3,0.9706523481237659
4,0.9758573725625503
5,0.9804811547904614
6,0.9844905925114484
7,0.9878461247476611
8,0.9905252872219286
9,0.9925096164518384
10,0.9937886685780526
11,0.9943531928425162
12,0.9941912580803786
13,0.993305597842105
14,0.9916971677301631
15,0.989393878946415
16,0.986429563740972
17,0.9828403355994029
18,0.9786708061675404
19,0.9739632142939604
20,0.9687528663642504
21,0.9630642851235139
22,0.9569312706288027
23,0.9503694792425497
24,0.943397746372848
25,0.9360270013173803
26,0.9282659361871103
27,0.920132759444608
28,0.9116431810273066
29,0.9028112248825068
