Date,VicFalls,Ngonye
2005-10-12,185.5639,208.1497
2005-10-13,179.6399,206.2763
2005-10-14,174.9892,205.3422
2005-10-15,173.2654,203.4789
2005-10-16,171.5526,202.5498
2005-10-17,169.8506,199.7726
2005-10-18,168.1596,197.47
2005-10-19,168.1596,194.995
2005-10-20,168.1596,192.4415
2005-10-21,170.984,189.9919
2005-10-22,168.1596,187.4647
2005-10-23,165.3653,185.0406
2005-10-24,162.601,182.5399
2005-10-25,162.601,189.7205
2005-10-26,160.4111,188.8169
2005-10-27,158.2403,187.0149
2005-10-28,157.162,186.1164
2005-10-29,156.0885,184.3247
2005-10-30,155.5535,180.762
2005-10-31,154.487,181.6501
2005-11-01,146.638,180.762
2005-11-02,146.638,178.991
2005-11-03,144.0799,178.1081
2005-11-04,146.638,176.3475
2005-11-05,146.638,174.5938
2005-11-06,146.638,172.8472
2005-11-07,146.638,171.1075
2005-11-08,146.638,170.2403
2005-11-09,148.1868,168.5111
2005-11-10,149.2251,167.6491
2005-11-11,151.8414,165.9305
2005-11-12,162.601,165.0738
2005-11-13,164.256,163.3657
2005-11-14,162.601,162.5143
2005-11-15,164.256,160.8168
2005-11-16,162.601,181.6501
2005-11-17,162.601,179.8756
2005-11-18,162.601,179.8756
2005-11-19,162.0518,174.5938
2005-11-20,162.0518,174.5938
2005-11-21,161.5037,173.7196
2005-11-22,161.5037,177.2269
2005-11-23,168.1596,176.3475
2005-11-24,169.8506,178.991
2005-11-25,180.8148,174.5938
2005-11-26,186.7636,181.6501
2005-11-27,193.451,181.6501
2005-11-28,199.6622,184.3247
2005-11-29,207.2832,188.8169
2005-11-30,231.951,193.3519
2005-12-01,234.0298,198.8503
2005-12-02,251.8195,191.5328
2005-12-03,256.9516,204.4097
2005-12-04,261.4036,209.0889
2005-12-05,266.66,211.9166
2005-12-06,300.4434,215.7103
2005-12-07,306.19,222.4134
2005-12-08,298.0019,255.0998
2005-12-09,293.9613,254.0833
2005-12-10,295.5733,241.0157
2005-12-11,297.191,243.0082
2005-12-12,298.0019,256.1179
2005-12-13,302.0781,248.018
2005-12-14,289.956,245.0073
2005-12-15,285.986,239.0297
2005-12-16,278.1512,249.0248
2005-12-17,282.0511,265.3535
2005-12-18,285.986,264.3209
2005-12-19,289.956,270.5404
2005-12-20,289.956,259.182
2005-12-21,314.5212,270.5404
2005-12-22,317.0487,271.5825
2005-12-23,319.5892,271.5825
2005-12-24,329.8819,289.5416
2005-12-25,340.3854,274.7185
2005-12-26,351.1014,278.9221
2005-12-27,362.0319,285.2749
2005-12-28,376.9428,291.6844
2005-12-29,381.682,292.7581
2005-12-30,386.4594,303.5815
2005-12-31,390.3088,299.2334
2006-01-01,394.1828,290.6122
2006-01-02,398.0814,292.7581
2006-01-03,401.0216,294.9103
2006-01-04,420.9801,304.6724
2006-01-05,410.923,305.7649
2006-01-06,426.0674,303.5815
2006-01-07,429.1387,321.2219
2006-01-08,432.2241,330.1899
2006-01-09,436.3602,323.4547
2006-01-10,518.6822,321.2219
2006-01-11,683.8179,341.5375
2006-01-12,479.1271,323.4547
2006-01-13,484.6547,388.4353
2006-01-14,555.4186,390.8428
2006-01-15,632.5003,395.6754
2006-01-16,718.9949,404.1893
2006-01-17,623.3263,478.7737
2006-01-18,623.3263,481.3893
2006-01-19,704.7879,493.2295
2006-01-20,643.0906,501.1863
2006-01-21,643.0906,493.2295
2006-01-22,643.0906,503.8498
2006-01-23,643.0906,514.5598
2006-01-24,649.7671,491.9083
2006-01-25,629.8704,470.9609
2006-01-26,629.8704,449.1029
2006-01-27,603.9569,427.6595
2006-01-28,614.2383,444.0199
2006-01-29,625.9387,437.6986
2006-01-30,636.4584,442.7528
2006-01-31,676.9182,463.1992
2006-02-01,697.7526,470.9609
2006-02-02,718.9949,477.468
2006-02-03,733.3846,482.6993
2006-02-04,737.7373,482.6993
2006-02-05,743.5668,497.2016
2006-02-06,747.9582,515.9049
2006-02-07,792.7923,518.5991
2006-02-08,831.4451,524.0043
2006-02-09,839.318,533.5169
2006-02-10,863.224,545.8471
2006-02-11,871.2888,569.4416
2006-02-12,879.4018,594.8544
2006-02-13,887.5632,603.4231
2006-02-14,920.6956,606.2901
2006-02-15,946.0594,646.9925
2006-02-16,954.6127,627.9643
2006-02-17,971.8681,639.6473
2006-02-18,984.0653,633.7951
2006-02-19,994.598,649.9399
2006-02-20,1006.9774,658.814
2006-02-21,1006.9774,670.7204
2006-02-22,1042.8919,687.2297
2006-02-23,1051.9972,700.8557
2006-02-24,1070.3608,708.4715
2006-02-25,1079.6194,736.1584
2006-02-26,1088.9293,751.7217
2006-02-27,1098.2906,770.5679
2006-02-28,1117.1681,783.2348
2006-03-01,1136.253,797.583
2006-03-02,1088.9293,816.8745
2006-03-03,1098.2906,826.5889
2006-03-04,1103.9321,837.9798
2006-03-05,1111.4831,852.7162
2006-03-06,1117.1681,854.3598
2006-03-07,1117.1681,882.4941
2006-03-08,1117.1681,910.9893
2006-03-09,1117.1681,921.1321
2006-03-10,1107.7035,931.3195
2006-03-11,1132.4193,934.7252
2006-03-12,1159.4298,943.261
2006-03-13,1184.8787,944.9718
2006-03-14,1224.7272,950.1118
2006-03-15,1275.736,955.2628
2006-03-16,1234.8221,963.8724
2006-03-17,1244.9702,969.0529
2006-03-18,1292.3423,982.9214
2006-03-19,1342.9932,979.4469
2006-03-20,1392.7145,1030.3033
2006-03-21,1414.6961,1053.4318
2006-03-22,1448.0846,1071.3615
2006-03-23,1598.6159,1098.4809
2006-03-24,1493.3847,1127.7043
