,0
0,1.0
1,0.48954100935526373
2,0.36241287026601227
3,0.2889993926196287
4,0.2799423629208768
5,0.18441462896819125
6,0.1490135143940437
7,0.1017952493951342
8,0.1801317595113575
9,0.11250633191697323
10,0.05712766485500779
11,-0.02639504848313002
12,-0.08084203770830047
13,-0.05455167295595476
14,-0.1773237323171374
15,-0.18965672870988506
16,-0.23052698476011216
17,-0.2621964362735343
18,-0.28547989946132624
19,-0.23994844344688615
20,-0.19138301110060807
21,-0.19445206644191756
22,-0.2878700377281684
23,-0.1187127279193895
24,-0.09661846556439259
25,-0.1602640344796972
26,-0.15520521896990852
27,-0.06394312641530368
28,-0.17891910695022492
29,-0.1494620394386957
30,-0.19643677775331006
31,-0.17689252447952702
32,-0.08183406799283892
33,-0.01792126239874207
34,0.0639296107047235
35,0.03100810047982801
36,-0.021843120302475077
37,-0.005101885044860002
38,0.030389863405191453
39,0.013586675109062666
40,0.052979216191978706
