Exceedance,VicFalls_full,Ngonye_gauged,Ngonye_synthetic,Conversion,,Exceedance,VicFalls_full,Ngonye_gauged,Ngonye_synthetic,Conversion,,Ngonye_synthetic dx,%
0,9435.5576,5935.9208,9912.101075,1.050505068,,0,9435.5576,5935.9208,9912.101075,1.050505068,,5.62195E-08,0.00%
0.001,8466.223,5830.0826,8829.697418,1.042932299,,0.001,8466.223,5830.0826,8793.047209,1.042932299,,-36.65020875,0.42%
0.002,7545.51,5724.9991,7890.806381,1.040984597,,0.002,7545.51,5724.9991,7867.080491,1.040984597,,-23.72588992,0.30%
0.003,6745.6244,5575.5019,7005.060692,1.046102238,,0.003,6745.6244,5575.5019,6937.385641,1.046102238,,-67.67505068,0.98%
0.004,6292.9208,5462.0358,6479.994666,1.037615224,,0.004,6292.9208,5462.0358,6412.813597,1.037615224,,-67.18106885,1.05%
0.005,5998.9548,5287.8989,6170.049531,1.028520757,,0.005,5998.9548,5287.8989,6170.049531,1.028520757,,-1.90909E-07,0.00%
0.006,5828.4011,5080.4547,5965.180906,1.023467809,,0.006,5828.4011,5080.4547,5963.201578,1.023467809,,-1.979328398,0.03%
0.007,5678.5338,5062.5001,5828.691955,1.026443121,,0.007,5678.5338,5062.5001,5786.757198,1.026443121,,-41.93475706,0.72%
0.008,5530.3075,5021.1029,5687.283314,1.02578014,,0.008,5530.3075,5021.1029,5668.636825,1.02578014,,-18.64648937,0.33%
0.009,5420.2188,5006.7365,5577.582657,1.028437031,,0.009,5420.2188,5006.7365,5569.845471,1.028437031,,-7.737186205,0.14%
0.01,5329.1885,4962.0705,5513.419394,1.034570159,,0.01,5329.1885,4962.0705,5452.641165,1.034570159,,-60.77822912,1.11%
0.011,5238.8058,4897.7959,5396.855656,1.030169062,,0.011,5238.8058,4897.7959,5396.3288,1.030169062,,-0.526855836,0.01%
0.012,5180.6192,4887.3374,5359.201803,1.033619649,,0.012,5180.6192,4887.3374,5344.849128,1.033619649,,-14.35267464,0.27%
0.013,5113.3614,4862.9821,5307.780231,1.038021727,,0.013,5113.3614,4862.9821,5278.010081,1.038021727,,-29.77015028,0.56%
0.014,5042.2522,4819.2673,5241.107544,1.039437802,,0.014,5042.2522,4819.2673,5204.91272,1.039437802,,-36.19482382,0.70%
0.015,4971.5612,4770.2283,5168.223412,1.039557436,,0.015,4971.5612,4770.2283,5133.118886,1.039557436,,-35.1045258,0.68%
