WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1924,3456.9284003276725,111.13312449457777,0.8728270751060605,0.052937168146917346,25.908305217311995,13.98274625161794,974.5803517552673,964.4019724130517,194.66428743612008,0.0,851034.7460516981,0.5397226953651053,0.40821917808219177,0.03561643835616438,0.1095890410958904,0.4191780821917808,0.0273972602739726,10,
1925,4504.008835805155,157.20546447466663,0.5660394740627723,0.04063047091409317,25.85541437363599,12.051136311582084,976.5119616953032,964.4019724130517,198.7036100449228,22.79922305846644,790096.5025876429,0.5010759148830815,0.3178082191780822,0.07671232876712329,0.18904109589041096,0.41643835616438357,0.0,0,
1926,3305.305418849375,192.5343690235045,0.49624344552634775,0.06565202681800608,25.93723421772949,14.293089994343362,974.2700080125419,964.4019724130517,195.76037513409827,21.165376788990404,881826.2404960279,0.5592505330390841,0.3780821917808219,0.06027397260273973,0.1780821917808219,0.3835616438356164,0.0,0,
1927,2256.674509148625,178.80001308800567,0.4730668285752787,0.06558322850725865,25.89038578340994,16.73330552354055,971.8297924833447,964.4019724130517,194.1868042952726,22.9578539895568,848922.1634359614,0.5383829042592347,0.3041095890410959,0.10684931506849316,0.1780821917808219,0.4136986301369863,0.0,0,
1928,1587.0354045052177,195.867340229906,0.5024468312765746,0.09325563851938215,25.88750871868044,18.666093692370126,969.8970043145151,964.4059625624903,197.7520341122905,23.380652609615847,764295.5159588653,0.4847130365035929,0.1726027397260274,0.14520547945205478,0.21095890410958903,0.4712328767123288,0.0,0,
1929,2191.093871216848,186.00555523962726,0.45494961644897386,0.0876274643100392,25.89038578340994,16.90694274051323,971.656155266372,964.4019724130517,197.99587099644685,25.055673268640255,892301.7312955183,0.5658940457226778,0.2465753424657534,0.1643835616438356,0.2602739726027397,0.3287671232876712,0.0,0,
1930,3353.048964052125,203.00358413649516,0.5642393856687444,0.054244490235681675,25.615132776210544,14.194397166972365,974.3687008399129,964.7061442089033,197.6191035282177,23.882852519930125,830668.2877462286,0.5268063722388563,0.27945205479452057,0.11232876712328767,0.2328767123287671,0.37534246575342467,0.0,0,
1931,3801.48145691918,237.50038393032366,0.4804489851084849,0.06287022643895568,25.518026473561868,13.308969840949615,975.2541281659356,964.7351677262637,196.46725343402656,30.05736849110471,926092.2819168785,0.5873238723470817,0.3643835616438356,0.09863013698630137,0.18356164383561643,0.3561643835616438,0.0,0,
1932,1617.226635298898,186.00555523962726,0.49523315059132844,0.08915416171129707,25.936360070942246,18.57035849145946,969.9927395154258,964.4059625624903,198.7036100449228,21.251265156510865,781202.4292311773,0.49543533056264416,0.20821917808219179,0.14520547945205478,0.18082191780821918,0.4657534246575342,0.0,0,
1933,5586.540190597635,157.20546447466663,0.5068075741059558,0.04278139811868647,25.888803234350398,10.405568738983177,978.211754091179,964.4019724130517,197.00390120001913,18.532418325274172,813035.165773526,0.5156235196432813,0.32602739726027397,0.12054794520547946,0.1589041095890411,0.39452054794520547,0.0,0,
