Exceedance,Mean,Max,Min,Median,MeanQ3070
0.0,2333.913589289769,9912.101075056224,338.3210417029997,1089.4560494851628,1258.6125175826833
0.001,2316.9190940649705,9842.336790678564,338.0590051028112,1085.8766039999746,1251.6657323509628
0.002,2299.9245988401667,9772.572506300883,337.79696850262263,1082.297158514785,1244.7189471192403
0.003,2282.930103615365,9702.808221923211,337.5349319024341,1078.717713029596,1237.7721618875187
0.004,2265.935608390564,9633.043937545539,337.2728953022455,1075.1382675444072,1230.8253766557973
0.005,2248.9411131657625,9563.279653167869,337.010858702057,1071.5588220592183,1223.8785914240757
0.006,2231.9466179409615,9493.515368790198,336.7488221018684,1067.9793765740294,1216.931806192354
0.007,2214.9521227161576,9423.751084412517,336.48678550167983,1064.3999310888398,1209.9850209606316
0.008,2197.9576274913566,9353.986800034845,336.22474890149135,1060.8204856036512,1203.03823572891
0.009000000000000001,2180.963132266555,9284.222515657175,335.96271230130276,1057.2410401184623,1196.0914504971884
0.01,2163.968637041754,9214.458231279505,335.7006757011142,1053.6615946332734,1189.144665265467
0.011,2148.6393938917818,9146.426108609714,335.4728177879068,1049.1470201286827,1182.7340293257917
0.012,2144.4118312406613,9089.941730659059,335.4728177879068,1038.3982521614012,1179.8977219997541
0.013000000000000001,2140.1842685895417,9033.45735270841,335.4728177879068,1027.649484194121,1177.0614146737169
0.014,2135.956705938422,8976.972974757762,335.4728177879068,1016.9007162268409,1174.2251073476798
0.015,2131.7291432873026,8920.488596807116,335.4728177879068,1006.1519482595609,1171.3888000216427
0.016,2127.5015806361826,8864.004218856468,335.4728177879068,995.4031802922807,1168.5524926956057
0.017,2123.2740179850625,8807.519840905812,335.4728177879068,984.6544123249989,1165.716185369568
0.018000000000000002,2119.0464553339425,8751.035462955164,335.4728177879068,973.9056443577189,1162.8798780435309
0.019,2114.8188926828234,8694.551085004518,335.4728177879068,963.1568763904388,1160.0435707174938
0.02,2110.5913300317034,8638.06670705387,335.4728177879068,952.4081084231588,1157.2072633914568
0.021,2106.3637673805833,8581.582329103214,335.4728177879068,941.659340455877,1154.3709560654193
0.022,2097.9308131841467,8505.646894398453,335.1066311749406,932.7101362935732,1151.9892666295802
0.023,2077.5825829426435,8374.600132223677,333.7029158252369,928.8596962453622,1150.895661215967
0.024,2057.23435270114,8243.5533700489,332.29920047553327,925.0092561971513,1149.8020558023538
0.025,2036.8861224596367,8112.506607874124,330.89548512582957,921.1588161489406,1148.7084503887409
0.026000000000000002,2016.5378922181305,7981.459845699327,329.4917697761257,917.308376100729,1147.6148449751274
0.027,1996.1896619766271,7850.4130835245505,328.088054426422,913.4579360525181,1146.5212395615142
0.028,1975.841431735124,7719.366321349775,326.6843390767183,909.6074960043072,1145.427634147901
0.029,1955.4932014936207,7588.319559174998,325.28062372701464,905.7570559560963,1144.334028734288
0.03,1935.1449712521178,7457.272797000222,323.87690837731094,901.9066159078855,1143.2404233206748
0.031,1914.7967410106114,7326.226034825426,322.47319302760707,898.0561758596739,1142.1468179070614
0.032,1894.4485107691112,7195.17927265067,321.0694776779036,894.2057358114637,1141.0532124934484
0.033,1880.7312849810073,7087.769909275021,319.91266124960896,891.3247588948037,1137.5049582288132
0.034,1877.3289550093,7017.129832920196,319.13990981017236,889.9518357383333,1130.1383613070286
0.035,1873.926625037593,6946.489756565382,318.36715837073586,888.578912581863,1122.7717643852452
0.036000000000000004,1870.5242950658862,6875.849680210567,317.5944069312994,887.2059894253928,1115.4051674634616
0.037,1867.1219650941794,6805.209603855753,316.8216554918629,885.8330662689226,1108.0385705416784
0.038,1863.7196351224725,6734.569527500939,316.04890405242645,884.4601431124524,1100.6719736198947
0.039,1860.3173051507652,6663.929451146114,315.2761526129898,883.0872199559819,1093.3053766981102
0.04,1856.914975179058,6593.289374791299,314.50340117355336,881.7142967995117,1085.9387797763268
0.041,1853.5126452073514,6522.649298436486,313.73064973411687,880.3413736430415,1078.5721828545434
0.042,1850.1103152356443,6452.009222081671,312.9578982946804,878.9684504865712,1071.20558593276
0.043000000000000003,1846.707985263938,6381.369145726868,312.185146855244,877.5955273301012,1063.8389890109777
0.044,1841.0419935850605,6339.063070315692,310.7934760641848,876.0551721152898,1059.6137654444574
0.045,1833.300978674611,6322.729829102871,308.83446253413837,874.3613375136661,1058.2681341202638
0.046,1825.5599637641617,6306.396587890049,306.87544900409193,872.6675029120422,1056.9225027960701
0.047,1817.8189488537123,6290.063346677227,304.91643547404544,870.9736683104185,1055.5768714718765
0.048,1810.077933943262,6273.730105464403,302.9574219439987,869.2798337087945,1054.2312401476827
0.049,1802.3369190328124,6257.396864251581,300.99840841395223,867.5859991071707,1052.8856088234893
0.05,1794.5959041223632,6241.063623038759,299.0393948839058,865.892164505547,1051.5399774992954
0.051000000000000004,1786.8548892119136,6224.730381825937,297.08038135385937,864.1983299039232,1050.1943461751018
