StartYear,SimName,EquivalentPeriod,WaterYear,Flow_mean,DebtEnergy,DebtDiscountedEnergy,DebtEnd,EquityEnd,EquityEnergy,EquityDiscountedEnergy,DebtAvEnergy,EquityAvEnergy,DebtAvFlow,EquityAvFlow,DebtEqExceed,EquityEqExceed
1924,1924,101,1941,649.122288973811,14843.198628055889,5776.958973188322,1941,1948,20390.234535663472,6087.704009530863,824.622146003105,815.6093814265389,924.3111717701993,932.1756471481299,0.653,0.649
1925,1925,100,1942,668.2550649176583,14824.139119765958,5766.806111265699,1942,1949,20317.085109100004,6075.379755540999,823.5632844314421,812.6834043640001,906.3632853273989,947.4395541557159,0.657,0.636
1926,1926,99,1943,926.7668621405968,14902.268030983907,5828.002470360367,1943,1950,20395.091676970995,6133.830559186965,827.9037794991059,815.8036670788398,896.125779772239,951.9295050121349,0.66,0.63
1927,1927,98,1944,996.3009778234095,14840.21951570064,5789.511533351436,1944,1951,20343.518819221597,6095.4237163804655,824.4566397611467,813.7407527688639,896.4606879108086,975.9995235608055,0.659,0.5870000000000001
1928,1928,97,1945,679.8724155823094,14884.444219583553,5787.961469379739,1945,1952,20331.13801899454,6087.265536598176,826.9135677546418,813.2455207597817,887.1714325237847,1001.5305578921209,0.662,0.551
1929,1929,96,1946,1234.1485636994735,14968.179444451896,5874.243226835767,1946,1953,20480.93023285357,6172.571637927627,831.565524691772,819.2372093141428,924.3990437778734,1023.0742332579059,0.653,0.531
1930,1930,95,1947,1705.136300816561,14853.654313223216,5823.947844558387,1947,1954,20522.479380509372,6128.604392168141,825.2030174012898,820.8991752203749,979.1681442664885,1045.7121660170162,0.584,0.525
1931,1931,94,1948,456.3099018596503,14683.897875272793,5827.249788538188,1948,1955,20568.01615035274,6148.091242978322,815.7721041818218,822.7206460141097,952.1915127971808,1078.4447204006358,0.629,0.484
1932,1932,93,1949,1372.9146960777148,14537.195427730567,5735.028221173547,1949,1956,20442.221046254235,6060.969482928272,807.6219682072538,817.6888418501694,969.3482351286012,1096.7243769285913,0.595,0.462
1933,1933,92,1950,1223.2907335439525,14619.112075786059,5795.943120102571,1950,1957,20411.53508795122,6117.82164660099,812.1728930992255,816.4614035180488,1004.943593947767,1166.7525544292241,0.5489999999999999,0.38799999999999996
1934,1934,91,1951,1592.023095045921,14642.399772053734,5839.706377440055,1951,1958,20563.73552288359,6167.606578094087,813.4666540029853,822.5494209153436,1025.769656658779,1162.1863982792138,0.531,0.389
1935,1935,90,1952,1485.3548708316225,14596.210731214005,5801.545946713649,1952,1959,20521.13983155469,6131.521881952243,810.9005961785558,820.8455932621877,1055.4251440213857,1169.4656082940749,0.522,0.387
1936,1936,89,1953,1102.643445270501,14679.123018256698,5819.091864207891,1953,1960,20508.684607739113,6143.222923652627,815.5068343475943,820.3473843095645,1071.7597844924517,1196.0366995782292,0.502,0.381
1937,1937,88,1954,1285.2408109992466,14760.678877127373,5821.034836195096,1954,1961,20561.991386030895,6139.874227279465,820.0377153959652,822.4796554412358,1076.674904071221,1217.2834662145087,0.488,0.337
1938,1938,87,1955,1760.2031278976776,14774.118008640056,5806.9938570821005,1955,1962,20537.464747932983,6122.812962344109,820.7843338133365,821.4985899173194,1128.475788754805,1268.2844070424067,0.416,0.308
1939,1939,86,1956,1521.0851073110366,14724.171570044706,5800.902698756429,1956,1963,20730.350300440125,6127.608586975405,818.0095316691503,829.214012017605,1164.1902957889847,1273.842811788908,0.389,0.307
1940,1940,85,1957,2333.278712314792,14567.972937938515,5716.895497404843,1957,1964,20728.18100533171,6055.497945798319,809.3318298854731,829.1272402132684,1219.314781323638,1258.8850281975235,0.33399999999999996,0.31
1941,1941,84,1958,1103.0000624974487,14635.5236650706,5663.433777919025,1958,1965,20716.984923380398,5995.8361949032815,813.0846480594778,828.6793969352159,1227.4970576446326,1269.0252373884114,0.322,0.308
1942,1942,83,1959,1133.5363486762199,14692.697319446512,5713.901120014634,1959,1966,20843.90687110266,6051.157295447294,816.2609621914729,833.7562748441064,1254.408949850322,1282.0501104615798,0.311,0.306
1943,1943,82,1960,1472.8971988951753,14685.551466912932,5715.5439799662245,1960,1967,20911.227181944076,6059.510848155922,815.8639703840518,836.449087277763,1299.1112906268509,1329.108246987301,0.294,0.259
1944,1944,81,1961,1727.9378244883908,14724.504145376202,5682.822483652187,1961,1968,20849.739784853773,6023.58932365254,818.0280080764556,833.9895913941509,1343.6207885350616,1377.9698191354876,0.228,0.217
1945,1945,80,1962,2102.8107242906126,14744.54347685086,5695.772513859618,1962,1969,21033.413996301693,6046.052655353042,819.1413042694923,841.3365598520677,1405.0935522276839,1399.6494123589207,0.214,0.214
1946,1946,79,1963,1017.1840993583368,14891.702544298138,5642.978074332243,1963,1970,21117.280992390053,5984.5377129975595,827.3168080165632,844.6912396956021,1423.8330902152409,1415.4844069011483,0.21100000000000002,0.212
1947,1947,78,1964,967.0933829064204,14947.63677991632,5616.414552376145,1964,1971,21220.372186993136,5959.432895600127,830.4242655509066,848.8148874797255,1408.9966912822933,1397.290422638295,0.213,0.215
1948,1948,77,1965,1209.2243184917465,15047.63941946413,5668.441603798491,1965,1972,21266.865941139757,6011.370622364925,835.9799677480073,850.6746376455902,1381.4460255975814,1352.2472361108134,0.217,0.225
1949,1949,76,1966,974.7441158030223,15296.870963495077,5866.797577538384,1966,1973,21546.74693053964,6210.748639175076,849.8261646386154,861.8698772215856,1410.2479263722132,1378.6346529808848,0.213,0.217
