StartYear,SimName,EquivalentPeriod,WaterYear,Flow_mean,DebtEnergy,DebtDiscountedEnergy,DebtEnd,EquityEnd,EquityEnergy,EquityDiscountedEnergy,DebtAvEnergy,EquityAvEnergy,DebtAvFlow,EquityAvFlow,DebtEqExceed,EquityEqExceed
1950,1950,75,1967,1844.7084780606835,15418.281192610031,5960.498146396384,1967,1974,21652.931057058577,6304.7123864835485,856.571177367224,866.1172422823431,1436.4586920379336,1387.521932910732,0.21,0.21600000000000003
1951,1951,74,1968,2148.306165845259,15356.91613886669,5955.326986811456,1968,1975,21650.279539444764,6307.7629028531155,853.1620077148161,866.0111815777906,1487.8484382768952,1400.9967009523689,0.173,0.214
1952,1952,73,1969,1538.2908084092394,15530.114692780739,6012.311602650905,1969,1976,21805.760543812565,6360.186315383539,862.78414959893,872.2304217525026,1484.8633112415237,1382.5956381027543,0.17500000000000002,0.217
1953,1953,72,1970,1075.747279138002,15670.587192979066,6066.2128843144465,1970,1977,21879.427045499015,6408.553932114955,870.5881773877259,875.1770818199606,1462.1073339252116,1398.4474981120882,0.204,0.215
1954,1954,71,1971,779.2989571281469,15707.621398591462,6031.5511487457225,1971,1978,21991.518312638986,6373.708074858694,872.6456332550812,879.6607325055594,1444.1437512506363,1413.5081121248018,0.209,0.213
1955,1955,70,1972,579.0566376295221,15598.040873853603,5961.390908282314,1972,1979,22079.52791938652,6315.2043273251265,866.5578263252002,883.1811167754609,1404.9112971745406,1414.2034136102925,0.214,0.213
1956,1956,69,1973,1115.9953236114247,15662.628655459692,5958.9502156207245,1973,1980,22147.874930987084,6312.701536920151,870.1460364144273,885.9149972394833,1369.121974714193,1389.8197557545698,0.21899999999999997,0.21600000000000003
1957,1957,68,1974,1595.0966943239011,15747.905438534906,6041.015336145565,1974,1981,22163.977476618267,6395.498221557391,874.8836354741615,886.5590990647307,1373.233729548241,1352.491493325067,0.218,0.225
1958,1958,67,1975,1560.1599345848733,15857.856527279604,6182.870759743406,1975,1982,22272.47540673658,6541.608845445927,880.9920292933114,890.8990162694631,1330.2826863410235,1283.3813776947445,0.258,0.305
1959,1959,66,1976,1131.9965238055631,15884.424792982702,6124.090873055914,1976,1983,22133.586693273268,6475.079379000943,882.4680440545945,885.3434677309307,1331.8936008581409,1265.3398964766263,0.256,0.309
1960,1960,65,1977,1881.6513710649704,15954.497945158326,6184.418686691906,1977,1984,22158.57504541359,6534.973598183512,886.3609969532404,886.3430018165435,1373.4555465464048,1249.0750149748972,0.218,0.313
1961,1961,64,1978,1479.158795588341,16161.956723156562,6284.135202964885,1978,1985,22127.025056212606,6620.4137284617,897.8864846198089,885.0810022485042,1373.8034130293586,1220.0954679976244,0.218,0.332
1962,1962,63,1979,1302.6233481365095,16278.215410482988,6302.71025147819,1979,1986,22147.33193145898,6628.050263896807,904.3453005823882,885.8932772583591,1350.1748310098099,1182.6680224530796,0.226,0.384
1963,1963,62,1980,1150.6116815046112,16384.52819169415,6395.47742512884,1980,1987,22165.37558262853,6713.051380279189,910.2515662052306,886.6150233051412,1297.2748841883651,1129.4754973148536,0.29600000000000004,0.415
1964,1964,61,1981,587.8785465734697,16157.798746222847,6257.336759958414,1981,1988,21989.227208684653,6578.410765109022,897.6554859012692,879.5690883473861,1273.424575700317,1141.8674614457589,0.307,0.397
1965,1965,60,1982,605.5258215567313,16112.26733934338,6254.371623526822,1982,1989,21850.720019527947,6571.576490712083,895.1259632968545,874.0288007811179,1253.3374889586676,1124.5521144326217,0.312,0.419
1966,1966,59,1983,651.9630320444935,16052.125434963471,6281.50046034743,1983,1990,21783.171912663318,6599.842271130925,891.7847463868595,871.3268765065327,1222.3785286004868,1107.003294828663,0.32799999999999996,0.441
1967,1967,58,1984,726.9143111329918,16007.365493757443,6281.039629707355,1984,1991,21575.00154817884,6592.531760846899,889.2980829865246,863.0000619271536,1208.6102061188185,1087.1669527817548,0.371,0.472
1968,1968,57,1985,748.4085244633537,15901.34934118146,6287.403097922283,1985,1992,21469.360671444047,6600.982637635706,883.4082967323034,858.7744268577619,1147.7046531411888,1048.2906749331462,0.39399999999999996,0.524
1969,1969,56,1986,792.2516858747673,16022.096291981401,6413.058010344555,1986,1993,21379.910761194416,6713.867519747853,890.1164606656334,855.1964304477766,1072.3682931428282,985.3190842128009,0.501,0.58
1970,1970,55,1987,772.9975958349637,15876.505063177696,6325.994748675582,1987,1994,20960.185864492654,6613.984449461785,882.0280590654276,838.4074345797062,1029.8520035553688,940.173633893536,0.529,0.643
1971,1971,54,1988,1326.9832026309712,15763.648760592732,6254.917855023555,1988,1995,20498.702278582234,6525.090632627452,875.758264477374,819.9480911432894,1043.8095548605336,911.5297192252474,0.525,0.6559999999999999
1972,1972,53,1989,534.209707577988,15577.984612451133,6188.719523006223,1989,1996,20301.56222108314,6455.626932862863,865.4435895806185,812.0624888433256,1030.1934854410804,902.2113837252925,0.529,0.6579999999999999
1973,1973,52,1990,770.5038283927761,15563.945390987692,6266.84753502689,1990,1997,20283.27675047315,6527.887158147207,864.6636328326496,811.331070018926,1040.8294404834835,922.6611150084317,0.526,0.654
1974,1974,51,1991,478.8355646303223,15325.125581134282,6213.756844929774,1991,1998,20165.083217875355,6478.750511223005,851.3958656185712,806.6033287150142,1005.4316760956442,920.2179257701775,0.5489999999999999,0.654
1975,1975,50,1992,872.8015318454691,15234.710806995507,6227.572786253801,1992,1999,20072.467943631433,6487.5673456606955,846.3728226108615,802.8987177452573,965.3041670690646,890.7200772263791,0.601,0.6609999999999999
1976,1976,49,1993,574.0163978366244,15086.547360616352,6257.199855675175,1993,2000,20048.532410069733,6520.259180464528,838.1415200342418,801.9412964027892,910.5184150274955,876.9668958564205,0.6559999999999999,0.6659999999999999
1977,1977,48,1994,409.65455042761215,14684.540013460839,6141.658938610987,1994,2001,19941.162537456603,6422.002990120608,815.8077785256022,797.6465014982641,870.3883053953871,863.4586393641102,0.6759999999999999,0.6809999999999999
1978,1978,47,1995,359.6494124307904,14289.862426062296,6087.362072295341,1995,2002,19891.302127571966,6393.184793464182,793.8812458923499,795.6520851028786,785.8326410268214,831.0979829637686,0.745,0.705
1979,1979,46,1996,546.3405696292726,14017.665307035622,5908.648343058947,1996,2003,19694.856927832057,6220.2659360387115,778.7591837242012,787.7942771132823,734.0094062513176,824.629500764472,0.79,0.7090000000000001
1980,1980,45,1997,1090.299919708001,13801.789704940238,5717.14244041208,1997,2004,19546.078257823017,6032.337343791132,766.7660947189021,781.8431303129207,722.2136602275117,797.7511676434524,0.8009999999999999,0.726
1981,1981,44,1998,1054.915592655071,13679.836942347967,5588.482175406467,1998,2005,19476.266242168604,5906.366609818334,759.9909412415537,779.0506496867441,716.8972108469816,790.1063117391293,0.8059999999999999,0.741
1982,1982,43,1999,857.6504807289433,13656.395905548072,5587.852805939098,1999,2006,19521.142265656094,5911.262839609478,758.6886614193373,780.8456906262437,731.8845405222858,824.8783499808005,0.7909999999999999,0.7090000000000001
1983,1983,42,2000,1216.330400335904,13633.913530612755,5534.736999689248,2000,2007,19571.751527756365,5861.733534843818,757.4396405895975,782.8700611102546,765.8181282322398,852.644216987719,0.775,0.6900000000000001
1984,1984,41,2001,794.2901114978094,13692.000637166031,5528.481628855376,2001,2008,19598.00792937649,5853.862040850595,760.6667020647795,783.9203171750596,773.7251882018684,886.7172115853973,0.76,0.662
1985,1985,40,2002,1072.6349610564298,13687.225027316692,5466.098128098481,2002,2009,19621.331037859312,5792.651830416543,760.4013904064828,784.8532415143725,792.9318909753928,925.0338018569752,0.736,0.653
1986,1986,39,2003,1317.4467406059266,13729.788594776011,5476.094203783166,2003,2010,19722.93917837858,5806.575790625575,762.7660330431117,788.9175671351431,824.5451252055358,962.3661076430521,0.7090000000000001,0.605
1987,1987,38,2004,630.6650201110161,13676.961736847034,5336.284806048232,2004,2011,19723.27823405051,5668.795573518661,759.831207602613,788.9311293620204,815.5680882186606,979.055725460281,0.7140000000000001,0.584
1988,1988,37,2005,959.4902838965368,13695.418851234223,5256.850620580046,2005,2012,19732.68043390073,5589.486746607755,760.8566028463457,789.3072173560291,825.9287931109704,1001.6043702938648,0.708,0.551
1989,1989,36,2006,1457.1795026152506,13689.713803194287,5154.656709038423,2006,2013,19817.318399980562,5491.838833064217,760.5396557330159,792.6927359992225,833.1619208878747,1002.1278138038585,0.7040000000000001,0.551
1990,1990,35,2007,1299.672496729689,13833.298847571794,5150.275743056648,2007,2014,19954.28428059601,5486.086841196891,768.5166026428774,798.1713712238404,875.6876313963025,1008.6339953926093,0.669,0.547
1991,1991,34,2008,1503.7878969864553,13866.961451676641,5091.910420104043,2008,2015,19952.89797474326,5429.161067482086,770.386747315369,798.1159189897304,916.4256352070624,1018.3275149653937,0.655,0.5329999999999999
1992,1992,33,2009,1684.8290679224328,14053.694983437914,5154.574323121759,2009,2016,20125.289683987437,5491.666676529425,780.7608324132175,805.0115873594975,983.4252742788462,1042.421798201947,0.581,0.526
