ExceedanceRnd,Flow,Exceedance,Volume,Flow_difference,EWRRefExceedance,EWRBandNo,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec
0.0,7594.587472251278,0.003034090909090911,0.65617235760251,130.58834170365154,0.027727272727272687,1.0511363636363635,69.60227272727273,13.278409090909092,16.482954545454547,20.210227272727273,186.75,306.3238636363636,0.041753348367970344,1100.0,6188.263608614911,30.397727272727273,4.721590909090909,8.517045454545455,59.78977272727273,6084.837472251275,100.0,18.0,25.0,80.0,6271.587472251275,1243.0,0.0,275.0,275.0,275.0,275.0,980.6418002742204,990.2988310717207,0.9219672131147546,0.4799999999999999,988.8968638586065,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,7.720128804386178,7.720128804386178,7.720128804386178,7.720128804386178,0.0,0.0,0.0,0.0,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.9799999999999983,0.9799999999999983,0.9799999999999983,0.9799999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5578.797971200319,0.010055737704918008,0.4820081447117065,76.27851048491752,0.08298360655737691,1.3114754098360655,72.47540983606558,13.534426229508197,17.488524590163934,22.714754098360658,191.85901639344263,318.072131147541,0.05709038757941228,1100.0,4160.725840052778,27.524590163934427,4.465573770491804,7.511475409836065,57.28524590163934,4063.9389548068775,100.0,18.0,25.0,80.0,4255.797971200317,1243.0,1.8885245901639345,275.0,275.0,275.0,275.0,978.1948514665809,990.0535953266432,0.921967213114752,0.4799999999999998,988.6516281135291,0.5349347799999973,0.5349347799999973,0.5349347799999973,0.5349347799999973,9.921841866949652,9.921841866949652,9.921841866949652,9.921841866949652,0.3875620814018086,0.3875620814018086,0.3875620814018086,0.3875620814018086,1.1000000000000025,1.1000000000000025,1.1000000000000025,1.1000000000000025,0.9799999999999988,0.9799999999999988,0.9799999999999988,0.9799999999999988,10.477405160372422,10.477405160372422,10.477405160372422,10.477405160372422,41.90962064148969,1005.8308953957529,0.007823558395278225
0.02,4804.243896952829,0.01997289972899727,0.415086672696724,99.54115995765582,0.10842818428184312,1.3875338753387534,69.4390243902439,12.915989159891598,16.230352303523034,20.447154471544714,178.58265582655827,297.61517615176155,0.06199850103407442,1100.0,3406.6287208010676,30.5609756097561,5.084010840108401,8.769647696476964,59.552845528455286,3302.6612411262713,100.0,18.0,25.0,80.0,3481.2438969528284,1243.0,4.0,275.0,275.0,275.0,275.0,977.0027041835752,990.0044203484206,0.9219672131147475,0.4799999999999981,988.6024531353013,0.5349347799999954,0.5349347799999954,0.5349347799999954,0.5349347799999954,11.064814171729,11.064814171729,11.064814171729,11.064814171729,0.8413011919933635,0.8413011919933635,0.8413011919933635,0.8413011919933635,1.1000000000000059,1.1000000000000059,1.1000000000000059,1.1000000000000059,0.9800000000000022,0.9800000000000022,0.9800000000000022,0.9800000000000022,24.619560853748894,24.619560853748894,24.619560853748894,24.619560853748894,98.47824341499557,2363.477841959896,0.020593561580223064
0.03,4307.109950490952,0.02984590163934424,0.3721342997224182,88.15999113306198,0.14629508196721316,1.619672131147541,67.55081967213114,12.944262295081968,16.0327868852459,20.488524590163934,170.9606557377049,287.97704918032787,0.06692656930885732,1100.0,2919.1329013106265,32.44918032786885,5.055737704918033,8.967213114754099,59.511475409836066,2813.1492947532497,100.0,18.0,25.0,80.0,2984.109950490954,1243.0,4.0,275.0,275.0,275.0,275.0,976.1716271108736,990.0,0.921967213114752,0.4799999999999998,988.5980327868842,0.5349347799999973,0.5349347799999973,0.5349347799999973,0.5349347799999973,11.891470896012336,11.891470896012336,11.891470896012336,11.891470896012336,0.8596939190593628,0.8596939190593628,0.8596939190593628,0.8596939190593628,1.1000000000000025,1.1000000000000025,1.1000000000000025,1.1000000000000025,0.9799999999999988,0.9799999999999988,0.9799999999999988,0.9799999999999988,27.029907956345934,27.029907956345934,27.029907956345934,27.029907956345934,108.11963182538373,2594.8711638092063,0.02513688749853158
0.04,3926.9885708000093,0.039949602122015884,0.3392918125171205,57.16806466560085,0.17612732095490713,1.7374005305039788,66.40583554376659,12.904509283819628,15.851458885941645,20.40318302387268,169.12732095490716,284.6923076923077,0.07250834593749701,1100.0,2542.296263107703,33.59416445623342,5.095490716180372,9.148541114058355,59.59681697612732,2434.861249845104,100.0,18.0,25.0,80.0,2603.98857080001,1243.0,4.0,275.0,275.0,275.0,275.0,975.488468155836,990.0,0.921967213114747,0.47999999999999793,988.5980327868796,0.5349347799999952,0.5349347799999952,0.5349347799999952,0.5349347799999952,12.57462985104992,12.57462985104992,12.57462985104992,12.57462985104992,0.8732479619281699,0.8732479619281699,0.8732479619281699,0.8732479619281699,1.1000000000000063,1.1000000000000063,1.1000000000000063,1.1000000000000063,0.9800000000000025,0.9800000000000025,0.9800000000000025,0.9800000000000025,29.0321190194932,29.0321190194932,29.0321190194932,29.0321190194932,116.12847607797276,2787.0834258713453,0.029595491419027346
0.05,3652.3944951317167,0.04986129032258064,0.31556688437938046,65.65648502043545,0.22770967741935438,1.8774193548387097,65.20322580645161,12.996774193548386,15.770967741935484,20.438709677419354,166.33870967741936,280.7483870967742,0.07690942594713239,1100.0,2271.6461080349413,34.79677419354839,5.003225806451613,9.229032258064516,59.55082579485027,2163.0662499820264,100.0,18.0,25.0,79.98953547226962,2329.4049596594464,1243.0,4.0,275.0,275.0,275.0,275.0,974.9664786758483,990.0,0.9219672131147516,0.47999999999999965,988.5980327868838,0.5349347799999971,0.5349347799999971,0.5349347799999971,0.5349347799999971,13.096619331036992,13.096619331036992,13.096619331036992,13.096619331036992,0.882637082285709,0.882637082285709,0.882637082285709,0.882637082285709,1.1000000000000028,1.1000000000000028,1.1000000000000028,1.1000000000000028,0.9799999999999991,0.9799999999999991,0.9799999999999991,0.9799999999999991,30.562322147365084,30.562322147365084,30.562322147365084,30.562322147365084,122.24928858946033,2933.982926147045,0.03350043554821377
0.06,3458.819098793835,0.05971544715447146,0.29884197013578767,43.54178499863842,0.2685907859078592,1.986449864498645,63.8130081300813,13.010840108401084,15.598915989159892,20.352303523035232,163.11924119241192,275.8943089430894,0.0797759147752987,1100.0,2082.92478985075,36.1869918699187,4.989159891598916,9.401084010840108,59.621045083449225,1972.7265089949424,100.0,18.0,25.0,79.97334860648445,2135.845750187355,1243.0,4.0,275.0,275.0,275.0,275.0,974.5838926979592,990.0,0.9219672131147475,0.4799999999999981,988.59803278688,0.5349347799999954,0.5349347799999954,0.5349347799999954,0.5349347799999954,13.479205308926181,13.479205308926181,13.479205308926181,13.479205308926181,0.8890328035496434,0.8890328035496434,0.8890328035496434,0.8890328035496434,1.1000000000000059,1.1000000000000059,1.1000000000000059,1.1000000000000059,0.9800000000000022,0.9800000000000022,0.9800000000000022,0.9800000000000022,31.682050171837002,31.682050171837002,31.682050171837002,31.682050171837002,126.72820068734801,3041.476816496353,0.036646442575596065
0.07,3271.198141487269,0.06995222929936304,0.28263151942450104,72.1147024072129,0.2932802547770704,2.0764331210191083,61.46496815286624,12.570063694267516,14.640127388535031,18.589171974522294,153.14331210191082,260.4076433121019,0.07963208083313429,1100.0,1910.7904981751726,38.53503184713375,5.429936305732485,10.359872611464969,61.233717126646624,1795.2319402841945,100.0,18.0,25.0,79.82288910116891,1948.3752523861053,1243.0,4.0,275.0,275.0,275.0,275.0,974.198150129281,990.0,0.9219672131147513,0.47999999999999954,988.5980327868834,0.534934779999997,0.534934779999997,0.534934779999997,0.534934779999997,13.864947877604994,13.864947877604994,13.864947877604994,13.864947877604994,0.8949889903984496,0.8949889903984496,0.8949889903984496,0.8949889903984496,1.100000000000003,1.100000000000003,1.100000000000003,1.100000000000003,0.9799999999999993,0.9799999999999993,0.9799999999999993,0.9799999999999993,32.807455198813045,32.807455198813045,32.807455198813045,32.807455198813045,131.22982079525218,3149.5156990860532,0.04014008959263402
0.08,3086.658998993949,0.08016797900262489,0.2666873375130765,50.17218116662039,0.3328346456692912,2.3070866141732282,59.643044619422575,12.643044619422572,14.438320209973753,18.58005249343832,147.4041994750656,252.70866141732284,0.08187874601713464,1100.0,1733.9503375766183,40.356955380577425,5.3569553805774275,10.561679790026247,61.26533690956366,1616.4094101158728,100.0,18.0,25.0,79.84538940300197,1763.8136095909388,1243.0,4.0,275.0,275.0,275.0,275.0,973.8055708296286,990.0,0.9219672131147468,0.4799999999999978,988.5980327868793,0.5349347799999951,0.5349347799999951,0.5349347799999951,0.5349347799999951,14.257527177255671,14.257527177255671,14.257527177255671,14.257527177255671,0.9006210355442928,0.9006210355442928,0.9006210355442928,0.9006210355442928,1.1000000000000065,1.1000000000000065,1.1000000000000065,1.1000000000000065,0.9800000000000026,0.9800000000000026,0.9800000000000026,0.9800000000000026,33.9483206922979,33.9483206922979,33.9483206922979,33.9483206922979,135.7932827691916,3259.0387864605846,0.04400761545266568
0.09,2956.9313933017547,0.08997938144329902,0.2554788723812709,47.71426165209768,0.35130584192439884,2.357388316151203,59.16838487972509,12.652920962199312,14.38831615120275,18.604810996563575,148.23367697594503,253.04810996563575,0.08560044919912355,1100.0,1603.883283336108,40.83161512027491,5.347079037800687,10.61168384879725,60.893332465124985,1486.1995728641105,100.0,18.0,25.0,79.49814346168857,1634.4332498400547,1243.0,4.0,275.0,275.0,275.0,275.0,973.520544849884,990.0,0.9219672131147533,0.4800000000000003,988.5980327868854,0.5349347799999978,0.5349347799999978,0.5349347799999978,0.5349347799999978,14.54255315700153,14.54255315700153,14.54255315700153,14.54255315700153,0.9044179607689821,0.9044179607689821,0.9044179607689821,0.9044179607689821,1.1000000000000014,1.1000000000000014,1.1000000000000014,1.1000000000000014,0.9799999999999979,0.9799999999999979,0.9799999999999979,0.9799999999999979,34.772806888573136,34.772806888573136,34.772806888573136,34.772806888573136,139.09122755429254,3338.189461303014,0.047047429450263044
