,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.0,3452.248381930785,4501.386000873192,3313.0406406455268,2261.108087620956,1589.152359062425,2187.823512835168,3355.9174512398436,3803.114617748527,1617.3520421001313,5588.707650475971,3278.6645629042023,2496.800686844093,3600.306705040052,3227.9047484993603,2873.0524012848505,5259.545195770601,3355.9174512398436,2187.823512835168,1707.8301963432584,2542.9744128795624,3886.053218431513,1589.152359062425,4629.081161917657,6170.049530809099,905.4211927358452,5186.55444773476,4401.902674556776,6170.049530809099,5886.181288951835,3811.676948218156,3803.114617748527,5672.879600260333,9153.793636168486,9912.101075056224,4432.218100140775,4629.081161917657,6081.317073546183,5569.845470794792,7115.411678283417,2450.1297002835204,2742.499149867776,5396.328800163887,3452.248381930785,5513.419393582916,8539.833006270135,4873.665761819121,3139.3228726318957,1881.0436962338129,1208.137555230546,2840.311133494523,5415.424041152379,5434.01921081911,2831.488197054909,6347.584761383252,5326.301133333888,3067.825784637742,3452.248381930785,1436.9972565708524,1117.0362502238706,1807.794012387604,1952.5344676593652,3049.547329305057,2076.7821263719575,2467.4434971899177,3811.676948218156,1027.8009259147987,2293.9632006513275,905.4211927358452,3573.2680912123824,1839.4149794968628,1231.9889272331854,819.2739407352476,1399.6225280663384,3524.628422363977,3420.728127398308,3411.254881154899,3676.5809233659206,2029.000290301854,3846.3561435461793,4338.666842200586,1337.006975956191,2684.4461330713057,4543.004982908213,3367.2754716645045,5796.211608335895,5149.143297912559,4355.928308169298,3544.1893469576416,3614.802471283304,3574.946118586839,1460.2532901744794,2975.5243947206422,3889.991232059012
0.01,3441.0052160059477,4444.488798006662,3210.822806441037,2261.108087620956,1563.480637334769,2155.2089572641244,3313.0406406455268,3773.148259641381,1589.152359062425,5438.818601453855,3060.5627392998954,2491.031377108847,3573.2680912123824,3116.1953250245115,2799.947918298463,5151.821332738694,3355.917451239843,2169.222343577076,1707.8301963432584,2542.9744128795624,3836.1507611598936,1577.0961886561033,4594.912800663202,6029.910792976196,896.7433027898078,5134.097674362269,4322.289656088221,6125.01419238999,5781.433961145933,3783.9361485599543,3709.9735875213873,5668.636824632636,8993.010958632958,9912.101075056224,4375.292297804728,4594.912800663202,5979.07966447025,5551.009983023717,7094.401865543926,2395.739198274402,2697.0639055583683,5332.978411544405,3441.0052160059477,5396.513199664965,8449.512081776098,4838.446655269836,3128.5854033398564,1881.0436962338126,1208.137555230546,2834.6644541731703,5396.855655881256,5320.754344863721,2831.488197054909,6315.07956829142,5284.667168436023,3038.4475852288224,3441.0052160059477,1404.8509738289029,1096.4988223473633,1801.689870916998,1921.651232388288,3020.841272673107,2067.468969295266,2415.359141439867,3796.0895629464026,1026.10886644951,2276.101843596241,891.8619896951615,3537.052200710891,1832.2961330880007,1222.1156885851742,819.2739407352476,1399.6225280663384,3503.4093787125275,3386.5184277286744,3399.8008893104297,3615.9257630711672,2011.4414293479254,3839.3067156503603,4284.908210125755,1328.7090708992664,2677.3623851115617,4525.309127544389,3275.623165175422,5741.625809628689,5110.454411539905,4355.928308169298,3526.0922814518904,3580.5257001152604,3539.4071674781617,1460.2532901744794,2975.5243947206422,3857.302531342109
0.02,3343.9119442734336,4385.141126032038,3103.529575335537,2249.359417997048,1544.9070997436777,2094.9795569278263,3244.545456358968,3670.338943913297,1523.864286155022,5299.444588684516,2992.865026225454,2442.100467543321,3494.0710531890204,3080.145690401829,2772.968921433683,5046.524540293313,3205.6117302593284,2139.216866369918,1707.8301963432582,2496.800686844093,3786.820850826135,1551.1556592265113,4511.313065392701,5913.101638183296,885.1094475277025,4863.80441198532,4221.179806898674,6011.533640388219,5573.091416385776,3669.2702762959952,3613.5252605754736,5625.187015868059,8683.451072149299,9803.180200494171,4146.7053376323265,4511.386381512935,5965.180906116669,5452.641164881446,6871.062280614712,2378.5318113603125,2697.0639055583683,5262.690733136824,3343.9119442734336,5362.157419137331,8385.651865648273,4812.525771225113,3080.145690401829,1860.3149207985957,1195.949655539058,2797.0405632069323,5373.7400936478425,5266.939319730429,2815.0624943082885,6288.171642755171,5194.639713803634,3028.9819417718345,3441.0052160059477,1384.7900618070792,1096.4988223473633,1783.4177282502415,1916.5413979392097,2895.457390346268,2037.9589244681833,2395.739198274402,3734.2590342319786,1024.4772685473654,2266.0164419409257,876.9389119074414,3488.8913647018317,1825.435539291889,1214.2031495934334,817.7246825595828,1399.6225280663384,3468.547245265185,3367.2754716645045,3339.058884698025,3581.4289733095,2011.4414293479254,3806.04429234309,4152.589619637387,1316.6588218214915,2652.2586767435164,4504.130740360406,3184.610483726229,5687.283313593033,5038.131581633158,4305.723318736072,3496.298114625938,3539.8833753417457,3508.0247688191175,1448.5764992307227,2971.6844948516477,3825.6142089945247
0.03,3313.0406406455268,4355.316527651786,3006.520556421516,2217.372657831301,1511.0711996298642,2043.7230392147426,3187.8367936591562,3639.447141738064,1511.0711996298642,5068.3680677201355,2942.868341840209,2395.739198274402,3443.09046070204,2966.7799371341794,2742.499149867776,4877.462662769754,3025.5856260914043,2102.0563354773317,1707.8301963432584,2496.800686844093,3641.9184859120824,1512.492653688215,4420.521441325049,5886.181288951835,885.1094475277025,4688.279625734584,4113.359971468979,5887.142075638327,5349.009650564554,3530.6972966802564,3537.052200710891,5551.951757412271,8188.100000532087,9543.503591105942,4027.8188361815305,4336.075193196632,5887.718547650221,5399.8287402762835,6756.0261598526,2327.7504375070976,2672.146156032292,4973.667302862942,3172.3986600964045,5279.498588215081,8184.531580283127,4778.927069579377,3033.8369223048476,1837.0007444398739,1186.6620966242278,2749.2151184112568,5344.849128363103,5136.708577901189,2782.206511497961,6228.993129711709,4990.148317315043,3005.092876463774,3318.5445563133585,1355.589210120566,1086.4244972913411,1767.625484109115,1916.5413979392097,2745.67573879819,2020.5242646949423,2312.1466426834236,3692.5745304456473,1022.7291742398579,2261.108087620956,876.9389119074414,3384.6710642785606,1784.8794996635816,1200.2475697039056,811.7084247126196,1392.1184694738974,3411.254881154899,3292.082039736304,3114.353481759748,3527.7912293760605,1976.5126472205086,3698.9878776988803,4066.5083586808723,1315.8536331311834,2629.5200734083132,4493.143066687026,3156.889384936383,5586.851352949909,5019.068675811527,4269.187465060236,3466.2951096355287,3528.8108769008727,3484.5057523128044,1438.767729379204,2962.7247284906607,3750.8665792025845
0.04,3228.5081824164595,4305.170852711009,2867.1577761623344,2217.372657831301,1466.3705361774826,1958.7472617265494,3116.989106504333,3600.3067050400514,1474.5028814022708,4838.446655269836,2873.0524012848505,2395.739198274402,3353.5474245542805,2769.035642807207,2742.499149867776,4767.053140282477,2945.6232963655057,2071.56675840901,1707.8301963432584,2457.055219046079,3496.366435549196,1511.0711996298642,4247.261155081918,5792.10382783266,885.1094475277025,4555.852762994059,3931.8280449344325,5695.6076466921495,5280.768611127103,3468.4588594653933,3476.3538360544953,5396.328800163887,7569.547849830864,9270.727831303786,3870.1444569105597,4168.560395262737,5828.691954714322,5367.500183955448,6666.170316733907,2327.3604518173347,2671.4046921253907,4528.1804520731,3048.0269932165284,5241.107544094253,7935.391549867466,4693.120249146314,3004.2640135053875,1773.9423817655652,1186.6620966242278,2704.817472781681,5223.29812507259,4991.167167803328,2745.4541760269076,6070.4411887757315,4737.702428289253,2961.1710014179444,3204.3473749055547,1318.3955693431396,1086.4244972913411,1734.088630986104,1890.3225819715672,2589.3874639285436,1983.4436828176406,2266.0164419409257,3593.2430874570928,993.0860216550266,2169.222343577076,876.9389119074414,3179.553498786958,1755.5250815908548,1190.4620407366021,801.0942862200427,1383.5781363808978,3367.0356041389746,3187.676891472649,2992.122135665866,3497.3962991771377,1946.8093326548642,3575.8717911008516,4029.095460152257,1310.5943019673978,2585.582394250907,4476.614167023422,3138.65846664605,5473.42431061851,4984.095160754959,4235.0665685764025,3384.8672354606615,3526.468702360211,3462.4030744055262,1430.1241682288933,2962.724728490661,3572.4129904532165
0.05,3169.0574299794807,4100.091074210215,2749.600198183265,2217.372657831301,1414.1459885179058,1835.0781726386056,3017.5258208395635,3494.316987013325,1464.0321159519617,4477.320485667775,2821.63185994352,2363.8308777702473,3246.394423898925,2678.819331194406,2588.6274992710573,4514.9987710237465,2866.504147726785,1993.8613398270506,1701.8066177379555,2420.28618741504,3449.9997487458177,1466.3705361774828,4107.042582761772,5743.944340473159,885.1094475277025,4349.393506090825,3688.040211025122,5559.353187937599,5023.084103338325,3417.233058807453,3417.233058807453,5295.721471946458,6793.305180424708,9214.52975810472,3528.9150476785526,4049.1641708699062,5652.650989801304,5278.010080717362,6463.115700416343,2301.531632213161,2660.503498968163,4213.555390900834,2919.8388012857877,5181.971688724867,7744.708664750263,4594.912800663202,2940.6017537293715,1767.625484109115,1185.8794016980723,2628.885610805438,5175.867335428278,4823.217051302005,2704.8174727816813,5936.205097083823,4504.605878169477,2942.868341840209,3112.623308365314,1291.2130338573666,1086.4244972913411,1716.4923972873114,1860.314920798596,2423.365591149523,1963.8304568724275,2209.9853715822674,3521.7494853449557,975.7079891951814,2139.216866369918,876.9389119074414,3017.5258208395635,1723.7479452877078,1163.6292416268413,794.2548359930772,1363.8743099837525,3238.9613123491745,3070.1692055204653,2913.8738883804763,3423.2217482338465,1926.5749526116351,3496.513232707719,3983.814774172284,1309.6914449174558,2579.320643131149,4319.848641936738,3132.1839896452393,5413.419023107419,4876.100913387942,4167.305939083106,3308.376471919609,3509.050411065027,3454.0466227397933,1406.2236807196314,2946.114989882989,3522.3083244458862
0.06,3148.2868262135407,4027.02207729478,2600.4923567261917,2217.372657831301,1399.6225280663384,1754.882532225838,3004.2640135053875,3443.6117718760634,1414.1459885179058,4187.908625994895,2700.0974004545496,2363.8308777702473,3154.295015609612,2398.1886027443516,2569.016086384652,4352.723084314373,2785.5029674332877,1922.3002890944333,1677.7123033167418,2363.8308777702473,3298.8944749459934,1456.549171230294,4076.122635680716,5674.770964455424,885.1094475277025,4070.0188016012307,3457.995623446772,5311.487120440879,4856.231795359741,3291.0250250379027,3313.0406406455268,5114.9019471125,6048.711341915305,9041.196566777067,3445.175705398133,3970.8114329461437,5418.510957439412,5171.15637746152,6330.927230044265,2293.9632006513275,2616.8987263392482,3965.1544929526153,2729.909026648984,5114.9019471125,7547.963613983622,4550.505809875474,2903.4658492071662,1746.521906410986,1172.2200796855432,2546.9419423443387,5014.454466572576,4621.065923737555,2649.7447524959,5799.594755842392,4146.993236399239,2916.3825029631776,3080.145690401829,1269.7472452468235,1083.4466116281415,1707.8301963432582,1811.7143516996666,2313.0991862932246,1904.4375649151161,2155.2089572641244,3473.0964133719717,971.4321659369264,2112.7014560687376,863.4849952911484,2852.2131677504326,1693.819307089167,1133.786866135701,779.8040257735304,1341.3621257487196,3186.3204805647465,2964.772675087458,2783.1160765078553,3306.5817578358683,1919.306231287711,3375.827896581912,3969.2766487977974,1309.6914449174558,2573.6580007328594,4137.752619661583,3108.917296196917,5338.134971316671,4815.780735211873,4099.11379812821,3189.2443482653157,3498.793988605936,3441.8353647581307,1390.4810800453631,2914.9067644257784,3467.67410858759
0.07,3117.782887984155,3856.6356997598464,2478.093788021893,2191.1511086816627,1375.114511693851,1701.1049695012953,2937.428530374199,3238.3051909116166,1396.020579941967,3998.1681483318835,2616.8987263392482,2363.8308777702473,3112.623308365314,2261.108087620956,2542.9744128795624,4154.0717478815695,2742.499149867776,1852.7869797607511,1659.7232892169968,2335.595479411102,3155.457642062559,1436.9972565708524,4036.981563379165,5599.774362549735,881.1875904299775,3970.489657487633,3293.240993245012,5033.82586370236,4711.813390409839,3154.784842452641,3219.7054163113658,4898.145211594627,5551.009983023717,8877.588710795135,3254.29985198988,3818.4209513560945,5225.312479586723,4922.454826583908,6288.171642755171,2293.9632006513275,2575.550311723379,3788.730765857098,2604.897799852239,5008.694156859004,7359.323269597417,4481.979528646465,2802.8093610937553,1720.8472371479143,1169.56249633036,2530.539197301275,4706.273642207707,4501.386000873192,2645.619049709331,5668.636824632636,3980.6065458149474,2855.044704000172,3067.825784637742,1208.4017480825974,1082.8793953113418,1675.066497259475,1792.9192424369555,2203.189068233158,1866.2359978618356,2094.7380107984795,3468.711238512354,949.8276491456368,2072.311810975146,858.5276662376176,2777.084124606158,1614.721289331177,1117.111677331832,768.4460718744957,1329.6747722451144,3185.545388617374,2917.857469395548,2750.5737563981866,3282.1049889077085,1919.306231287711,3197.8584873292402,3950.41596969811,1284.6990994412633,2556.1657119786933,3958.240829619518,3096.2208421802447,5120.502126242485,4740.9813233936575,4058.579864691541,3120.2327712254773,3461.555241676524,3420.728127398308,1359.127799899888,2896.6072356138507,3310.3590614361387
0.08,3031.075256682936,3683.0094730762185,2395.739198274402,2187.823512835168,1309.448223104528,1609.5195834351925,2868.0646967772573,3164.903309226293,1383.5781363808978,3811.676948218156,2561.687021041264,2333.6002228535417,3078.6673017101384,2213.826760431765,2496.800686844093,4008.152627511588,2661.8637446093007,1747.3144226594513,1659.7232892169968,2310.3827547648234,3031.075256682936,1399.6225280663384,3897.0570834786636,5566.078373240577,842.4665959848152,3886.053218431513,3117.4575904877333,4654.826988670138,4528.409193671979,3073.0291602743823,3108.7259942096957,4701.918721391626,4985.153950582936,8713.475674563446,2996.896532905566,3656.332496138649,4965.344433702578,4685.510192210626,6181.339215242344,2293.9632006513275,2542.974412879562,3485.63689740188,2511.112807769943,4843.8369200159805,7173.539328294349,4396.001123727688,2714.6785555541674,1690.5979063346822,1141.726989184771,2496.800686844093,4468.692827953561,4484.506883904361,2645.619049709331,5573.812737628216,3916.3431435045386,2829.1560779778265,3065.6323699978198,1186.1924796685346,1082.8793953113418,1628.5949687071848,1751.5174261192885,2110.5458426363066,1832.2961330880007,2016.7069068506494,3441.0052160059477,946.2974635203335,2004.1930578689712,847.0875422650073,2667.743943301382,1556.3421301104843,1085.658439192479,751.6655881559767,1297.4934435018629,3171.125614747709,2851.2465427955453,2708.9017634377174,3243.067894162267,1900.4387559422485,3089.094281804242,3936.514205791712,1272.9991087750043,2526.9530903229474,3841.790362020018,3056.460778906605,4851.343858281206,4694.673870859515,4029.5862567757163,3035.3458070478323,3385.276167629798,3411.254881154899,1359.127799899888,2839.5002195930097,3135.2739908416406
0.09,3004.264013505388,3639.447141738064,2395.739198274402,2187.823512835168,1251.7604145757655,1533.5626658772494,2744.1109823182114,2981.042196511492,1321.7610098744722,3601.0316991580435,2450.1297002835204,2296.4261337683524,3027.730726264775,2067.468969295266,2395.739198274402,3822.833388750162,2395.739198274402,1642.5192850688188,1659.7232892169968,2293.9632006513275,2895.457390346268,1392.1184694738974,3845.745055858216,5396.328800163887,822.9746512084051,3886.053218431513,3004.264013505388,4355.014168554077,4403.667662723446,2925.47098959484,3008.2425557056404,4542.047335439719,4477.413677989054,8545.267345606593,2883.0475483990404,3489.3983105272346,4685.510192210626,4534.482933131747,6051.816649689675,2267.5292521892234,2507.882381092606,3297.205256104757,2394.080222593345,4733.833022403935,6938.006940416029,4191.612030819896,2651.807603889186,1659.7232892169968,1132.2744617454025,2472.3590160354447,4210.422385072767,4462.335028912899,2635.179144190948,5481.400902704988,3809.7480623829815,2774.198117657137,3049.547329305057,1155.0774646343784,1082.8793953113418,1589.152359062425,1701.58342999571,2007.9472125634747,1801.689870916998,1921.9403583972344,3422.9383765350917,941.1240560143013,1967.9006041759333,843.5265543863715,2545.728524846909,1502.9010757816022,1060.7868810364816,739.6475434553279,1292.1026958232642,3108.7464955955406,2801.959149720212,2534.45808991874,3198.1045785224574,1843.252806803045,2913.707829203492,3931.9148852889616,1271.2374763330565,2505.2054996718125,3641.49880294254,3032.1893367725925,4567.2758374091945,4553.955527026286,4014.57152931638,2942.878212708899,3238.631480811776,3390.613276243302,1359.127799899888,2804.169622316502,3036.962649840444
