,Energy
0.0,1045.1902149303567
0.05,984.197409415043
0.1,947.6051557003057
0.15000000000000002,927.9759368409805
0.2,917.7568827843166
0.25,906.2478602079332
0.30000000000000004,892.0339919122283
0.35000000000000003,881.7563622263033
0.4,875.6631795433439
0.45,869.4110073169817
0.5,862.3542485669103
0.55,857.1512387124321
0.6000000000000001,848.7948895749981
0.65,842.1520404156944
0.7000000000000001,828.3988807469539
0.75,815.5743486564639
0.8,809.6186206237912
0.8500000000000001,790.0070609374262
0.9,779.1478918365758
0.9500000000000001,737.0566656267181
1.0,504.07501125725406
