WaterWeek,Flow,Flow_difference,Flow_difference_abs,Flow_difference_pct,Flow_difference_abs_pct,Flow_P50,Flow_P25,Flow_P75,Flow_P90,Flow_P10
1,247.42456696820287,-7.0130100619817055,7.611871089509047,-0.028344032882082256,0.030764411080033402,242.0025829205305,282.6948141821514,206.9791967565995,185.2738667832605,332.6748141002422
2,239.18411603987707,-8.24045092832561,9.995365130940323,-0.0344523334774946,0.0417894185300912,230.68644511044542,270.7625589770338,199.76795661515425,175.84918662013382,321.0524649648743
3,233.3408082746803,-5.843307765196931,8.346654676859684,-0.025041945334818596,0.03577023127062415,222.26726554304096,269.1588938341972,196.05963252615788,168.46565173000516,301.44431796886556
4,234.7827329401344,1.4419246654541755,8.568754142029464,0.0061415277324582546,0.03649652610617814,224.61357937168583,266.8996638088767,193.43821910592447,172.34916577009741,312.2892160115357
5,240.94961460847608,6.166881668341706,9.38380094034312,0.025594071517243955,0.03894507553204037,226.99857417422805,274.8321852884464,198.019266531164,172.17136577513983,324.68662571907595
6,251.8050658653325,10.855451256856474,12.827134827912264,0.0431105356024174,0.050940733792751915,238.8192008718142,286.58466347111147,204.06416856783326,178.50149605146746,339.1049756604224
7,269.2508475452343,17.445781679901685,17.957185148691543,0.06479378556819876,0.06669314251898399,258.79765200874493,303.3600518018074,217.3788124209662,191.90216469557092,372.39303073211664
8,292.93581342081717,23.68496587558279,23.790173375524944,0.08085377338809077,0.08121292203131596,284.6019576213087,330.7997558992979,234.29458317283414,204.032192568043,397.8644939792884
9,326.4430751350822,33.50726171426515,33.50726171426515,0.10264350591722565,0.10264350591722565,310.6435349365292,374.38979653842415,263.4624393343673,234.07990826301904,434.9903440993066
10,367.98362431635866,41.540549181276425,42.2208573286109,0.11288695049528526,0.11473569620672378,352.1463945952729,420.28892993659525,292.4942977307079,258.0788314798828,490.3867755033325
11,408.9022658620005,40.91864154564183,41.38276673295423,0.1000694908339084,0.10120454247353182,391.0814635738142,471.9586304085523,323.9468993447049,288.49642410304483,540.3390283611457
12,453.93134387525566,45.02907801325514,45.630899878746355,0.0991979924295105,0.10052379174610628,423.4429756112686,535.0932294422572,371.2418152086363,322.87516574840987,592.6909787026569
13,508.8169056244633,54.885561749207724,56.06583798431825,0.10786898222622439,0.11018863045737345,467.5888341912383,578.4212448961129,402.9023774441872,367.48501534079105,722.5437682607306
14,568.3392974052854,59.52239178082148,59.72726556215512,0.10473038210197136,0.10509086004581403,513.0161131578149,639.4349653983775,449.6074036388068,407.8180323056884,815.0740806835579
15,629.9364730317592,61.59717562647464,64.7035526417102,0.09778315475212868,0.10271440916939584,572.0893599165576,717.3513483360541,492.52107142460096,444.4351480929519,906.6360920135996
16,708.3057616085321,78.36928857677292,81.31096088467027,0.11064330240488178,0.11479641320439997,608.369422974477,820.3701316056997,551.1611079420933,479.63544854787233,1004.9317355147575
17,824.1180798348795,115.81231822634707,116.10917970294682,0.14052879200217433,0.1408890091650586,698.5899433928902,893.0117573143913,599.059568631733,518.0531671722172,1094.2132147572677
18,964.8877315144013,140.76965167952136,140.8626764188094,0.1458922598783404,0.14598866978827058,778.2702215815217,1003.2869758744075,672.0411306739381,549.3883414455729,1440.0353837224163
19,1136.706718575479,171.8189870610781,172.90743688323806,0.15115507303097642,0.1521126197792916,838.5454097265552,1102.3315127874062,721.2160090964622,600.317178773073,2075.11636804129
20,1293.2361474662398,156.52942889076095,157.14799247622952,0.12103700410589334,0.12151531086114487,958.5813759155234,1247.4103285990848,777.3395174282086,666.0095026926537,2294.994848961659
21,1517.9004440336257,224.66429656738558,237.7037069746503,0.1480099023954226,0.15660032771515844,1083.6504830537397,1620.9757006546101,855.5868124012593,724.1681683825626,3149.958868386306
22,1824.2116173212248,306.3111732875992,312.12317851760304,0.1679142761613391,0.17110031289897293,1303.9188473462493,2079.125125187045,936.3427815202874,780.037489363769,3535.5602141227396
23,2203.8379476873397,379.6263303661135,409.4827141487834,0.1722569169681851,0.18580436668607406,1719.5478605197643,2721.3680041429666,1049.6656517470053,818.4207200378321,4255.565979583987
24,2472.569562935711,268.73161524837315,331.0129458326492,0.10868515866113992,0.13387406801191618,2079.9847506521714,2996.0236612642134,1131.9485316271328,895.9209519861394,4510.583931692357
25,2711.0302286635374,238.46066572782513,359.84651795736806,0.08795942708664654,0.13273423296897816,2496.712508038215,3602.059985478997,1225.9380901746856,962.9783496392137,4697.173855861889
26,2943.843194163947,232.81296550040983,382.0052315290444,0.07908470327562024,0.12976412340383983,2835.905230984177,3886.053218431513,1587.4864197176596,1052.6786877713578,5138.979437045844
27,3059.7277037297995,115.88450956585169,277.64596860908125,0.03787412501595772,0.0907420514154353,2968.574692954998,3998.5914596891926,1808.202213561137,1145.3752019519777,5359.898557827212
28,3044.7352963357116,-14.992407394086227,216.05324202371503,-0.0049240429577340735,0.07095961421793597,3015.3942154926885,3759.8441889972432,1896.4731070767932,1252.3785192512764,4885.479346404437
29,2974.8341692627323,-69.90112707297962,243.39733653286666,-0.023497486950778017,0.08181879146332012,2974.6961536427325,3712.8586336960207,2104.5863629501664,1304.6504999698877,4633.109111208574
30,2852.313848612266,-122.52032065046662,239.86284691358344,-0.042954712262844544,0.08409412836188546,2894.1015909975345,3561.476403769458,1989.0171397944498,1296.4713263395777,4368.792469543208
31,2679.7288363377916,-172.5850122744733,218.3263849374129,-0.06440390905757981,0.08147331251462935,2670.0962667505523,3384.1358993355825,1926.7643091132963,1228.1490018692716,4012.935840209761
32,2467.2737693510476,-212.455066986745,237.4488874895132,-0.08610923912291493,0.09623937579977919,2477.005063036731,3057.8439534670133,1808.7099781953984,1208.7793910738949,3628.6129448431375
