start_date,year,month,year_month,water_month,water_year,water_year_name,water_year_month,level_mean,level_min,level_max,outflow,vicfalls_flow,capacity_mw,outflow_generation_max,is_spill,outflow_generation,outflow_spill,power_mw
01/10/1960,1960,10,1960_10,1,1960,1960/61,1960_1,461.0,460.9,461.1,300,254,0,0,TRUE,0,300,0
01/11/1960,1960,11,1960_11,2,1960,1960/61,1960_2,460.9,460.8,460.9,300,252,0,0,TRUE,0,300,0
01/12/1960,1960,12,1960_12,3,1960,1960/61,1960_3,460.9,460.8,461.0,300,399,0,0,TRUE,0,300,0
01/01/1961,1961,1,1961_1,4,1960,1960/61,1960_4,461.3,461.0,462.0,300,557,0,0,TRUE,0,300,0
01/02/1961,1961,2,1961_2,5,1960,1960/61,1960_5,462.5,462.1,463.0,300,867,0,0,TRUE,0,300,0
01/03/1961,1961,3,1961_3,6,1960,1960/61,1960_6,463.6,463.0,464.4,300,1518,0,0,TRUE,0,300,0
01/04/1961,1961,4,1961_4,7,1960,1960/61,1960_7,466.1,464.4,467.9,300,5159,0,0,TRUE,0,300,0
01/05/1961,1961,5,1961_5,8,1960,1960/61,1960_8,469.4,468.0,470.4,300,4182,0,0,TRUE,0,300,0
01/06/1961,1961,6,1961_6,9,1960,1960/61,1960_9,471.1,470.5,471.5,300,2253,0,0,TRUE,0,300,0
01/07/1961,1961,7,1961_7,10,1960,1960/61,1960_10,471.8,471.5,472.0,300,1294,0,0,TRUE,0,300,0
01/08/1961,1961,8,1961_8,11,1960,1960/61,1960_11,472.1,472.0,472.1,300,703,0,0,TRUE,0,300,0
01/09/1961,1961,9,1961_9,12,1960,1960/61,1960_12,472.0,471.9,472.1,300,457,0,0,TRUE,0,300,0
01/10/1961,1961,10,1961_10,1,1961,1961/62,1961_1,471.8,471.8,471.9,355,323,666,360,FALSE,355,0,333
01/11/1961,1961,11,1961_11,2,1961,1961/62,1961_2,471.7,471.7,471.7,359,313,666,360,FALSE,359,0,337
01/12/1961,1961,12,1961_12,3,1961,1961/62,1961_3,471.7,471.7,471.7,351,489,666,360,FALSE,351,0,330
01/01/1962,1962,1,1962_1,4,1961,1961/62,1961_4,472.1,471.7,472.5,702,755,666,360,TRUE,360,342,338
01/02/1962,1962,2,1962_2,5,1961,1961/62,1961_5,473.1,472.6,473.8,372,1512,666,380,FALSE,372,0,349
01/03/1962,1962,3,1962_3,6,1961,1961/62,1961_6,474.6,473.8,475.7,377,3556,666,380,FALSE,377,0,354
01/04/1962,1962,4,1962_4,7,1961,1961/62,1961_7,476.3,475.8,476.9,2840,5015,666,380,TRUE,380,2460,357
01/05/1962,1962,5,1962_5,8,1961,1961/62,1961_8,477.8,476.9,478.6,758,4094,666,380,TRUE,380,378,357
01/06/1962,1962,6,1962_6,9,1961,1961/62,1961_9,479.2,478.7,479.6,413,2366,666,380,TRUE,380,33,357
01/07/1962,1962,7,1962_7,10,1961,1961/62,1961_10,479.9,479.6,480.0,396,1281,666,405,FALSE,396,0,372
01/08/1962,1962,8,1962_8,11,1961,1961/62,1961_11,480.0,480.0,480.1,392,735,666,405,FALSE,392,0,368
01/09/1962,1962,9,1962_9,12,1961,1961/62,1961_12,480.0,480.0,480.1,394,508,666,405,FALSE,394,0,370
01/10/1962,1962,10,1962_10,1,1962,1962/63,1962_1,479.9,479.8,480.0,392,376,666,405,FALSE,392,0,368
01/11/1962,1962,11,1962_11,2,1962,1962/63,1962_2,479.7,479.7,479.8,401,334,666,405,FALSE,401,0,377
01/12/1962,1962,12,1962_12,3,1962,1962/63,1962_3,480.1,479.7,481.1,385,586,666,405,FALSE,385,0,362
01/01/1963,1963,1,1963_1,4,1962,1962/63,1962_4,481.6,481.2,481.8,1923,1296,666,405,TRUE,405,1518,380
