Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,20,117,156,174,183,184,187,191,180,169,161,133,38,0,0,0,0,0
2,0,0,0,0,0,0,0,105,143,158,167,182,177,170,174,167,158,117,10,0,0,0,0,0
3,0,0,0,0,0,0,0,136,180,195,209,201,201,203,198,192,179,138,0,0,0,0,0,0
4,0,0,0,0,0,0,0,159,205,225,225,211,213,211,207,203,188,140,0,0,0,0,0,0
5,0,0,0,0,0,0,0,159,206,219,225,229,230,228,228,219,181,37,0,0,0,0,0,0
6,0,0,0,0,0,0,0,138,196,208,214,217,217,218,213,207,159,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,133,202,217,225,228,228,226,228,222,190,81,0,0,0,0,0,0
8,0,0,0,0,0,0,0,134,213,236,241,242,241,240,234,227,200,125,0,0,0,0,0,0
9,0,0,0,0,0,0,0,152,207,223,230,228,229,225,220,212,190,125,0,0,0,0,0,0
10,0,0,0,0,0,0,67,170,209,225,223,224,221,222,219,202,175,116,0,0,0,0,0,0
11,0,0,0,0,0,0,106,154,174,191,198,186,190,182,181,174,157,115,0,0,0,0,0,0
12,0,0,0,0,0,0,85,136,163,174,182,188,194,193,182,169,145,112,2,0,0,0,0,0
