,Energy
0.0,1019157.8842659198
0.05,957532.1637065208
0.1,920797.516720215
0.15000000000000002,900396.7076267946
0.2,888118.9181778509
0.25,874969.9157254726
0.30000000000000004,865507.1174354618
0.35000000000000003,855098.5431505222
0.4,847713.6236791007
0.45,842723.3886566118
0.5,838542.943358
0.55,828791.0660707566
0.6000000000000001,819015.6503553933
0.65,812469.6516548357
0.7000000000000001,801791.4074789314
0.75,788597.7653874515
0.8,781316.3229277824
0.8500000000000001,766799.6723085928
0.9,751270.1292711291
0.9500000000000001,710170.0657292157
1.0,494342.95990803913
