Exceedance,Mean,Max,Min,Median,MeanQ3070
0.0,2338.136796997701,9912.101075056224,341.84482321324555,1116.0171269391562,1267.3643713380397
0.001,2320.6806061923057,9838.050221040257,341.42120261444046,1108.9561661412274,1260.0223892127783
0.002,2303.2244153869055,9763.999367024266,340.9975820156352,1101.8952053432968,1252.680407087515
0.003,2285.7682245815076,9689.948513008287,340.5739614168301,1094.8342445453668,1245.3384249622527
0.004,2268.31203377611,9615.897658992308,340.1503408180249,1087.773283747437,1237.9964428369904
0.005,2250.8558429707123,9541.846804976329,339.7267202192198,1080.7123229495073,1230.654460711728
0.006,2233.3996521653144,9467.79595096035,339.3030996204146,1073.6513621515776,1223.3124785864657
0.007,2215.943461359914,9393.74509694436,338.8794790216094,1066.590401353647,1215.9704964612024
0.008,2198.4872705545167,9319.69424292838,338.4558584228043,1059.529440555717,1208.6285143359398
0.009000000000000001,2181.031079749119,9245.643388912402,338.03223782399914,1052.4684797577872,1201.2865322106775
0.01,2163.574888943721,9171.592534896421,337.608617225194,1045.4075189598575,1193.9445500854151
0.011,2152.6639442618016,9104.47793421907,337.38565901529654,1037.1868860338739,1188.8265016060095
0.012,2149.0254952726327,9045.070281695725,337.38565901529654,1027.6777285211595,1186.1794905108873
0.013000000000000001,2145.3870462834648,8985.662629172388,337.3856590152966,1018.1685710084466,1183.5324794157657
0.014,2141.748597294297,8926.254976649052,337.38565901529654,1008.6594134957336,1180.8854683206441
0.015,2138.110148305129,8866.847324125714,337.38565901529654,999.1502559830208,1178.2384572255223
0.016,2134.471699315961,8807.439671602377,337.38565901529654,989.6410984703077,1175.5914461304005
0.017,2130.833250326793,8748.03201907904,337.38565901529654,980.1319409575947,1172.944435035279
0.018000000000000002,2127.1948013376245,8688.624366555694,337.38565901529654,970.6227834448805,1170.297423940157
0.019,2123.5563523484566,8629.216714032358,337.3856590152965,961.1136259321675,1167.6504128450354
0.02,2119.9179033592886,8569.80906150902,337.38565901529654,951.6044684194545,1165.0034017499138
0.021,2116.27945437012,8510.401408985674,337.38565901529654,942.0953109067402,1162.3563906547915
0.022,2096.1088880814154,8377.057997511785,335.94473751603545,938.3882965583718,1161.1682705001604
0.023,2075.0198708316257,8239.60704387397,334.423764822371,935.0036234969099,1160.0611998422223
0.024,2053.9308535818363,8102.156090236154,332.9027921287066,931.6189504354478,1158.9541291842845
0.025,2032.8418363320466,7964.705136598341,331.3818194350422,928.2342773739857,1157.8470585263467
0.026000000000000002,2011.752819082254,7827.254182960505,329.86084674137754,924.8496043125232,1156.7399878684087
