WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume,Flow_mean_pct_var,Flow_max_pct_var,Flow_min_pct_var,Volume_pct_var,Flow_mean_5yr_mvCoefVar,DaysToStart,SeasonStart,MeanQ3070,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070
1924,111.40747964374857,562.8280752081156,992.2282443296506,3452.248381930785,3340.8409022870364,31.290909913179885,-9.854397437545476,-4.439773363127339,-47.78577628128223,-9.42987489927384,,0 days 00:00:00.000000000,1924-10-01,664.1419453889723,0.5690000000000001,0.583,0.495
1925,158.54189668353825,494.68108319071365,1112.0502775545388,4501.386000873192,4342.844104189653,35.06961755295996,1.0316355362623157,24.600961122881436,-25.694916636698036,1.5074236517599517,,29 days 00:00:00.000000000,1925-10-30,560.3284980720115,0.443,0.734,0.737
1926,192.89523707448373,562.8280752081156,990.5409536243748,3313.0406406455268,3120.145403571043,31.237699513498292,-10.007690632124792,-8.29312394370938,-9.594265168825586,-9.583889997242965,19.09417388118939,23 days 00:00:00.000000000,1926-10-24,683.5448204165439,0.579,0.583,0.464
1927,179.82651022652541,512.1178199937132,848.3054199923322,2261.108087620956,2081.2815773944308,26.825453313165536,-22.930027764056792,-37.411223817366576,-15.71928863708963,-22.354937290150882,19.61900397876281,8 days 00:00:00.000000000,1927-10-09,553.4006438442037,0.6950000000000001,0.713,0.769
1928,195.20770377157243,389.1651339816072,564.8065541113086,1589.152359062425,1393.9446552908526,17.811739490454226,-48.68637589934204,-56.01134600066246,-8.510463131027231,-48.444724733540234,15.723667733580312,28 days 00:00:00.000000000,1928-10-29,426.30119042853977,0.927,0.9580000000000001,0.9480000000000001
1929,188.71982882241662,571.8920920403683,720.3531749751626,2187.823512835168,1999.1036840127513,22.717057726016733,-34.554704134849054,-39.439783121549674,-11.551186744356858,-34.246502710388434,17.62830962916045,7 days 00:00:00.000000000,1929-10-08,609.6458803537807,0.8,0.516,0.632
1930,201.17011281861932,532.5192229643311,942.8553591163392,3355.9174512398436,3154.7473384212244,29.733886605092867,-14.340006986795691,-7.1062690930257775,-5.716013773761994,-13.936608522216185,20.118013805244768,35 days 00:00:00.000000000,1930-11-05,567.223606258017,0.643,0.643,0.6950000000000001
1931,237.1722863632943,623.8090120652902,1064.9267880099378,3803.114617748527,3565.9423313852326,33.67554086116549,-3.2496126383585446,5.272406441043564,11.157409355752671,-2.527668351833397,23.274202983681835,4 days 00:00:00.000000000,1931-10-05,712.8313548836899,0.516,0.388,0.422
1932,188.71982882241662,408.00454625357366,583.3259527876378,1617.395611566826,1428.6757827444094,18.39576724711094,-47.00385742406936,-55.22955647925685,-11.551186744356858,-46.75428277677198,21.281554034049392,26 days 00:00:00.000000000,1932-10-27,449.85155870930214,0.895,0.936,0.916
1933,158.54189668353825,583.0034913422678,1217.9446218999126,5588.707650475971,5430.165753792432,38.409101596235644,10.652314582159654,54.69865160397818,-25.694916636698036,11.173409345706192,22.07971992745497,22 days 00:00:00.000000000,1933-10-23,628.896914433105,0.34800000000000003,0.485,0.579
1934,178.2793688535273,563.9275439778775,952.445340899112,3278.6645629042023,3100.385194050675,30.0363162705944,-13.468741034318125,-9.24467360538537,-16.444399608386437,-13.061239518417816,24.33922252144422,21 days 00:00:00.000000000,1934-10-22,640.0236060178192,0.632,0.5690000000000001,0.5690000000000001
1935,189.23960472725517,468.66804885609304,809.3865259140523,2496.736423333441,2307.496818606186,25.594744477064534,-26.465874659970485,-30.888895562943304,-11.307579264270021,-25.91716841597976,17.841686680858054,39 days 00:00:00.000000000,1935-11-09,520.1990893211371,0.716,0.779,0.79
1936,201.17011281861932,583.0034913422678,1197.1471268064388,3600.306705040052,3399.1365922214327,37.75323179096786,8.762827221056057,-0.34143357221001924,-5.716013773761994,9.275023824872502,14.302908161167737,12 days 00:00:00.000000000,1936-10-13,753.8258695482627,0.39,0.485,0.34800000000000003
1937,225.38738623397882,516.7730027239134,828.8006288204128,3227.9047484993603,3002.5173622653815,26.137056630480558,-24.7020708026375,-10.649734548844899,5.634087099271188,-24.347470388187826,22.033078793615974,29 days 00:00:00.000000000,1937-10-30,569.6108256791964,0.706,0.668,0.685
1938,220.78338887335968,516.7730027239134,879.6135135284643,2873.0524012848505,2652.2690124114906,27.739491762633666,-20.085634880640082,-20.47225221586155,3.4762952799385016,-19.709294292075803,19.959070739026597,11 days 00:00:00.000000000,1938-10-12,565.9402409416737,0.664,0.668,0.706
1939,214.75310038088375,728.4970702319307,1341.9092750767172,5259.545195770601,5044.792095389717,42.434391860185976,21.91471153662096,45.587244980795894,0.6500323266663528,22.824430162430907,23.237792129806824,10 days 00:00:00.000000000,1939-10-11,803.3774852790436,0.243,0.232,0.28500000000000003
1940,225.38738623397882,512.1178199937132,957.0372831566266,3355.9174512398436,3130.530065005865,30.1811277616274,-13.051555367510877,-7.1062690930257775,5.634087099271188,-12.642089199834173,25.480521683731222,-7 days +00:00:00.000000000,1940-09-24,613.0108885879318,0.622,0.713,0.611
1941,189.23960472725517,426.6328809909446,649.7896482792113,2187.823512835168,1998.5839081079127,20.491766348133208,-40.96551905499462,-39.439783121549674,-11.307579264270021,-40.687508070721094,25.47810625776207,4 days 00:00:00.000000000,1941-10-05,445.33798580737295,0.853,0.906,0.927
1942,171.1379824381925,459.26044279675483,669.6077163161468,1707.8301963432584,1536.692213905066,21.116748941746017,-39.16501428704152,-52.72627500557155,-19.7914096039853,-38.87852418861781,15.152608040481239,2 days 00:00:00.000000000,1942-10-03,485.02018433297144,0.8320000000000001,0.79,0.843
1943,178.2793688535273,534.6731742242141,928.018062599628,2542.9744128795624,2364.6950440260352,29.346158382750488,-15.688000296339466,-29.609001339982004,-16.444399608386437,-15.058870345220573,14.911971833766788,24 days 00:00:00.000000000,1943-10-25,621.1403143567595,0.653,0.632,0.6
1944,192.89523707448373,494.68108319071365,996.8743820935374,3886.053218431513,3693.1579813570293,31.437430513701823,-9.432288017956525,7.568194750973495,-9.594265168825586,-9.00577764048764,21.459918638237355,13 days 00:00:00.000000000,1944-10-14,565.2749342410522,0.558,0.734,0.716
