MonthId,Flow,Exceedance,Year,Month,WaterYear,WaterMonth,Flow_difference,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,Power_max,Power_min,Turbines_max,Turbines_min,Energy,Days,CapFactor
1924.1,140.26022711507477,0.9989677419354839,1924.0,10.0,1924.0,1.0,0.5767138669840213,28.193548387096776,4.32258064516129,2.3225806451612905,2.0,29.677419354838708,66.51612903225806,0.4740074222412641,73.74409808281669,0.0,0.0,0.0,0.0,0.0,0.0,28.193548387096776,4.32258064516129,2.3225806451612905,2.0,29.677419354838708,108.58280776023608,0.6774193548387096,88.03630612537847,,,,964.4991673811633,990.0,0.0769032299182623,0.0,989.9230967700819,0.05435805754283786,,,,25.36623880252848,,,,0.8714285714285714,,,,0.35214522450151386,,,,0.9600000000000005,,,,18.328735756493508,,,,12.416240351173021,0.08863439816588764,20.02316629875564,0.0,1,0,9237.682821272729,31,0.06897911306207234
1924.11,155.71368409941297,0.9922333333333332,1924.0,11.0,1924.0,2.0,2.3499443813930054,23.0,4.0,2.0,2.0,19.0,50.0,0.3248879414158692,105.71368409941299,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,2.0,2.0,19.0,134.71368409941297,1.0,105.71368409941299,,,,964.4775794148675,990.0,0.08581148321570892,0.0010046343187350257,989.9131838824657,0.08090290105241447,,,,25.35470156654594,,,,0.8876666666666667,,,,0.4228547363976519,,,,0.963,,,,22.555516350094717,,,,22.555516350094717,0.14370129106916335,31.11905737612781,18.463061550093176,1,1,16239.971772068195,30,0.12530842416719287
1924.12,278.5974250626937,0.8279354838709677,1924.0,12.0,1924.0,3.0,9.310689934731418,26.0,4.0,3.0,2.0,24.0,59.0,0.21860917739315303,219.5974250626937,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,3.0,2.0,24.0,252.5974250626937,1.1290322580645162,198.8697450299629,160.63952025366365,,,964.834386840127,990.0,0.1257517092634009,0.014904894589672837,989.8593433961469,0.28842095068169477,0.18506887230920713,,,24.736535605338442,24.431011845814744,,,0.9322580645161292,0.92,,,0.7954789801198514,0.6425580810146546,,,0.974516129032258,0.97,,,43.91931542260877,34.347461937871905,,,48.351245995237406,0.17223805637428222,81.44487446071635,29.61406843779828,2,1,35973.32702045662,31,0.2686180333068744
1925.01,704.2208517340271,0.45770967741935487,1925.0,1.0,1924.0,4.0,45.194011117707625,37.12903225806452,5.67741935483871,4.0,2.6774193548387095,55.354838709677416,104.83870967741936,0.156271468556409,599.382142056608,0.0,0.0,0.0,0.0,0.0,0.0,37.12903225806452,5.67741935483871,4.0,2.6774193548387095,55.354838709677416,646.1885936695111,2.5483870967741935,234.22078784265005,234.22078784265005,233.46765503378998,246.3544295960912,966.5688084139429,990.0,0.3168294247476021,0.13312847350773763,989.5500421017447,0.3917836101327074,0.3917836101327074,0.39068224679980024,0.43187446487625575,22.589450077669206,22.589450077669206,21.03546356919971,20.37272925306323,0.938709677419355,0.938709677419355,0.9379999999999997,0.9399999999999997,0.9368831513706,0.9368831513706,0.9338706201351599,0.9854177183843648,0.9787096774193551,0.9787096774193551,0.9780000000000001,0.9800000000000002,47.597489429036564,47.597489429036564,43.96550242664503,45.27221268048326,119.60015669774518,0.17150080225670958,192.55349475215183,72.64289406886435,4,2,88982.5165831224,31,0.6644453149874732
1925.02,1216.016599398996,0.2772857142857142,1925.0,2.0,1924.0,5.0,23.961306644657547,49.0,8.0,7.0,5.0,93.0,162.0,0.13381307971070533,1033.2153959371362,20.8012034618597,6.229751493281498,1.0272199240424542,0.8988174335371475,0.6420124525265339,12.003402158472067,55.22975149328149,9.027219924042454,7.898817433537148,5.642012452526535,105.00340215847207,1105.3711847879972,4.0,258.30384898428406,258.30384898428406,258.30384898428406,258.30384898428406,968.6331222155477,990.0,0.7047759680297093,0.39449869234939205,988.900725339621,0.4728076395047713,0.4728076395047713,0.4728076395047713,0.4728076395047713,19.79479548456865,19.79479548456865,19.79479548456865,19.79479548456865,0.938859056105913,0.938859056105913,0.938859056105913,0.938859056105913,1.0332153959371362,1.0332153959371362,1.0332153959371362,1.0332153959371362,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,46.109175364906896,46.109175364906896,46.109175364906896,46.109175364906896,184.43670145962759,0.15225620529640302,192.00112540704777,178.6979931464319,4,4,123941.46338086971,28,1.0246483414423753
1925.03,1923.2263745781602,0.19245161290322588,1925.0,3.0,1924.0,6.0,67.91698833955769,49.0,9.0,9.0,9.0,107.0,183.0,0.10587641556949166,1100.0,640.2263745781597,43.656174502730906,7.81703270984985,11.047643993749029,26.527328137919717,551.1781952339102,92.65617450273092,16.817032709849848,20.047643993749027,35.52732813791972,658.1781952339103,1229.52085120633,4.0,275.0,275.0,275.0,275.0,970.725362909306,990.0,0.8933198254742964,0.4800000000000003,988.6266801745257,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,17.366382485219525,17.366382485219525,17.366382485219525,17.366382485219525,0.9233093985203913,0.9233093985203913,0.9233093985203913,0.9233093985203913,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,42.46306733498236,42.46306733498236,42.46306733498236,42.46306733498236,169.85226933992945,0.1015787022353814,186.3298748062909,127.89875046048901,4,4,126370.08838890755,31,0.9436237185551639
1925.04,3197.4871823734775,0.0767,1925.0,4.0,1924.0,7.0,38.71090599016053,54.0,13.0,14.0,19.0,117.0,217.0,0.0679638468284302,1100.0,1880.487182373477,46.00000000000001,5.0,11.0,61.0,1757.487182373477,100.0,18.0,25.0,80.0,1874.487182373477,1243.0,4.0,275.0,275.0,275.0,275.0,974.040628525814,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,14.022469481071406,14.022469481071406,14.022469481071406,14.022469481071406,0.8972259466963728,0.8972259466963728,0.8972259466963728,0.8972259466963728,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,33.26493822599939,33.26493822599939,33.26493822599939,33.26493822599939,133.05975290399755,0.041709751364761835,137.92967809398465,128.79597664971374,4,4,95803.02209087825,30,0.7392208494666531
1925.05,2211.8769491161484,0.15693548387096773,1925.0,5.0,1924.0,8.0,60.332821299818676,58.225806451612904,13.32258064516129,14.290322580645162,18.93548387096774,185.74193548387098,290.51612903225805,0.13468500005699852,1100.0,821.36082008389,41.642283089631874,4.67741935483871,10.596067541450397,43.05723287374402,721.3878172242249,99.86808954124479,18.0,24.88639012209556,61.99271674471178,907.1297527080958,1242.7544796633401,4.0,275.0,275.0,275.0,275.0,971.650914628533,990.0,0.9213232253464667,0.4800000000000003,988.5986767746538,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,16.412827366120442,16.412827366120442,16.412827366120442,16.412827366120442,0.9214127451705385,0.9214127451705385,0.9214127451705385,0.9214127451705385,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,40.00610058632118,40.00610058632118,40.00610058632118,40.00610058632118,160.02440234528473,0.07606234919852024,179.28522678653775,137.54483870109013,4,4,119058.15534489186,31,0.8890244574738042
1925.06,1186.3119581012338,0.2901,1925.0,6.0,1924.0,9.0,24.29837963463905,53.0,12.0,12.0,13.0,120.0,210.0,0.18213179370608945,936.5882935234405,39.72366457779394,9.11787712837855,1.4132600958286192,2.2343943839594824,2.459083997672958,24.499048971954334,62.11787712837856,13.41326009582862,14.234394383959483,15.459083997672959,144.49904897195432,1026.3538251316072,3.7,252.79948907498044,252.79948907498044,252.79948907498044,254.55689471214168,968.503226353178,990.0,0.6322034331027481,0.32177957077821223,989.046016996119,0.4552064184467995,0.4552064184467995,0.4552064184467995,0.4616928860630745,20.08758422449422,20.08758422449422,20.08758422449422,19.552774648881524,0.9372280643117975,0.9372280643117975,0.9372280643117975,0.9360400918739958,1.0111979562999216,1.0111979562999216,1.0111979562999216,1.0182275788485666,0.9796666666666669,0.9796666666666669,0.9796666666666669,0.9795238095238097,45.59697003237025,45.59697003237025,45.59697003237025,44.61383167797347,168.0205922716922,0.14325709220882615,188.8269731778024,127.64727098965332,4,3,120974.82643561835,30,0.9334477348427341
1925.07,528.470524463044,0.5578387096774194,1925.0,7.0,1924.0,10.0,16.071736855569895,50.0,10.0,9.0,9.0,108.0,186.0,0.37659442745567523,342.47052446304383,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,9.0,9.0,108.0,411.47052446304383,1.7096774193548387,202.51462284491913,195.98092535456237,202.74407344493542,,965.8289518275963,990.0,0.18577820315886298,0.04170121558219762,989.7725205812588,0.2984925336595281,0.2806414804899155,0.2918295738333055,,23.645076220003297,23.194181511347196,22.301616704889675,,0.9325806451612905,0.9299999999999997,0.9325000000000001,,0.8100584913796766,0.7839237014182494,0.8109762937797416,,0.9735483870967742,0.9727777777777781,0.9724999999999999,,42.66362667267414,40.26989802245051,40.219789915456694,,71.2357984167366,0.130720838006645,130.404155250994,36.19147778405117,3,1,52999.43402205203,31,0.3957544356485367
