WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1924,3409.264637332008,136.42636502888925,0.6892608691637239,0.05367726459134909,25.387598184013004,13.57934287715041,974.4837551297348,964.4036249220031,192.55349475215183,0.0,837559.6204611275,0.5311768267764634,0.4054794520547945,0.043835616438356165,0.10684931506849316,0.41643835616438357,0.0273972602739726,10,0.55
1925,4664.810478657597,161.30129435009158,0.4823019754748927,0.03922988958227995,25.353497008887068,11.282093975821185,976.781004031064,964.4036249220031,191.2664820060166,23.227016156887327,775372.9620287098,0.4917383067153157,0.32054794520547947,0.0821917808219178,0.1863013698630137,0.410958904109589,0.0,0,0.8500000000000001
1926,3302.442826712328,193.8534414796513,0.4839274528072887,0.06570893468457997,25.425814832522803,13.79903637603816,974.2640616308473,964.4036249220031,192.12654263083684,21.786087733789774,863048.9903155599,0.5473420790940893,0.3780821917808219,0.0684931506849315,0.15616438356164383,0.3972602739726027,0.0,0,0.35000000000000003
1927,2247.955944849372,178.61967468579937,0.4675146730235244,0.06583758918367814,25.390489535082956,16.256218712964895,971.8068792939205,964.4036249220031,190.00303575083032,22.476080610589825,832128.7513544145,0.5277325921831649,0.3041095890410959,0.1178082191780822,0.16712328767123288,0.4136986301369863,0.0,0,0.6000000000000001
1928,1581.2977111798239,202.5972539812765,0.4994565184386452,0.09359401392516754,25.10478244900489,18.18439326694802,969.8787047399372,964.7061791647006,191.19311723774052,23.457191956584463,755774.5261773681,0.47930906023425174,0.1780821917808219,0.1589041095890411,0.18082191780821918,0.4821917808219178,0.0,0,0.9500000000000001
1929,2181.9233591234583,187.9873988589625,0.457119030935428,0.0879957580531756,25.390489535082956,16.43146270493726,971.6316353019479,964.4036249220031,192.72444197203384,25.00286943277328,882961.3511854402,0.5599704155158803,0.2465753424657534,0.18356164383561643,0.2493150684931507,0.32054794520547947,0.0,0,0.25
1930,3326.534014194297,207.55252940021649,0.5572086164090945,0.05397136285288213,25.105437431315764,13.749095166546635,974.3140028403386,964.7065748145607,191.8173276218462,24.204125391530965,815897.7881165884,0.5174389828238131,0.2876712328767123,0.11232876712328767,0.2273972602739726,0.3726027397260274,0.0,0,0.7000000000000001
1931,3783.43551969692,244.24535424447362,0.4777505612522909,0.06317009996754104,25.01938700107974,12.843243347483124,975.219854659402,964.7467230507073,192.14023720637368,29.08426305923253,907898.7477583657,0.5757856086747626,0.3643835616438356,0.10684931506849316,0.17534246575342466,0.3561643835616438,0.0,0,0.15000000000000002
1932,1608.1562131047049,187.9873988589625,0.4787824024947766,0.0889440555808046,25.387598184013004,18.099022910076044,969.9640750968092,964.4036249220031,193.0834320131519,22.236307251359147,772410.4562871462,0.4898594978990019,0.21643835616438356,0.14520547945205478,0.1726027397260274,0.4657534246575342,0.0,0,0.9
1933,5557.926858798657,161.30129435009158,0.5038500982647484,0.043001645410580255,25.38928389978828,9.945095402339534,978.1699009636541,964.4036249220031,194.45370046915005,0.0,787494.8048284013,0.49942592898807797,0.3178082191780822,0.1232876712328767,0.1589041095890411,0.3917808219178082,0.00821917808219178,3,0.8
1934,3282.5155522426867,176.77186822886276,0.5281847243720603,0.07177182573685789,25.436908449344077,13.840522551354368,974.2225754555307,964.4036249220031,189.531468487065,18.05353951981348,866948.4933687734,0.5498151277072383,0.33424657534246577,0.10684931506849316,0.19452054794520549,0.3643835616438356,0.0,0,0.35000000000000003
1935,2501.426101291461,189.4415988150637,0.4909164649248356,0.06143663976897884,25.42968633829895,15.610255114431949,972.4528428924533,964.4036249220031,193.0834320131519,20.322356348695152,822823.3813076849,0.52183116521289,0.28493150684931506,0.11232876712328767,0.1780821917808219,0.4273972602739726,0.0,0,0.65
1936,3635.7516959815503,207.55252940021649,0.5382559205385986,0.04945192970104118,25.113270148639593,13.127846836928668,974.9352511699567,964.7065748145607,191.97086910193482,23.531775793205533,838257.7522510869,0.5316195790532007,0.3917808219178082,0.0684931506849315,0.16164383561643836,0.3780821917808219,0.0,0,0.55
1937,3275.908563717569,224.89547857346128,0.5470827969051744,0.045178306146630216,25.09070553617837,13.854313096561626,974.2087849103236,964.7182091057922,191.90698814309172,24.688747789584014,850689.9031683616,0.5395039974431517,0.29863013698630136,0.1178082191780822,0.2136986301369863,0.3698630136986301,0.0,0,0.45
1938,2860.5472454611986,220.23939209737784,0.4831207552135863,0.07026753964297842,25.079499431522816,14.759341258530595,973.3037567483548,964.7136474452408,191.4787420286779,26.763970678896264,830471.1884080889,0.5266813726586054,0.3041095890410959,0.1095890410958904,0.1780821917808219,0.40821917808219177,0.0,0,0.6000000000000001
1939,5324.655561892081,217.3069842849817,0.5395177803659766,0.046187088170355856,25.088227203069913,10.273066440855658,977.8229633358003,964.711291398978,192.00112540704777,25.248338687499214,896165.40003625,0.5683443683639333,0.41643835616438357,0.12054794520547946,0.16986301369863013,0.2958904109589041,0.0,0,0.2
1940,3326.534014194297,224.89547857346128,0.524688182921631,0.05501221367920493,25.107207578149968,13.749095166546635,974.3140028403386,964.7182091057922,192.00112540704777,22.495103527523828,873462.5104171224,0.5539462902188752,0.3589041095890411,0.06301369863013699,0.19726027397260273,0.38082191780821917,0.0,0,0.30000000000000004
1941,2181.9233591234583,189.4415988150637,0.4803591215931186,0.06783006349932286,25.425814832522803,16.43146270493726,971.6316353019479,964.4036249220031,191.19311723774052,20.740975314078515,764775.4698904114,0.48501742129021524,0.22465753424657534,0.10410958904109589,0.21643835616438356,0.4547945205479452,0.0,0,0.9
1942,1696.006723095134,170.78468950707952,0.457119030935428,0.08726380502189686,25.390489535082956,17.824837439405954,970.2382605674793,964.4036249220031,192.26552404324784,25.788207722857376,817773.2380258442,0.5186283853537825,0.25205479452054796,0.0958904109589041,0.25205479452054796,0.4,0.0,0,0.7000000000000001
