Flow,0,7.8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25.4,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.5,0.5,0.58,0.62,0.65,0.68,0.7,0.72,0.73,0.75,0.76,0.78,0.78,0.78,0.78,0.79,0.8,0.8,0.8,0.8,0.8
75,0,0.66404,0.67409,0.71968,0.76523,0.78414,0.79962,0.82633,0.83942,0.84526,0.85404,0.86651,0.87669,0.88599,0.88659,0.88837,0.88685,0.88639,0.89063,0.89083,0.94286,0.94286
100,0,0.73665,0.74419,0.79096,0.81808,0.83836,0.95765,0.86698,0.87654,0.88661,0.89241,0.89761,0.90128,0.90536,0.90928,0.91234,0.91382,0.91331,0.91266,0.91397,0.91044,0.91044
125,0,0.78157,0.79364,0.83313,0.85635,0.87528,0.93355,0.89674,0.90563,0.91197,0.91639,0.91975,0.92258,0.92483,0.92707,0.92898,0.93034,0.93061,0.93016,0.92888,0.9284,0.9284
150,0,0.81423,0.81787,0.85569,0.87347,0.895,0.89955,0.9157,0.92284,0.9276,0.93132,0.93342,0.93526,0.93719,0.93873,0.94015,0.94091,0.94122,0.94094,0.93916,0.93834,0.93834
175,0,0.8359,0.83005,0.86652,0.88899,0.90627,0.91447,0.92603,0.93261,0.93675,0.9399,0.9418,0.94364,0.94514,0.9466,0.94781,0.94856,0.94876,0.94839,0.94679,0.94615,0.94615
200,0,0.83989,0.83807,0.86407,0.89937,0.91007,0.92199,0.93042,0.93578,0.9412,0.94426,0.94641,0.94819,0.94987,0.95135,0.95282,0.95399,0.95469,0.95514,0.95463,0.95464,0.95464
225,0,0.82401,0.84009,0.84899,0.90091,0.91083,0.92203,0.93116,0.93703,0.94194,0.94551,0.94816,0.95039,0.95227,0.95396,0.95568,0.95704,0.95812,0.9585,0.95951,0.96139,0.96139
250,0,0.78954,0.83612,0.82106,0.89164,0.91,0.92162,0.93002,0.93599,0.942,0.94532,0.9485,0.95127,0.95305,0.95511,0.95655,0.957,0.95514,0.95201,0.95957,0.97574,0.97574
275,0,0.73646,0.82617,0.78025,0.87328,0.91,0.92,0.929,0.935,0.941,0.945,0.948,0.95125,0.9525,0.955,0.95618,0.95367,0.94499,0.93554,0.9555,0.99918,0.99918
