flow,level
0,964.50
150,964.50
200,964.40
250,964.70
300,964.90
400,965.40
600,966.30
1000,967.90
1350,969.00
2000,971.10
3160,973.90
4000,975.68
5000,977.51
6000,979.05
7000,980.29
8000,981.23
9025,981.88
9500,982.18
10000,982.50
