Exceedance,Flow
0.0,9912.21560932307
0.001,8709.985085324017
0.002,7668.954086741232
0.003,6835.562713979396
0.004,6342.131410572831
0.005,6098.010072677684
0.006,5906.749081773474
0.007,5771.570660987749
0.008,5698.858018299779
0.009000000000000001,5622.363279799111
0.01,5518.409844030327
0.011,5451.014583329263
0.012,5378.090269592624
0.013000000000000001,5295.594757530931
0.014,5215.675371126037
0.015,5127.12079286471
0.016,5057.464224375279
0.017,4990.68411289969
0.018000000000000002,4908.387942662408
0.019,4836.403043330139
0.02,4765.288378402228
0.021,4698.741312773959
0.022,4640.451452338148
0.023,4586.496836487447
0.024,4560.388520420988
0.025,4535.405205943174
0.026000000000000002,4496.757696092964
0.027,4463.518873712076
0.028,4428.465062024051
0.029,4390.8673929009
0.03,4353.257397337133
0.031,4308.612874496209
0.032,4265.558265555885
0.033,4223.621880251135
0.034,4166.074687082517
0.035,4134.573060632498
0.036000000000000004,4103.287228746639
0.037,4066.775303313126
0.038,4031.88991906474
0.039,3977.768261087272
0.04,3949.733863815159
0.041,3908.5721850878326
0.042,3891.7726910160586
0.043000000000000003,3866.690751659567
0.044,3835.2143836271994
0.045,3806.566209342685
0.046,3758.4268488366192
0.047,3741.95222470622
0.048,3721.079667444808
0.049,3681.9476542575912
0.05,3660.9557892251087
0.051000000000000004,3634.8786938106905
0.052000000000000005,3612.475718017554
0.053,3596.395574335644
0.054,3568.954000411118
0.055,3552.9403887456524
0.056,3529.186062381675
0.057,3514.196157251076
0.058,3492.7288940641733
0.059000000000000004,3478.691121228249
0.06,3456.3367626105432
0.061,3424.308177153206
0.062,3405.036348501456
0.063,3389.09821029035
0.064,3367.275184419929
0.065,3349.7259624014564
0.066,3334.213303152479
0.067,3320.706674843682
0.068,3284.325998554973
0.069,3267.979850547135
0.07,3247.52175559075
0.07100000000000001,3236.633626812195
0.07200000000000001,3219.4819540420726
0.073,3202.4514913248304
0.074,3185.3687520113203
0.075,3164.61245417584
0.076,3153.1901934691164
0.077,3136.33810483818
0.078,3113.5328856801816
0.079,3100.8389698159062
0.08,3077.940642550899
0.081,3065.214426703256
0.082,3053.8855950392835
0.083,3037.6810958753917
0.084,3032.4040936780607
0.085,3020.3114486275003
0.08600000000000001,3017.028938864132
0.08700000000000001,3007.501401829064
0.088,2994.142735528011
0.089,2982.1088774991017
0.09,2974.574463997963
0.091,2964.498624613308
0.092,2949.2589260052378
0.093,2933.5467368309032
0.094,2920.1744815122474
0.095,2901.6602047090223
0.096,2885.2683023870422
0.097,2874.3332570113657
0.098,2854.2386590848696
0.099,2844.983429094515
0.1,2838.423984178964
0.101,2813.943796799816
0.10200000000000001,2800.5761627048387
0.10300000000000001,2784.9795172983872
0.10400000000000001,2770.311082521439
0.105,2755.8206855219382
0.106,2746.9665531200885
0.107,2746.9665531200885
0.108,2720.0805600072235
0.109,2707.1122235310936
0.11,2693.4126833366377
0.111,2680.3385349652767
0.112,2659.214796919191
0.113,2659.214796919191
0.114,2636.706850110316
0.115,2621.7307274766326
0.116,2608.029669978197
0.117,2607.8108774843568
0.11800000000000001,2585.17157350734
0.11900000000000001,2571.102181267738
0.12,2563.7061126808685
0.121,2550.4016053379946
0.122,2539.6487709250514
0.123,2529.337200639754
0.124,2518.0509361756604
0.125,2504.8057623766786
0.126,2496.4489908854894
0.127,2490.525335495825
0.128,2478.045948969413
0.129,2470.611727769566
0.13,2464.168992186133
0.131,2457.3083819162175
0.132,2442.664961452521
0.133,2433.7345121496305
0.134,2424.2123040927404
0.135,2424.2123040927404
0.136,2407.695957223607
0.137,2400.9476928809067
0.138,2398.020894335618
0.139,2380.9842214888986
0.14,2372.674482301752
0.14100000000000001,2363.3928038995978
0.14200000000000002,2353.5475282567754
0.14300000000000002,2345.6155501124085
0.14400000000000002,2340.403039963404
0.145,2329.2281985902478
0.146,2321.1140501404984
0.147,2313.666950983338
0.148,2306.5644339140317
0.149,2300.3200463784046
0.15,2291.3047528902075
0.151,2291.3047528902075
0.152,2274.693816751147
0.153,2266.831021428517
0.154,2255.226348708936
0.155,2247.724603133187
0.156,2247.724603133187
0.157,2229.223019661525
0.158,2219.934107073156
0.159,2219.934107073156
0.16,2196.8028348787366
