WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,7,1934-03-24,1934-03-30,1934.03,182.79920182704655
1947,42,1948-03-03,1948-04-13,1948.03,103.58224040503536
1951,22,1952-03-01,1952-03-22,1952.03,102.41080834752256
1952,13,1953-03-21,1953-04-02,1953.03,189.747973318978
1955,17,1956-05-03,1956-05-19,1956.05,112.44821387342648
1956,27,1957-03-02,1957-03-28,1957.03,103.23635260020184
1957,61,1958-02-03,1958-04-04,1958.02,107.26202326328236
1960,24,1961-04-01,1961-04-24,1961.04,96.90152180090558
1961,17,1962-04-02,1962-04-18,1962.04,101.42498970690079
1962,47,1963-03-02,1963-04-17,1963.03,86.2804123023216
1965,6,1966-03-30,1966-04-04,1966.03,191.0933703105523
1967,10,1968-04-01,1968-04-10,1968.04,125.87513598039786
1968,61,1969-03-02,1969-05-01,1969.03,91.50084785296065
1974,13,1975-03-30,1975-04-11,1975.03,134.28507214663395
1975,4,1976-03-30,1976-04-02,1976.03,190.2429841405123
1977,38,1978-03-31,1978-05-07,1978.03,163.70859554529002
1978,1,1979-04-16,1979-04-16,1979.04,120.8144172916268
2008,23,2009-03-15,2009-04-06,2009.03,151.56432397230896
